,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,11,17,23,23,0.647,1.000,0.647,0.316
1,"(15, 24]","(15, 22]",Male,11,9,62,49,1.222,1.265,0.966,0.474
2,"(15, 24]","(22, 27]",Female,7,6,16,11,1.167,1.455,0.802,0.547
3,"(15, 24]","(22, 27]",Male,6,4,15,12,1.500,1.250,1.200,0.905
4,"(24, 34]","(15, 22]",Female,1,1,2,5,1.000,0.400,2.500,4.110
5,"(24, 34]","(22, 27]",Female,4,4,1,7,1.000,0.143,7.000,8.979
6,"(24, 34]","(22, 27]",Male,6,9,12,13,0.667,0.923,0.722,0.479
7,"(24, 34]","(27, 32]",Female,2,2,12,8,1.000,1.500,0.667,0.734
8,"(24, 34]","(32, 37]",Female,2,1,7,8,2.000,0.875,2.286,3.041
9,"(24, 34]","(32, 37]",Male,3,1,5,4,3.000,1.250,2.400,3.207
10,"(24, 34]","(37, 42]",Female,1,1,6,4,1.000,1.500,0.667,1.037
11,"(34, 54]","(22, 27]",Female,1,1,1,1,1.000,1.000,1.000,2.001
12,"(34, 54]","(22, 27]",Male,1,1,4,5,1.000,0.800,1.250,1.958
13,"(34, 54]","(27, 32]",Male,2,1,2,2,2.000,1.000,2.000,3.164
14,"(34, 54]","(32, 37]",Female,1,1,2,5,1.000,0.400,2.500,4.110
15,"(34, 54]","(32, 37]",Male,1,3,3,3,0.333,1.000,0.333,0.472
16,"(34, 54]","(37, 42]",Male,2,1,1,4,2.000,0.250,8.000,13.273
17,"(54, 100]","(47, 52]",Female,1,2,2,3,0.500,0.667,0.750,1.146
18,"(54, 100]","(67, 72]",Female,3,1,1,4,3.000,0.250,12.000,19.297
19,"(54, 100]","(72, 77]",Female,1,2,1,3,0.500,0.333,1.500,2.526
20,"(54, 100]","(77, 82]",Male,3,4,1,2,0.750,0.500,1.500,2.166
