,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,1,5,2,1,0.200,2.000,0.100,0.164
1,"(15, 24]","(15, 20]",Female,3,6,2,3,0.500,0.667,0.750,0.867
2,"(15, 24]","(15, 20]",Male,10,7,16,10,1.429,1.600,0.893,0.570
3,"(15, 24]","(20, 25]",Female,3,3,4,6,1.000,0.667,1.500,1.563
4,"(15, 24]","(20, 25]",Male,7,5,10,10,1.400,1.000,1.400,1.034
5,"(15, 24]","(25, 30]",Male,1,4,3,2,0.250,1.500,0.167,0.241
6,"(24, 34]","(20, 25]",Male,8,8,3,6,1.000,0.500,2.000,1.735
7,"(24, 34]","(25, 30]",Female,3,2,1,4,1.500,0.250,6.000,8.665
8,"(24, 34]","(25, 30]",Male,8,9,2,4,0.889,0.500,1.778,1.768
9,"(24, 34]","(30, 35]",Female,1,1,1,1,1.000,1.000,1.000,2.001
10,"(24, 34]","(30, 35]",Male,5,5,4,4,1.000,1.000,1.000,0.950
11,"(24, 34]","(35, 40]",Female,1,1,1,2,1.000,0.500,2.000,3.743
12,"(24, 34]","(60, 65]",Female,3,1,1,1,3.000,1.000,3.000,5.479
13,"(34, 54]","(10, 15]",Female,5,4,3,5,1.250,0.600,2.083,2.069
14,"(34, 54]","(20, 25]",Male,1,3,2,2,0.333,1.000,0.333,0.509
15,"(34, 54]","(25, 30]",Male,2,2,2,3,1.000,0.667,1.500,2.032
16,"(34, 54]","(30, 35]",Male,2,3,2,4,0.667,0.500,1.333,1.679
17,"(34, 54]","(35, 40]",Male,2,5,2,2,0.400,1.000,0.400,0.522
18,"(34, 54]","(40, 45]",Male,8,8,2,3,1.000,0.667,1.500,1.563
19,"(34, 54]","(45, 50]",Male,3,2,1,3,1.500,0.333,4.500,6.628
20,"(34, 54]","(55, 60]",Female,4,1,2,5,4.000,0.400,10.000,13.973
21,"(54, 100]","(10, 15]",Female,1,1,1,1,1.000,1.000,1.000,2.001
22,"(54, 100]","(25, 30]",Male,1,3,1,2,0.333,0.500,0.667,1.123
23,"(54, 100]","(45, 50]",Female,1,2,1,1,0.500,1.000,0.500,0.936
24,"(54, 100]","(55, 60]",Female,1,3,2,5,0.333,0.400,0.833,1.189
25,"(54, 100]","(60, 65]",Male,12,10,2,1,1.200,2.000,0.600,0.779
26,"(54, 100]","(65, 70]",Female,3,1,5,4,3.000,1.250,2.400,3.207
27,"(54, 100]","(65, 70]",Male,18,10,1,1,1.800,1.000,1.800,2.644
28,"(54, 100]","(70, 75]",Female,4,4,6,4,1.000,1.500,0.667,0.639
29,"(54, 100]","(75, 80]",Female,5,1,6,1,5.000,6.000,0.833,1.283
30,"(54, 100]","(75, 80]",Male,21,10,2,1,2.100,2.000,1.050,1.349
31,"(54, 100]","(80, 85]",Female,7,3,7,2,2.333,3.500,0.667,0.706
32,"(54, 100]","(85, 90]",Female,9,2,9,3,4.500,3.000,1.500,1.543
33,"(54, 100]","(85, 90]",Male,9,8,1,1,1.125,1.000,1.125,1.683
