,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,12,8,9,11,1.500,0.818,1.833,1.178
1,"(15, 24]","(0, 5]",Male,4,3,4,2,1.333,2.000,0.667,0.771
2,"(15, 24]","(5, 10]",Female,4,4,5,2,1.000,2.500,0.400,0.439
3,"(15, 24]","(10, 15]",Female,28,29,9,9,0.966,1.000,0.966,0.524
4,"(15, 24]","(10, 15]",Male,40,38,50,63,1.053,0.794,1.326,0.397
5,"(15, 24]","(15, 20]",Female,123,129,40,64,0.953,0.625,1.526,0.371
6,"(15, 24]","(15, 20]",Male,206,167,460,466,1.234,0.987,1.250,0.166
7,"(15, 24]","(20, 25]",Female,56,60,47,68,0.933,0.691,1.350,0.365
8,"(15, 24]","(20, 25]",Male,87,77,284,293,1.130,0.969,1.166,0.215
9,"(15, 24]","(25, 30]",Female,11,14,24,29,0.786,0.828,0.949,0.466
10,"(15, 24]","(25, 30]",Male,24,19,68,82,1.263,0.829,1.523,0.536
11,"(15, 24]","(30, 35]",Female,4,3,10,7,1.333,1.429,0.933,0.850
12,"(15, 24]","(30, 35]",Male,14,6,37,20,2.333,1.850,1.261,0.711
13,"(15, 24]","(35, 40]",Female,10,8,6,3,1.250,2.000,0.625,0.533
14,"(15, 24]","(35, 40]",Male,9,3,14,8,3.000,1.750,1.714,1.375
15,"(15, 24]","(40, 45]",Female,9,9,2,1,1.000,2.000,0.500,0.657
16,"(15, 24]","(40, 45]",Male,11,4,9,10,2.750,0.900,3.056,2.275
17,"(15, 24]","(45, 50]",Female,9,5,1,2,1.800,0.500,3.600,4.848
18,"(15, 24]","(45, 50]",Male,3,3,6,6,1.000,1.000,1.000,1.001
19,"(15, 24]","(55, 60]",Male,4,1,4,3,4.000,1.333,3.000,4.065
20,"(15, 24]","(60, 65]",Female,3,1,3,1,3.000,3.000,1.000,1.634
21,"(15, 24]","(70, 75]",Male,1,1,3,1,1.000,3.000,0.333,0.609
22,"(24, 34]","(0, 5]",Female,14,24,16,17,0.583,0.941,0.620,0.302
23,"(24, 34]","(0, 5]",Male,5,3,8,14,1.667,0.571,2.917,2.496
24,"(24, 34]","(5, 10]",Female,10,22,11,15,0.455,0.733,0.620,0.343
25,"(24, 34]","(5, 10]",Male,4,3,6,7,1.333,0.857,1.556,1.472
26,"(24, 34]","(10, 15]",Female,7,19,7,13,0.368,0.538,0.684,0.442
27,"(24, 34]","(10, 15]",Male,6,5,6,7,1.200,0.857,1.400,1.153
28,"(24, 34]","(15, 20]",Female,9,13,4,7,0.692,0.571,1.212,0.925
29,"(24, 34]","(15, 20]",Male,24,23,36,53,1.043,0.679,1.536,0.563
30,"(24, 34]","(20, 25]",Female,14,27,6,18,0.519,0.333,1.556,0.898
31,"(24, 34]","(20, 25]",Male,69,91,99,128,0.758,0.773,0.980,0.210
32,"(24, 34]","(25, 30]",Female,17,24,24,29,0.708,0.828,0.856,0.362
33,"(24, 34]","(25, 30]",Male,72,99,106,115,0.727,0.922,0.789,0.167
34,"(24, 34]","(30, 35]",Female,11,11,19,14,1.000,1.357,0.737,0.409
35,"(24, 34]","(30, 35]",Male,55,42,54,66,1.310,0.818,1.601,0.447
36,"(24, 34]","(35, 40]",Female,7,2,7,6,3.500,1.167,3.000,2.932
37,"(24, 34]","(35, 40]",Male,16,12,30,22,1.333,1.364,0.978,0.466
38,"(24, 34]","(40, 45]",Female,5,2,3,1,2.500,3.000,0.833,1.189
39,"(24, 34]","(40, 45]",Male,11,6,16,9,1.833,1.778,1.031,0.679
40,"(24, 34]","(45, 50]",Female,9,8,4,3,1.125,1.333,0.844,0.765
41,"(24, 34]","(45, 50]",Male,8,3,9,8,2.667,1.125,2.370,1.979
42,"(24, 34]","(50, 55]",Female,10,4,1,1,2.500,1.000,2.500,3.834
43,"(24, 34]","(50, 55]",Male,4,2,9,4,2.000,2.250,0.889,0.938
44,"(24, 34]","(60, 65]",Male,4,2,2,1,2.000,2.000,1.000,1.501
45,"(24, 34]","(80, 85]",Female,5,2,1,1,2.500,1.000,2.500,4.110
46,"(34, 54]","(0, 5]",Female,6,3,3,5,2.000,0.600,3.333,3.393
47,"(34, 54]","(0, 5]",Male,3,4,3,7,0.750,0.429,1.750,1.803
48,"(34, 54]","(5, 10]",Female,6,9,7,9,0.667,0.778,0.857,0.627
49,"(34, 54]","(5, 10]",Male,2,4,8,9,0.500,0.889,0.562,0.559
50,"(34, 54]","(10, 15]",Female,8,30,10,17,0.267,0.588,0.453,0.256
51,"(34, 54]","(10, 15]",Male,5,6,8,12,0.833,0.667,1.250,0.950
52,"(34, 54]","(15, 20]",Female,14,21,4,5,0.667,0.800,0.833,0.630
53,"(34, 54]","(15, 20]",Male,10,13,16,22,0.769,0.727,1.058,0.567
54,"(34, 54]","(20, 25]",Female,12,16,4,11,0.750,0.364,2.062,1.443
55,"(34, 54]","(20, 25]",Male,6,18,17,29,0.333,0.586,0.569,0.321
56,"(34, 54]","(25, 30]",Female,6,13,6,11,0.462,0.545,0.846,0.601
57,"(34, 54]","(25, 30]",Male,26,29,25,30,0.897,0.833,1.076,0.415
58,"(34, 54]","(30, 35]",Female,5,8,9,11,0.625,0.818,0.764,0.556
59,"(34, 54]","(30, 35]",Male,33,44,15,38,0.750,0.395,1.900,0.732
60,"(34, 54]","(35, 40]",Female,3,7,6,17,0.429,0.353,1.214,1.019
61,"(34, 54]","(35, 40]",Male,46,44,31,30,1.045,1.033,1.012,0.339
62,"(34, 54]","(40, 45]",Female,7,15,12,12,0.467,1.000,0.467,0.287
63,"(34, 54]","(40, 45]",Male,37,46,23,20,0.804,1.150,0.699,0.266
64,"(34, 54]","(45, 50]",Female,8,7,13,9,1.143,1.444,0.791,0.536
65,"(34, 54]","(45, 50]",Male,41,48,14,12,0.854,1.167,0.732,0.329
66,"(34, 54]","(50, 55]",Female,15,5,14,4,3.000,3.500,0.857,0.659
67,"(34, 54]","(50, 55]",Male,22,27,22,12,0.815,1.833,0.444,0.205
68,"(34, 54]","(55, 60]",Female,10,9,13,10,1.111,1.300,0.855,0.534
69,"(34, 54]","(55, 60]",Male,9,6,9,6,1.500,1.500,1.000,0.747
70,"(34, 54]","(60, 65]",Female,12,5,3,4,2.400,0.750,3.200,2.983
71,"(34, 54]","(60, 65]",Male,5,4,2,6,1.250,0.333,3.750,3.967
72,"(34, 54]","(65, 70]",Female,10,3,8,2,3.333,4.000,0.833,0.858
73,"(34, 54]","(65, 70]",Male,3,3,9,1,1.000,9.000,0.111,0.148
74,"(34, 54]","(70, 75]",Female,11,3,1,1,3.667,1.000,3.667,5.712
75,"(34, 54]","(70, 75]",Male,7,1,4,3,7.000,1.333,5.250,6.903
76,"(34, 54]","(75, 80]",Female,11,5,4,1,2.200,4.000,0.550,0.683
77,"(54, 100]","(5, 10]",Female,1,3,1,3,0.333,0.333,1.000,1.634
78,"(54, 100]","(10, 15]",Female,2,5,2,7,0.400,0.286,1.400,1.624
79,"(54, 100]","(10, 15]",Male,1,5,3,9,0.200,0.333,0.600,0.770
80,"(54, 100]","(15, 20]",Female,3,6,1,3,0.500,0.333,1.500,2.032
81,"(54, 100]","(15, 20]",Male,3,7,1,2,0.429,0.500,0.857,1.206
82,"(54, 100]","(25, 30]",Male,1,1,3,5,1.000,0.600,1.667,2.654
83,"(54, 100]","(30, 35]",Female,1,2,1,2,0.500,0.500,1.000,1.733
84,"(54, 100]","(30, 35]",Male,2,9,2,10,0.222,0.200,1.111,1.224
85,"(54, 100]","(35, 40]",Female,3,5,1,1,0.600,1.000,0.600,0.955
86,"(54, 100]","(35, 40]",Male,3,9,5,8,0.333,0.625,0.533,0.469
87,"(54, 100]","(40, 45]",Female,2,3,1,1,0.667,1.000,0.667,1.123
88,"(54, 100]","(40, 45]",Male,8,10,3,1,0.800,3.000,0.267,0.333
89,"(54, 100]","(45, 50]",Female,2,5,2,3,0.400,0.667,0.600,0.744
90,"(54, 100]","(45, 50]",Male,20,21,7,10,0.952,0.700,1.361,0.797
91,"(54, 100]","(50, 55]",Female,5,5,3,5,1.000,0.600,1.667,1.612
92,"(54, 100]","(50, 55]",Male,38,33,6,8,1.152,0.750,1.535,0.909
93,"(54, 100]","(55, 60]",Female,8,9,8,9,0.889,0.889,1.000,0.689
94,"(54, 100]","(55, 60]",Male,62,61,10,9,1.016,1.111,0.915,0.454
95,"(54, 100]","(60, 65]",Female,8,9,12,9,0.889,1.333,0.667,0.439
96,"(54, 100]","(60, 65]",Male,77,76,8,12,1.013,0.667,1.520,0.740
97,"(54, 100]","(65, 70]",Female,16,14,15,17,1.143,0.882,1.295,0.663
