,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Deployed,12,16,17,24,0.750,0.708,1.059,0.528
1,"(15, 24]","(15, 22]",Deployed,15,13,38,36,1.154,1.056,1.093,0.489
2,"(15, 24]","(15, 22]",Non-Motorist,127,138,121,151,0.920,0.801,1.148,0.207
3,"(15, 24]","(15, 22]",Non-Motorist,66,52,339,343,1.269,0.988,1.284,0.266
4,"(15, 24]","(15, 22]",Not Deployed,23,39,26,33,0.590,0.788,0.749,0.280
5,"(15, 24]","(15, 22]",Not Deployed,19,12,52,52,1.583,1.000,1.583,0.666
6,"(15, 24]","(15, 22]",Unknown,367,371,318,415,0.989,0.766,1.291,0.150
7,"(15, 24]","(15, 22]",Unknown,229,177,793,745,1.294,1.064,1.215,0.149
8,"(15, 24]","(15, 22]",nan,2,4,5,3,0.500,1.667,0.300,0.340
9,"(15, 24]","(22, 27]",Deployed,2,2,9,7,1.000,1.286,0.778,0.872
10,"(15, 24]","(22, 27]",Deployed,3,3,10,9,1.000,1.111,0.900,0.844
11,"(15, 24]","(22, 27]",Non-Motorist,35,30,94,97,1.167,0.969,1.204,0.352
12,"(15, 24]","(22, 27]",Non-Motorist,15,9,77,93,1.667,0.828,2.013,0.909
13,"(15, 24]","(22, 27]",Not Deployed,6,6,6,8,1.000,0.750,1.333,1.056
14,"(15, 24]","(22, 27]",Unknown,60,57,133,161,1.053,0.826,1.274,0.286
15,"(15, 24]","(22, 27]",Unknown,35,32,161,142,1.094,1.134,0.965,0.265
16,"(15, 24]","(27, 32]",Non-Motorist,8,4,21,21,2.000,1.000,2.000,1.375
17,"(15, 24]","(27, 32]",Unknown,24,11,44,37,2.182,1.189,1.835,0.789
18,"(15, 24]","(27, 32]",Unknown,8,7,51,40,1.143,1.275,0.896,0.503
19,"(15, 24]","(32, 37]",Non-Motorist,7,3,9,6,2.333,1.500,1.556,1.353
20,"(15, 24]","(32, 37]",Non-Motorist,4,1,16,6,4.000,2.667,1.500,1.826
21,"(15, 24]","(32, 37]",Unknown,16,8,22,14,2.000,1.571,1.273,0.705
22,"(15, 24]","(32, 37]",Unknown,14,4,33,20,3.500,1.650,2.121,1.349
23,"(15, 24]","(37, 42]",Deployed,2,1,1,2,2.000,0.500,4.000,6.931
24,"(15, 24]","(37, 42]",Non-Motorist,16,8,6,4,2.000,1.500,1.333,1.039
25,"(15, 24]","(37, 42]",Non-Motorist,9,2,10,8,4.500,1.250,3.600,3.297
26,"(15, 24]","(37, 42]",Unknown,38,18,4,6,2.111,0.667,3.167,2.241
27,"(15, 24]","(37, 42]",Unknown,17,11,11,7,1.545,1.571,0.983,0.611
28,"(15, 24]","(42, 47]",Non-Motorist,13,8,5,3,1.625,1.667,0.975,0.837
29,"(15, 24]","(42, 47]",Non-Motorist,10,2,6,6,5.000,1.000,5.000,4.837
30,"(15, 24]","(42, 47]",Unknown,30,13,11,8,2.308,1.375,1.678,0.962
31,"(15, 24]","(42, 47]",Unknown,19,11,17,6,1.727,2.833,0.610,0.372
32,"(15, 24]","(47, 52]",Non-Motorist,5,4,4,3,1.250,1.333,0.938,0.954
33,"(15, 24]","(47, 52]",Non-Motorist,7,3,8,1,2.333,8.000,0.292,0.369
34,"(15, 24]","(47, 52]",Unknown,23,11,7,4,2.091,1.750,1.195,0.870
35,"(15, 24]","(47, 52]",Unknown,11,4,13,4,2.750,3.250,0.846,0.693
36,"(15, 24]","(52, 57]",Unknown,9,2,5,3,4.500,1.667,2.700,2.892
37,"(15, 24]","(52, 57]",Unknown,8,2,8,3,4.000,2.667,1.500,1.563
38,"(15, 24]","(62, 67]",Unknown,3,1,3,1,3.000,3.000,1.000,1.634
39,"(15, 24]","(62, 67]",Unknown,3,2,7,1,1.500,7.000,0.214,0.301
40,"(15, 24]","(67, 72]",Unknown,2,1,2,1,2.000,2.000,1.000,1.733
41,"(15, 24]","(77, 82]",Unknown,3,1,2,1,3.000,2.000,1.500,2.526
42,"(24, 34]","(15, 22]",Deployed,1,1,1,3,1.000,0.333,3.000,5.479
43,"(24, 34]","(15, 22]",Deployed,2,1,3,5,2.000,0.600,3.333,4.756
