,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
216,"(54, 100]","(62, 67]",nan,1,2,2,2,0.500,1.000,0.500,0.791
153,"(34, 54]","(62, 67]",Unknown,17,10,28,19,1.700,1.474,1.154,0.576
215,"(54, 100]","(62, 67]",Unknown,84,119,17,38,0.706,0.447,1.578,0.518
214,"(54, 100]","(62, 67]",Unknown,69,150,242,354,0.460,0.684,0.673,0.118
39,"(15, 24]","(62, 67]",Unknown,3,2,7,1,1.500,7.000,0.214,0.301
38,"(15, 24]","(62, 67]",Unknown,3,1,3,1,3.000,3.000,1.000,1.634
154,"(34, 54]","(62, 67]",Unknown,6,4,13,9,1.500,1.444,1.038,0.809
152,"(34, 54]","(62, 67]",Not Deployed,2,2,2,1,1.000,2.000,0.500,0.791
213,"(54, 100]","(62, 67]",Not Deployed,5,8,20,20,0.625,1.000,0.625,0.409
151,"(34, 54]","(62, 67]",Non-Motorist,1,1,2,3,1.000,0.667,1.500,2.526
150,"(34, 54]","(62, 67]",Non-Motorist,12,3,17,21,4.000,0.810,4.941,3.582
211,"(54, 100]","(62, 67]",Non-Motorist,27,72,153,207,0.375,0.739,0.507,0.129
212,"(54, 100]","(62, 67]",Non-Motorist,56,66,9,9,0.848,1.000,0.848,0.431
209,"(54, 100]","(62, 67]",Deployed,8,12,20,27,0.667,0.741,0.900,0.491
210,"(54, 100]","(62, 67]",Deployed,7,11,1,2,0.636,0.500,1.273,1.677
149,"(34, 54]","(62, 67]",Deployed,1,2,2,1,0.500,2.000,0.250,0.433
88,"(24, 34]","(62, 67]",Deployed,1,1,1,1,1.000,1.000,1.000,2.001
