,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.199,0.074,19.000
1,"(22, 27]",1.205,0.110,25.000
2,"(27, 32]",1.281,0.136,30.000
3,"(32, 37]",1.357,0.164,35.000
4,"(37, 42]",1.052,0.128,40.000
5,"(42, 47]",1.224,0.168,45.000
6,"(47, 52]",1.147,0.160,50.000
7,"(52, 57]",0.948,0.130,55.000
8,"(57, 62]",0.775,0.096,60.000
9,"(62, 67]",0.782,0.089,65.000
10,"(67, 72]",0.783,0.079,70.000
11,"(72, 77]",0.843,0.081,75.000
12,"(77, 82]",0.838,0.095,80.000
13,"(82, 87]",1.188,0.198,85.000
14,"(87, 92]",0.924,0.355,90.000
