,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
252,"(54, 100]","(30, 35]",Unknown,7,10,4,15,0.700,0.267,2.625,1.968
39,"(15, 24]","(30, 35]",Unknown,11,9,14,14,1.222,1.000,1.222,0.720
40,"(15, 24]","(30, 35]",Unknown,11,8,24,24,1.375,1.000,1.375,0.755
175,"(34, 54]","(30, 35]",Unknown,114,99,32,37,1.152,0.865,1.331,0.376
103,"(24, 34]","(30, 35]",Unknown,33,40,44,37,0.825,1.189,0.694,0.228
104,"(24, 34]","(30, 35]",Unknown,77,66,71,56,1.167,1.268,0.920,0.230
174,"(34, 54]","(30, 35]",Unknown,30,33,19,28,0.909,0.679,1.340,0.527
172,"(34, 54]","(30, 35]",Not Deployed,2,5,1,3,0.400,0.333,1.200,1.712
102,"(24, 34]","(30, 35]",Not Deployed,5,5,4,1,1.000,4.000,0.250,0.321
173,"(34, 54]","(30, 35]",Not Deployed,5,3,2,2,1.667,1.000,1.667,2.065
251,"(54, 100]","(30, 35]",Non-Motorist,2,7,3,6,0.286,0.500,0.571,0.612
250,"(54, 100]","(30, 35]",Non-Motorist,5,6,1,3,0.833,0.333,2.500,3.262
37,"(15, 24]","(30, 35]",Non-Motorist,5,6,3,4,0.833,0.750,1.111,1.084
171,"(34, 54]","(30, 35]",Non-Motorist,59,56,16,18,1.054,0.889,1.185,0.467
38,"(15, 24]","(30, 35]",Non-Motorist,4,2,9,3,2.000,3.000,0.667,0.729
101,"(24, 34]","(30, 35]",Non-Motorist,50,45,25,21,1.111,1.190,0.933,0.340
100,"(24, 34]","(30, 35]",Non-Motorist,10,10,14,19,1.000,0.737,1.357,0.776
170,"(34, 54]","(30, 35]",Non-Motorist,7,15,7,9,0.467,0.778,0.600,0.410
249,"(54, 100]","(30, 35]",Deployed,1,1,1,2,1.000,0.500,2.000,3.743
99,"(24, 34]","(30, 35]",Deployed,3,5,1,3,0.600,0.333,1.800,2.461
