,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
283,"(54, 100]","(60, 65]",nan,1,2,3,1,0.500,3.000,0.167,0.281
217,"(34, 54]","(60, 65]",Unknown,39,22,18,11,1.773,1.636,1.083,0.508
282,"(54, 100]","(60, 65]",Unknown,320,294,23,20,1.088,1.150,0.946,0.303
281,"(54, 100]","(60, 65]",Unknown,59,54,48,43,1.093,1.116,0.979,0.280
59,"(15, 24]","(60, 65]",Unknown,14,1,2,1,14.000,2.000,7.000,11.230
218,"(34, 54]","(60, 65]",Unknown,15,10,15,8,1.500,1.875,0.800,0.481
60,"(15, 24]","(60, 65]",Unknown,8,2,4,2,4.000,2.000,2.000,2.347
216,"(34, 54]","(60, 65]",Not Deployed,1,1,3,1,1.000,3.000,0.333,0.609
279,"(54, 100]","(60, 65]",Not Deployed,4,5,3,4,0.800,0.750,1.067,1.086
280,"(54, 100]","(60, 65]",Not Deployed,16,16,1,2,1.000,0.500,2.000,2.551
215,"(34, 54]","(60, 65]",Non-Motorist,12,4,9,3,3.000,3.000,1.000,0.883
214,"(34, 54]","(60, 65]",Non-Motorist,23,11,3,5,2.091,0.600,3.485,2.853
277,"(54, 100]","(60, 65]",Non-Motorist,40,21,39,41,1.905,0.951,2.002,0.708
278,"(54, 100]","(60, 65]",Non-Motorist,224,182,12,9,1.231,1.333,0.923,0.420
129,"(24, 34]","(60, 65]",Non-Motorist,18,3,3,2,6.000,1.500,4.000,4.427
58,"(15, 24]","(60, 65]",Non-Motorist,3,1,2,1,3.000,2.000,1.500,2.526
213,"(34, 54]","(60, 65]",Deployed,1,1,1,2,1.000,0.500,2.000,3.743
275,"(54, 100]","(60, 65]",Deployed,4,5,3,6,0.800,0.500,1.600,1.562
276,"(54, 100]","(60, 65]",Deployed,20,18,1,2,1.111,0.500,2.222,2.818
