,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Deployed,11,12,23,18,0.917,1.278,0.717,0.377
1,"(15, 24]","(15, 22]",Deployed,14,10,64,73,1.400,0.877,1.597,0.720
2,"(15, 24]","(15, 22]",Non-Motorist,1826,1729,2818,3386,1.056,0.832,1.269,0.083
3,"(15, 24]","(15, 22]",Non-Motorist,1182,839,9694,9526,1.409,1.018,1.384,0.095
4,"(15, 24]","(15, 22]",Not Deployed,26,28,46,58,0.929,0.793,1.171,0.398
5,"(15, 24]","(15, 22]",Not Deployed,30,18,174,162,1.667,1.074,1.552,0.499
6,"(15, 24]","(15, 22]",Unknown,564,538,880,1136,1.048,0.775,1.353,0.122
7,"(15, 24]","(15, 22]",Unknown,447,329,2895,2875,1.359,1.007,1.349,0.124
8,"(15, 24]","(15, 22]",nan,5,4,12,10,1.250,1.200,1.042,0.831
9,"(15, 24]","(22, 27]",Deployed,3,3,5,9,1.000,0.556,1.800,1.782
10,"(15, 24]","(22, 27]",Deployed,4,3,16,18,1.333,0.889,1.500,1.258
11,"(15, 24]","(22, 27]",Non-Motorist,324,304,1392,1480,1.066,0.941,1.133,0.115
12,"(15, 24]","(22, 27]",Non-Motorist,241,164,2500,2195,1.470,1.139,1.290,0.150
13,"(15, 24]","(22, 27]",Not Deployed,5,6,18,20,0.833,0.900,0.926,0.638
14,"(15, 24]","(22, 27]",Not Deployed,6,2,37,30,3.000,1.233,2.432,2.078
15,"(15, 24]","(22, 27]",Unknown,109,94,329,383,1.160,0.859,1.350,0.226
16,"(15, 24]","(22, 27]",Unknown,116,68,828,700,1.706,1.183,1.442,0.243
17,"(15, 24]","(27, 32]",Non-Motorist,142,97,465,482,1.464,0.965,1.517,0.235
18,"(15, 24]","(27, 32]",Non-Motorist,99,63,743,505,1.571,1.471,1.068,0.190
19,"(15, 24]","(27, 32]",Not Deployed,3,2,17,8,1.500,2.125,0.706,0.713
20,"(15, 24]","(27, 32]",Unknown,45,23,144,147,1.957,0.980,1.997,0.572
21,"(15, 24]","(27, 32]",Unknown,42,24,243,180,1.750,1.350,1.296,0.361
22,"(15, 24]","(32, 37]",Deployed,1,1,2,2,1.000,1.000,1.000,1.733
23,"(15, 24]","(32, 37]",Non-Motorist,92,50,173,123,1.840,1.407,1.308,0.284
24,"(15, 24]","(32, 37]",Non-Motorist,83,38,294,175,2.184,1.680,1.300,0.291
25,"(15, 24]","(32, 37]",Unknown,37,25,60,50,1.480,1.200,1.233,0.402
26,"(15, 24]","(32, 37]",Unknown,21,11,123,77,1.909,1.597,1.195,0.481
27,"(15, 24]","(37, 42]",Non-Motorist,124,60,86,47,2.067,1.830,1.129,0.277
28,"(15, 24]","(37, 42]",Non-Motorist,64,27,164,88,2.370,1.864,1.272,0.343
29,"(15, 24]","(37, 42]",Not Deployed,3,1,3,1,3.000,3.000,1.000,1.634
30,"(15, 24]","(37, 42]",Unknown,48,17,27,13,2.824,2.077,1.359,0.602
31,"(15, 24]","(37, 42]",Unknown,26,10,81,43,2.600,1.884,1.380,0.580
32,"(15, 24]","(42, 47]",Deployed,1,1,2,1,1.000,2.000,0.500,0.936
33,"(15, 24]","(42, 47]",Non-Motorist,88,35,51,32,2.514,1.594,1.578,0.482
