,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
8,"(15, 24]","(15, 22]",nan,5,4,12,10,1.250,1.200,1.042,0.831
194,"(54, 100]","(15, 22]",Unknown,4,14,11,39,0.286,0.282,1.013,0.672
193,"(54, 100]","(15, 22]",Unknown,10,39,5,23,0.256,0.217,1.179,0.719
124,"(34, 54]","(15, 22]",Unknown,19,22,86,137,0.864,0.628,1.376,0.476
123,"(34, 54]","(15, 22]",Unknown,48,88,37,83,0.545,0.446,1.224,0.332
6,"(15, 24]","(15, 22]",Unknown,564,538,880,1136,1.048,0.775,1.353,0.122
7,"(15, 24]","(15, 22]",Unknown,447,329,2895,2875,1.359,1.007,1.349,0.124
63,"(24, 34]","(15, 22]",Unknown,108,87,318,386,1.241,0.824,1.507,0.257
62,"(24, 34]","(15, 22]",Unknown,43,43,76,102,1.000,0.745,1.342,0.360
60,"(24, 34]","(15, 22]",Not Deployed,1,2,2,4,0.500,0.500,1.000,1.501
122,"(34, 54]","(15, 22]",Not Deployed,2,1,1,4,2.000,0.250,8.000,13.273
121,"(34, 54]","(15, 22]",Not Deployed,1,6,2,3,0.167,0.667,0.250,0.354
61,"(24, 34]","(15, 22]",Not Deployed,5,12,18,13,0.417,1.385,0.301,0.195
5,"(15, 24]","(15, 22]",Not Deployed,30,18,174,162,1.667,1.074,1.552,0.499
4,"(15, 24]","(15, 22]",Not Deployed,26,28,46,58,0.929,0.793,1.171,0.398
59,"(24, 34]","(15, 22]",Non-Motorist,257,213,905,969,1.207,0.934,1.292,0.149
58,"(24, 34]","(15, 22]",Non-Motorist,148,148,173,294,1.000,0.588,1.699,0.270
119,"(34, 54]","(15, 22]",Non-Motorist,132,247,86,226,0.534,0.381,1.404,0.244
120,"(34, 54]","(15, 22]",Non-Motorist,62,85,199,380,0.729,0.524,1.393,0.272
3,"(15, 24]","(15, 22]",Non-Motorist,1182,839,9694,9526,1.409,1.018,1.384,0.095
191,"(54, 100]","(15, 22]",Non-Motorist,30,153,19,109,0.196,0.174,1.125,0.363
192,"(54, 100]","(15, 22]",Non-Motorist,14,40,40,138,0.350,0.290,1.207,0.437
2,"(15, 24]","(15, 22]",Non-Motorist,1826,1729,2818,3386,1.056,0.832,1.269,0.083
1,"(15, 24]","(15, 22]",Deployed,14,10,64,73,1.400,0.877,1.597,0.720
57,"(24, 34]","(15, 22]",Deployed,4,2,6,5,2.000,1.200,1.667,1.763
0,"(15, 24]","(15, 22]",Deployed,11,12,23,18,0.917,1.278,0.717,0.377
