,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
80,"(24, 34]","(27, 32]",nan,2,1,2,1,2.000,2.000,1.000,1.733
78,"(24, 34]","(27, 32]",Unknown,66,79,211,263,0.835,0.802,1.041,0.205
79,"(24, 34]","(27, 32]",Unknown,132,97,453,440,1.361,1.030,1.322,0.208
201,"(54, 100]","(27, 32]",Unknown,18,41,6,29,0.439,0.207,2.122,1.130
136,"(34, 54]","(27, 32]",Unknown,57,55,141,159,1.036,0.887,1.169,0.265
135,"(34, 54]","(27, 32]",Unknown,34,44,59,125,0.773,0.472,1.637,0.462
202,"(54, 100]","(27, 32]",Unknown,5,15,12,30,0.333,0.400,0.833,0.518
21,"(15, 24]","(27, 32]",Unknown,42,24,243,180,1.750,1.350,1.296,0.361
20,"(15, 24]","(27, 32]",Unknown,45,23,144,147,1.957,0.980,1.997,0.572
76,"(24, 34]","(27, 32]",Not Deployed,4,2,10,7,2.000,1.429,1.400,1.397
77,"(24, 34]","(27, 32]",Not Deployed,4,2,20,22,2.000,0.909,2.200,2.026
134,"(34, 54]","(27, 32]",Not Deployed,6,6,8,6,1.000,1.333,0.750,0.594
19,"(15, 24]","(27, 32]",Not Deployed,3,2,17,8,1.500,2.125,0.706,0.713
74,"(24, 34]","(27, 32]",Non-Motorist,185,156,778,957,1.186,0.813,1.459,0.188
75,"(24, 34]","(27, 32]",Non-Motorist,250,174,967,937,1.437,1.032,1.392,0.167
18,"(15, 24]","(27, 32]",Non-Motorist,99,63,743,505,1.571,1.471,1.068,0.190
132,"(34, 54]","(27, 32]",Non-Motorist,84,125,117,180,0.672,0.650,1.034,0.198
133,"(34, 54]","(27, 32]",Non-Motorist,119,118,297,338,1.008,0.879,1.148,0.184
199,"(54, 100]","(27, 32]",Non-Motorist,65,178,25,83,0.365,0.301,1.212,0.333
200,"(54, 100]","(27, 32]",Non-Motorist,19,51,41,101,0.373,0.406,0.918,0.303
17,"(15, 24]","(27, 32]",Non-Motorist,142,97,465,482,1.464,0.965,1.517,0.235
73,"(24, 34]","(27, 32]",Deployed,4,2,9,8,2.000,1.125,1.778,1.768
72,"(24, 34]","(27, 32]",Deployed,2,3,7,4,0.667,1.750,0.381,0.422
