,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Non-Motorist,46,49,58,59,0.939,0.983,0.955,0.268
1,"(15, 24]","(0, 5]",Non-Motorist,46,39,38,34,1.179,1.118,1.055,0.343
2,"(15, 24]","(0, 5]",Unknown,24,28,23,26,0.857,0.885,0.969,0.390
3,"(15, 24]","(0, 5]",Unknown,9,5,23,15,1.800,1.533,1.174,0.764
4,"(15, 24]","(5, 10]",Non-Motorist,20,30,16,27,0.667,0.593,1.125,0.484
5,"(15, 24]","(5, 10]",Non-Motorist,14,23,18,19,0.609,0.947,0.643,0.305
6,"(15, 24]","(5, 10]",Unknown,7,8,8,9,0.875,0.889,0.984,0.701
7,"(15, 24]","(5, 10]",Unknown,11,10,5,8,1.100,0.625,1.760,1.267
8,"(15, 24]","(10, 15]",Non-Motorist,71,92,31,59,0.772,0.525,1.469,0.407
9,"(15, 24]","(10, 15]",Non-Motorist,148,212,250,314,0.698,0.796,0.877,0.128
10,"(15, 24]","(10, 15]",Not Deployed,2,5,5,8,0.400,0.625,0.640,0.649
11,"(15, 24]","(10, 15]",Unknown,26,49,20,24,0.531,0.833,0.637,0.249
12,"(15, 24]","(10, 15]",Unknown,69,91,72,115,0.758,0.626,1.211,0.272
13,"(15, 24]","(15, 20]",Non-Motorist,170,246,81,178,0.691,0.455,1.519,0.265
14,"(15, 24]","(15, 20]",Non-Motorist,377,442,1108,1580,0.853,0.701,1.216,0.115
15,"(15, 24]","(15, 20]",Not Deployed,4,3,2,4,1.333,0.500,2.667,3.082
16,"(15, 24]","(15, 20]",Not Deployed,15,11,25,27,1.364,0.926,1.473,0.717
17,"(15, 24]","(15, 20]",Unknown,60,85,55,98,0.706,0.561,1.258,0.306
18,"(15, 24]","(15, 20]",Unknown,153,177,370,506,0.864,0.731,1.182,0.165
19,"(15, 24]","(20, 25]",Non-Motorist,42,58,44,74,0.724,0.595,1.218,0.344
20,"(15, 24]","(20, 25]",Non-Motorist,93,122,415,555,0.762,0.748,1.019,0.163
21,"(15, 24]","(20, 25]",Not Deployed,4,4,4,9,1.000,0.444,2.250,2.091
22,"(15, 24]","(20, 25]",Unknown,18,25,17,30,0.720,0.567,1.271,0.554
23,"(15, 24]","(20, 25]",Unknown,25,40,160,220,0.625,0.727,0.859,0.240
24,"(15, 24]","(25, 30]",Non-Motorist,8,12,9,19,0.667,0.474,1.407,0.861
25,"(15, 24]","(25, 30]",Non-Motorist,26,29,102,120,0.897,0.850,1.055,0.323
26,"(15, 24]","(25, 30]",Unknown,6,4,10,16,1.500,0.625,2.400,1.830
27,"(15, 24]","(25, 30]",Unknown,11,8,37,43,1.375,0.860,1.598,0.828
28,"(15, 24]","(30, 35]",Non-Motorist,3,4,5,9,0.750,0.556,1.350,1.279
29,"(15, 24]","(30, 35]",Non-Motorist,12,10,28,40,1.200,0.700,1.714,0.851
30,"(15, 24]","(30, 35]",Unknown,6,5,4,4,1.200,1.000,1.200,1.119
31,"(15, 24]","(30, 35]",Unknown,6,5,14,15,1.200,0.933,1.286,0.916
32,"(15, 24]","(35, 40]",Non-Motorist,6,6,4,2,1.000,2.000,0.500,0.521
33,"(15, 24]","(35, 40]",Non-Motorist,9,9,9,14,1.000,0.643,1.556,0.993
34,"(15, 24]","(35, 40]",Unknown,5,6,11,6,0.833,1.833,0.455,0.360
35,"(15, 24]","(40, 45]",Non-Motorist,10,7,3,2,1.429,1.500,0.952,0.989
36,"(15, 24]","(40, 45]",Non-Motorist,16,3,18,12,5.333,1.500,3.556,2.606
37,"(15, 24]","(40, 45]",Unknown,3,3,8,9,1.000,0.889,1.125,1.070
38,"(15, 24]","(45, 50]",Non-Motorist,4,1,5,3,4.000,1.667,2.400,3.207
39,"(15, 24]","(45, 50]",Non-Motorist,7,6,16,4,1.167,4.000,0.292,0.230
40,"(15, 24]","(45, 50]",Unknown,3,3,4,1,1.000,4.000,0.250,0.346
41,"(15, 24]","(45, 50]",Unknown,1,2,3,4,0.500,0.750,0.667,0.963
42,"(15, 24]","(50, 55]",Non-Motorist,7,3,8,5,2.333,1.600,1.458,1.307
