,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
22,"(15, 24]","(20, 25]",Unknown,18,25,17,30,0.720,0.567,1.271,0.554
23,"(15, 24]","(20, 25]",Unknown,25,40,160,220,0.625,0.727,0.859,0.240
67,"(24, 34]","(20, 25]",Unknown,8,18,13,17,0.444,0.765,0.581,0.328
68,"(24, 34]","(20, 25]",Unknown,15,20,49,86,0.750,0.570,1.316,0.512
117,"(34, 54]","(20, 25]",Unknown,4,4,2,7,1.000,0.286,3.500,3.746
118,"(34, 54]","(20, 25]",Unknown,11,13,11,22,0.846,0.500,1.692,0.937
169,"(54, 100]","(20, 25]",Unknown,1,6,1,6,0.167,0.167,1.000,1.528
21,"(15, 24]","(20, 25]",Not Deployed,4,4,4,9,1.000,0.444,2.250,2.091
66,"(24, 34]","(20, 25]",Not Deployed,3,3,1,4,1.000,0.250,4.000,5.541
19,"(15, 24]","(20, 25]",Non-Motorist,42,58,44,74,0.724,0.595,1.218,0.344
20,"(15, 24]","(20, 25]",Non-Motorist,93,122,415,555,0.762,0.748,1.019,0.163
64,"(24, 34]","(20, 25]",Non-Motorist,17,26,10,38,0.654,0.263,2.485,1.181
65,"(24, 34]","(20, 25]",Non-Motorist,59,85,139,247,0.694,0.563,1.233,0.254
115,"(34, 54]","(20, 25]",Non-Motorist,7,14,5,15,0.500,0.333,1.500,1.043
116,"(34, 54]","(20, 25]",Non-Motorist,11,38,28,56,0.289,0.500,0.579,0.241
168,"(54, 100]","(20, 25]",Non-Motorist,7,31,2,12,0.226,0.167,1.355,1.182
