,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.053,0.108,3.000
1,"(5, 10]",0.993,0.103,8.000
2,"(10, 15]",0.998,0.079,13.000
3,"(15, 20]",1.224,0.074,18.000
4,"(20, 25]",1.123,0.101,23.000
5,"(25, 30]",1.268,0.159,28.000
6,"(30, 35]",1.229,0.198,33.000
7,"(35, 40]",1.310,0.256,38.000
8,"(40, 45]",1.320,0.276,43.000
9,"(45, 50]",0.923,0.201,48.000
10,"(50, 55]",1.079,0.264,53.000
11,"(55, 60]",1.003,0.260,58.000
12,"(60, 65]",0.909,0.236,63.000
13,"(65, 70]",1.236,0.342,68.000
14,"(70, 75]",0.856,0.264,73.000
15,"(75, 80]",0.948,0.347,78.000
16,"(80, 85]",0.490,0.276,83.000
17,"(85, 90]",1.435,1.235,88.000
