,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
32,"(15, 24]","(20, 25]",nan,4,1,5,8,4.000,0.625,6.400,8.038
110,"(24, 34]","(20, 25]",nan,2,2,3,4,1.000,0.750,1.333,1.679
278,"(54, 100]","(20, 25]",Unknown,5,17,4,21,0.294,0.190,1.544,1.154
277,"(54, 100]","(20, 25]",Unknown,1,10,3,5,0.100,0.600,0.167,0.213
190,"(34, 54]","(20, 25]",Unknown,38,59,84,140,0.644,0.600,1.073,0.273
189,"(34, 54]","(20, 25]",Unknown,25,53,17,35,0.472,0.486,0.971,0.375
30,"(15, 24]","(20, 25]",Unknown,157,154,194,246,1.019,0.789,1.293,0.203
31,"(15, 24]","(20, 25]",Unknown,361,282,1197,1200,1.280,0.998,1.283,0.131
109,"(24, 34]","(20, 25]",Unknown,325,261,456,552,1.245,0.826,1.507,0.175
108,"(24, 34]","(20, 25]",Unknown,53,84,54,85,0.631,0.635,0.993,0.250
106,"(24, 34]","(20, 25]",Not Deployed,1,2,2,5,0.500,0.400,1.250,1.855
188,"(34, 54]","(20, 25]",Not Deployed,4,6,4,6,0.667,0.667,1.000,0.914
107,"(24, 34]","(20, 25]",Not Deployed,13,14,19,27,0.929,0.704,1.320,0.647
29,"(15, 24]","(20, 25]",Not Deployed,12,11,63,70,1.091,0.900,1.212,0.551
28,"(15, 24]","(20, 25]",Not Deployed,7,5,5,14,1.400,0.357,3.920,3.079
105,"(24, 34]","(20, 25]",Non-Motorist,1110,1023,1240,1533,1.085,0.809,1.341,0.102
104,"(24, 34]","(20, 25]",Non-Motorist,174,232,126,207,0.750,0.609,1.232,0.196
186,"(34, 54]","(20, 25]",Non-Motorist,63,143,35,94,0.441,0.372,1.183,0.301
187,"(34, 54]","(20, 25]",Non-Motorist,120,196,188,357,0.612,0.527,1.163,0.180
27,"(15, 24]","(20, 25]",Non-Motorist,1229,994,3727,3686,1.236,1.011,1.223,0.085
275,"(54, 100]","(20, 25]",Non-Motorist,6,41,3,20,0.146,0.150,0.976,0.741
276,"(54, 100]","(20, 25]",Non-Motorist,13,56,27,80,0.232,0.338,0.688,0.264
26,"(15, 24]","(20, 25]",Non-Motorist,506,530,458,647,0.955,0.708,1.349,0.135
25,"(15, 24]","(20, 25]",Deployed,7,6,37,32,1.167,1.156,1.009,0.614
103,"(24, 34]","(20, 25]",Deployed,10,8,16,12,1.250,1.333,0.938,0.573
102,"(24, 34]","(20, 25]",Deployed,3,3,2,3,1.000,0.667,1.500,1.839
185,"(34, 54]","(20, 25]",Deployed,2,5,3,6,0.400,0.500,0.800,0.877
24,"(15, 24]","(20, 25]",Deployed,3,2,5,11,1.500,0.455,3.300,3.503
