,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
163,"(24, 34]","(75, 80]",Unknown,7,1,4,1,7.000,4.000,1.750,2.708
253,"(34, 54]","(75, 80]",Unknown,32,12,8,1,2.667,8.000,0.333,0.371
254,"(34, 54]","(75, 80]",Unknown,22,9,14,4,2.444,3.500,0.698,0.484
332,"(54, 100]","(75, 80]",Unknown,89,66,75,44,1.348,1.705,0.791,0.202
333,"(54, 100]","(75, 80]",Unknown,229,171,31,23,1.339,1.348,0.994,0.295
331,"(54, 100]","(75, 80]",Not Deployed,4,1,8,3,4.000,2.667,1.500,1.962
75,"(15, 24]","(75, 80]",Non-Motorist,18,1,8,1,18.000,8.000,2.250,3.324
161,"(24, 34]","(75, 80]",Non-Motorist,20,5,11,1,4.000,11.000,0.364,0.421
162,"(24, 34]","(75, 80]",Non-Motorist,16,2,14,3,8.000,4.667,1.714,1.688
251,"(34, 54]","(75, 80]",Non-Motorist,116,40,28,8,2.900,3.500,0.829,0.368
252,"(34, 54]","(75, 80]",Non-Motorist,48,14,27,11,3.429,2.455,1.397,0.659
329,"(54, 100]","(75, 80]",Non-Motorist,259,147,228,135,1.762,1.689,1.043,0.165
330,"(54, 100]","(75, 80]",Non-Motorist,704,507,107,63,1.389,1.698,0.818,0.144
