,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Non-Motorist,41,56,35,43,0.732,0.814,0.899,0.280
1,"(15, 24]","(0, 5]",Non-Motorist,42,36,31,36,1.167,0.861,1.355,0.458
2,"(15, 24]","(0, 5]",Unknown,32,33,22,29,0.970,0.759,1.278,0.485
3,"(15, 24]","(0, 5]",Unknown,9,6,14,18,1.500,0.778,1.929,1.231
4,"(15, 24]","(5, 10]",Non-Motorist,21,22,22,19,0.955,1.158,0.824,0.363
5,"(15, 24]","(5, 10]",Non-Motorist,18,21,20,19,0.857,1.053,0.814,0.372
6,"(15, 24]","(5, 10]",Unknown,10,8,10,8,1.250,1.250,1.000,0.673
7,"(15, 24]","(5, 10]",Unknown,8,4,7,10,2.000,0.700,2.857,2.250
8,"(15, 24]","(10, 15]",Non-Motorist,73,96,44,71,0.760,0.620,1.227,0.309
9,"(15, 24]","(10, 15]",Non-Motorist,165,212,250,366,0.778,0.683,1.139,0.161
10,"(15, 24]","(10, 15]",Not Deployed,4,5,6,4,0.800,1.500,0.533,0.497
11,"(15, 24]","(10, 15]",Unknown,38,45,28,33,0.844,0.848,0.995,0.341
12,"(15, 24]","(10, 15]",Unknown,79,102,82,127,0.775,0.646,1.200,0.255
13,"(15, 24]","(15, 20]",Non-Motorist,180,261,110,212,0.690,0.519,1.329,0.213
14,"(15, 24]","(15, 20]",Non-Motorist,378,452,1339,1911,0.836,0.701,1.194,0.111
15,"(15, 24]","(15, 20]",Not Deployed,3,2,2,8,1.500,0.250,6.000,7.252
16,"(15, 24]","(15, 20]",Not Deployed,9,16,27,35,0.562,0.771,0.729,0.358
17,"(15, 24]","(15, 20]",Unknown,76,94,62,88,0.809,0.705,1.148,0.266
18,"(15, 24]","(15, 20]",Unknown,159,177,412,617,0.898,0.668,1.345,0.183
19,"(15, 24]","(20, 25]",Non-Motorist,44,52,63,128,0.846,0.492,1.719,0.449
20,"(15, 24]","(20, 25]",Non-Motorist,103,127,474,699,0.811,0.678,1.196,0.184
21,"(15, 24]","(20, 25]",Unknown,15,33,25,46,0.455,0.543,0.836,0.336
22,"(15, 24]","(20, 25]",Unknown,44,48,188,276,0.917,0.681,1.346,0.316
23,"(15, 24]","(25, 30]",Non-Motorist,24,19,17,20,1.263,0.850,1.486,0.674
24,"(15, 24]","(25, 30]",Non-Motorist,32,25,125,142,1.280,0.880,1.454,0.433
25,"(15, 24]","(25, 30]",Unknown,7,10,9,8,0.700,1.125,0.622,0.432
26,"(15, 24]","(25, 30]",Unknown,15,8,42,55,1.875,0.764,2.455,1.193
27,"(15, 24]","(30, 35]",Non-Motorist,6,4,10,8,1.500,1.250,1.200,0.963
28,"(15, 24]","(30, 35]",Non-Motorist,9,14,42,50,0.643,0.840,0.765,0.366
29,"(15, 24]","(30, 35]",Unknown,3,3,2,6,1.000,0.333,3.000,3.467
30,"(15, 24]","(30, 35]",Unknown,5,5,15,19,1.000,0.789,1.267,0.915
31,"(15, 24]","(35, 40]",Non-Motorist,1,4,5,6,0.250,0.833,0.300,0.382
32,"(15, 24]","(35, 40]",Non-Motorist,14,6,22,17,2.333,1.294,1.803,1.059
33,"(15, 24]","(35, 40]",Unknown,6,3,7,2,2.000,3.500,0.571,0.612
34,"(15, 24]","(35, 40]",Unknown,8,3,14,16,2.667,0.875,3.048,2.350
35,"(15, 24]","(40, 45]",Non-Motorist,8,7,5,3,1.143,1.667,0.686,0.615
36,"(15, 24]","(40, 45]",Non-Motorist,15,12,24,11,1.250,2.182,0.573,0.306
37,"(15, 24]","(40, 45]",Unknown,5,4,7,7,1.250,1.000,1.250,1.074
38,"(15, 24]","(45, 50]",Non-Motorist,3,6,2,4,0.500,0.500,1.000,1.119
39,"(15, 24]","(45, 50]",Non-Motorist,16,14,10,8,1.143,1.250,0.914,0.550
40,"(15, 24]","(45, 50]",Unknown,2,3,1,2,0.667,0.500,1.333,2.038
41,"(15, 24]","(45, 50]",Unknown,6,2,6,3,3.000,2.000,1.500,1.622
42,"(15, 24]","(50, 55]",Non-Motorist,6,4,3,1,1.500,3.000,0.500,0.662
43,"(15, 24]","(50, 55]",Non-Motorist,12,7,15,5,1.714,3.000,0.571,0.402
44,"(15, 24]","(55, 60]",Non-Motorist,7,3,6,3,2.333,2.000,1.167,1.154
45,"(15, 24]","(55, 60]",Unknown,5,1,4,3,5.000,1.333,3.750,5.011
46,"(15, 24]","(60, 65]",Non-Motorist,5,3,2,1,1.667,2.000,0.833,1.189
47,"(15, 24]","(60, 65]",Non-Motorist,7,3,10,3,2.333,3.333,0.700,0.668
48,"(15, 24]","(60, 65]",Unknown,2,1,1,2,2.000,0.500,4.000,6.931
49,"(15, 24]","(65, 70]",Non-Motorist,7,3,3,2,2.333,1.500,1.556,1.782
50,"(15, 24]","(65, 70]",Unknown,1,1,1,1,1.000,1.000,1.000,2.001
51,"(15, 24]","(80, 85]",Non-Motorist,2,1,2,1,2.000,2.000,1.000,1.733
52,"(24, 34]","(0, 5]",Non-Motorist,64,75,65,82,0.853,0.793,1.077,0.262
53,"(24, 34]","(0, 5]",Non-Motorist,64,83,64,80,0.771,0.800,0.964,0.233
54,"(24, 34]","(0, 5]",Unknown,33,37,23,37,0.892,0.622,1.435,0.518
55,"(24, 34]","(0, 5]",Unknown,14,27,22,35,0.519,0.629,0.825,0.355
56,"(24, 34]","(5, 10]",Non-Motorist,68,89,57,104,0.764,0.548,1.394,0.329
57,"(24, 34]","(5, 10]",Non-Motorist,49,75,47,72,0.653,0.653,1.001,0.267
58,"(24, 34]","(5, 10]",Not Deployed,3,1,1,1,3.000,1.000,3.000,5.479
59,"(24, 34]","(5, 10]",Unknown,26,50,20,38,0.520,0.526,0.988,0.366
60,"(24, 34]","(5, 10]",Unknown,12,16,16,23,0.750,0.696,1.078,0.544
61,"(24, 34]","(10, 15]",Non-Motorist,39,61,28,48,0.639,0.583,1.096,0.348
62,"(24, 34]","(10, 15]",Non-Motorist,20,33,41,52,0.606,0.788,0.769,0.273
63,"(24, 34]","(10, 15]",Unknown,10,24,7,16,0.417,0.438,0.952,0.563
64,"(24, 34]","(10, 15]",Unknown,8,18,13,18,0.444,0.722,0.615,0.346
65,"(24, 34]","(15, 20]",Non-Motorist,15,31,7,28,0.484,0.250,1.935,1.024
66,"(24, 34]","(15, 20]",Non-Motorist,52,79,108,207,0.658,0.522,1.262,0.278
67,"(24, 34]","(15, 20]",Not Deployed,2,2,2,4,1.000,0.500,2.000,2.648
68,"(24, 34]","(15, 20]",Unknown,3,17,6,17,0.176,0.353,0.500,0.394
69,"(24, 34]","(15, 20]",Unknown,13,26,38,81,0.500,0.469,1.066,0.422
70,"(24, 34]","(20, 25]",Non-Motorist,21,32,16,28,0.656,0.571,1.148,0.487
71,"(24, 34]","(20, 25]",Non-Motorist,68,81,183,310,0.840,0.590,1.422,0.278
72,"(24, 34]","(20, 25]",Not Deployed,3,2,4,4,1.500,1.000,1.500,1.734
73,"(24, 34]","(20, 25]",Unknown,8,15,6,7,0.533,0.857,0.622,0.442
74,"(24, 34]","(20, 25]",Unknown,26,30,72,127,0.867,0.567,1.529,0.474
75,"(24, 34]","(25, 30]",Non-Motorist,18,25,16,22,0.720,0.727,0.990,0.449
