,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
11,"(15, 24]","(10, 15]",Unknown,38,45,28,33,0.844,0.848,0.995,0.341
12,"(15, 24]","(10, 15]",Unknown,79,102,82,127,0.775,0.646,1.200,0.255
63,"(24, 34]","(10, 15]",Unknown,10,24,7,16,0.417,0.438,0.952,0.563
64,"(24, 34]","(10, 15]",Unknown,8,18,13,18,0.444,0.722,0.615,0.346
119,"(34, 54]","(10, 15]",Unknown,11,38,7,29,0.289,0.241,1.199,0.654
120,"(34, 54]","(10, 15]",Unknown,23,42,10,37,0.548,0.270,2.026,0.899
10,"(15, 24]","(10, 15]",Not Deployed,4,5,6,4,0.800,1.500,0.533,0.497
8,"(15, 24]","(10, 15]",Non-Motorist,73,96,44,71,0.760,0.620,1.227,0.309
9,"(15, 24]","(10, 15]",Non-Motorist,165,212,250,366,0.778,0.683,1.139,0.161
61,"(24, 34]","(10, 15]",Non-Motorist,39,61,28,48,0.639,0.583,1.096,0.348
62,"(24, 34]","(10, 15]",Non-Motorist,20,33,41,52,0.606,0.788,0.769,0.273
117,"(34, 54]","(10, 15]",Non-Motorist,40,106,25,82,0.377,0.305,1.238,0.370
118,"(34, 54]","(10, 15]",Non-Motorist,35,127,46,124,0.276,0.371,0.743,0.195
179,"(54, 100]","(10, 15]",Non-Motorist,3,18,6,16,0.167,0.375,0.444,0.350
180,"(54, 100]","(10, 15]",Non-Motorist,10,44,10,45,0.227,0.222,1.023,0.509
