,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.302,0.065,19.000
1,"(22, 27]",1.171,0.086,25.000
2,"(27, 32]",1.204,0.115,30.000
3,"(32, 37]",1.230,0.132,35.000
4,"(37, 42]",1.193,0.127,40.000
5,"(42, 47]",1.247,0.129,45.000
6,"(47, 52]",0.987,0.104,50.000
7,"(52, 57]",0.917,0.094,55.000
8,"(57, 62]",0.807,0.085,60.000
9,"(62, 67]",0.655,0.068,65.000
10,"(67, 72]",0.751,0.077,70.000
11,"(72, 77]",0.683,0.066,75.000
12,"(77, 82]",0.758,0.075,80.000
13,"(82, 87]",0.824,0.100,85.000
14,"(87, 92]",0.803,0.153,90.000
15,"(92, 97]",1.239,0.721,95.000
