,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
303,"(54, 100]","(45, 50]",nan,1,4,1,3,0.250,0.333,0.750,1.206
62,"(15, 24]","(45, 50]",nan,2,2,4,1,1.000,4.000,0.250,0.375
135,"(24, 34]","(45, 50]",nan,3,1,3,1,3.000,3.000,1.000,1.634
222,"(34, 54]","(45, 50]",nan,12,5,3,7,2.400,0.429,5.600,4.888
221,"(34, 54]","(45, 50]",nan,3,2,6,10,1.500,0.600,2.500,2.625
219,"(34, 54]","(45, 50]",Unknown,1,2,3,3,0.500,1.000,0.500,0.736
220,"(34, 54]","(45, 50]",Unknown,8,4,1,1,2.000,1.000,2.000,3.084
60,"(15, 24]","(45, 50]",Not Deployed,22,6,5,3,3.667,1.667,2.200,1.903
61,"(15, 24]","(45, 50]",Not Deployed,19,4,17,7,4.750,2.429,1.956,1.392
302,"(54, 100]","(45, 50]",Not Deployed,30,40,5,20,0.750,0.250,3.000,1.673
301,"(54, 100]","(45, 50]",Not Deployed,8,23,7,19,0.348,0.368,0.944,0.572
133,"(24, 34]","(45, 50]",Not Deployed,10,6,6,3,1.667,2.000,0.833,0.731
134,"(24, 34]","(45, 50]",Not Deployed,9,7,21,11,1.286,1.909,0.673,0.423
217,"(34, 54]","(45, 50]",Not Deployed,25,27,49,37,0.926,1.324,0.699,0.249
218,"(34, 54]","(45, 50]",Not Deployed,111,88,47,38,1.261,1.237,1.020,0.271
300,"(54, 100]","(45, 50]",Non-Motorist,2,1,1,2,2.000,0.500,4.000,6.931
216,"(34, 54]","(45, 50]",Non-Motorist,4,3,5,2,1.333,2.500,0.533,0.605
215,"(34, 54]","(45, 50]",Non-Motorist,2,1,2,2,2.000,1.000,2.000,3.164
59,"(15, 24]","(45, 50]",Deployed,12,10,16,16,1.200,1.000,1.200,0.669
214,"(34, 54]","(45, 50]",Deployed,122,133,34,36,0.917,0.944,0.971,0.267
298,"(54, 100]","(45, 50]",Deployed,18,36,10,21,0.500,0.476,1.050,0.507
299,"(54, 100]","(45, 50]",Deployed,41,63,8,24,0.651,0.333,1.952,0.893
213,"(34, 54]","(45, 50]",Deployed,26,22,42,55,1.182,0.764,1.548,0.555
132,"(24, 34]","(45, 50]",Deployed,17,8,19,13,2.125,1.462,1.454,0.817
131,"(24, 34]","(45, 50]",Deployed,19,13,6,6,1.462,1.000,1.462,0.997
58,"(15, 24]","(45, 50]",Deployed,21,16,9,6,1.312,1.500,0.875,0.547
