,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.199,0.353,3.000
1,"(5, 10]",1.101,0.167,8.000
2,"(10, 15]",1.172,0.107,13.000
3,"(15, 20]",1.199,0.063,18.000
4,"(20, 25]",1.231,0.075,23.000
5,"(25, 30]",1.189,0.095,28.000
6,"(30, 35]",1.103,0.106,33.000
7,"(35, 40]",1.044,0.108,38.000
8,"(40, 45]",1.277,0.134,43.000
9,"(45, 50]",1.175,0.130,48.000
10,"(50, 55]",1.264,0.141,53.000
11,"(55, 60]",1.203,0.145,58.000
12,"(60, 65]",0.998,0.126,63.000
13,"(65, 70]",1.324,0.172,68.000
14,"(70, 75]",0.942,0.110,73.000
15,"(75, 80]",1.016,0.109,78.000
16,"(80, 85]",1.025,0.110,83.000
17,"(85, 90]",0.913,0.125,88.000
18,"(90, 95]",1.167,0.308,93.000
19,"(95, 100]",1.569,1.311,98.000
