,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
42,"(15, 24]","(52, 57]",Not Deployed,3,2,3,2,1.500,1.500,1.000,1.292
89,"(24, 34]","(52, 57]",Not Deployed,6,3,9,4,2.000,2.250,0.889,0.826
143,"(34, 54]","(52, 57]",Not Deployed,9,6,34,30,1.500,1.133,1.324,0.775
144,"(34, 54]","(52, 57]",Not Deployed,15,11,33,24,1.364,1.375,0.992,0.478
187,"(54, 100]","(52, 57]",Not Deployed,14,24,15,22,0.583,0.682,0.856,0.408
188,"(54, 100]","(52, 57]",Not Deployed,16,14,15,17,1.143,0.882,1.295,0.663
142,"(34, 54]","(52, 57]",Non-Motorist,1,2,8,5,0.500,1.600,0.312,0.422
186,"(54, 100]","(52, 57]",Non-Motorist,1,2,3,3,0.500,1.000,0.500,0.736
41,"(15, 24]","(52, 57]",Deployed,5,2,2,1,2.500,2.000,1.250,1.855
88,"(24, 34]","(52, 57]",Deployed,2,2,6,1,1.000,6.000,0.167,0.245
140,"(34, 54]","(52, 57]",Deployed,4,6,20,29,0.667,0.690,0.967,0.686
141,"(34, 54]","(52, 57]",Deployed,7,5,20,19,1.400,1.053,1.330,0.890
184,"(54, 100]","(52, 57]",Deployed,4,12,13,20,0.333,0.650,0.513,0.349
185,"(54, 100]","(52, 57]",Deployed,11,19,8,10,0.579,0.800,0.724,0.441
