,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Deployed,1,1,1,1,1.000,1.000,1.000,2.001
1,"(15, 24]","(0, 5]",Not Deployed,3,5,8,9,0.600,0.889,0.675,0.593
2,"(15, 24]","(0, 5]",Not Deployed,2,2,8,10,1.000,0.800,1.250,1.385
3,"(15, 24]","(5, 10]",Not Deployed,4,2,1,4,2.000,0.250,8.000,11.321
4,"(15, 24]","(10, 15]",Not Deployed,17,16,8,13,1.062,0.615,1.727,0.985
5,"(15, 24]","(10, 15]",Not Deployed,28,36,26,40,0.778,0.650,1.197,0.431
6,"(15, 24]","(15, 20]",Deployed,6,3,2,1,2.000,2.000,1.000,1.415
7,"(15, 24]","(15, 20]",Deployed,9,10,16,24,0.900,0.667,1.350,0.761
8,"(15, 24]","(15, 20]",Non-Motorist,1,1,6,6,1.000,1.000,1.000,1.528
9,"(15, 24]","(15, 20]",Not Deployed,25,49,29,47,0.510,0.617,0.827,0.285
10,"(15, 24]","(15, 20]",Not Deployed,67,79,197,282,0.848,0.699,1.214,0.239
11,"(15, 24]","(20, 25]",Deployed,4,2,2,2,2.000,1.000,2.000,2.648
12,"(15, 24]","(20, 25]",Deployed,3,4,16,18,0.750,0.889,0.844,0.708
13,"(15, 24]","(20, 25]",Not Deployed,11,8,16,18,1.375,0.889,1.547,0.897
14,"(15, 24]","(20, 25]",Not Deployed,20,20,79,98,1.000,0.806,1.241,0.439
15,"(15, 24]","(20, 25]",Unknown,1,1,3,1,1.000,3.000,0.333,0.609
16,"(15, 24]","(25, 30]",Deployed,2,1,2,3,2.000,0.667,3.000,4.585
17,"(15, 24]","(25, 30]",Not Deployed,9,8,20,25,1.125,0.800,1.406,0.806
18,"(15, 24]","(30, 35]",Not Deployed,3,2,3,4,1.500,0.750,2.000,2.383
19,"(15, 24]","(30, 35]",Not Deployed,4,1,14,10,4.000,1.400,2.857,3.409
20,"(15, 24]","(35, 40]",Not Deployed,3,1,3,5,3.000,0.600,5.000,6.836
21,"(15, 24]","(40, 45]",Not Deployed,3,1,4,3,3.000,1.333,2.250,3.117
22,"(15, 24]","(45, 50]",Not Deployed,2,1,5,1,2.000,5.000,0.400,0.658
23,"(24, 34]","(0, 5]",Not Deployed,6,7,11,9,0.857,1.222,0.701,0.503
24,"(24, 34]","(0, 5]",Not Deployed,4,6,7,5,0.667,1.400,0.476,0.416
25,"(24, 34]","(5, 10]",Not Deployed,7,14,8,11,0.500,0.727,0.688,0.452
26,"(24, 34]","(5, 10]",Not Deployed,3,5,4,4,0.600,1.000,0.600,0.611
27,"(24, 34]","(10, 15]",Not Deployed,4,8,2,8,0.500,0.250,2.000,2.002
28,"(24, 34]","(10, 15]",Not Deployed,6,11,4,9,0.545,0.444,1.227,0.967
29,"(24, 34]","(15, 20]",Not Deployed,5,4,1,8,1.250,0.125,10.000,12.560
30,"(24, 34]","(15, 20]",Not Deployed,6,11,18,27,0.545,0.667,0.818,0.486
31,"(24, 34]","(20, 25]",Deployed,3,2,4,7,1.500,0.571,2.625,2.910
32,"(24, 34]","(20, 25]",Not Deployed,4,5,4,7,0.800,0.571,1.400,1.287
33,"(24, 34]","(20, 25]",Not Deployed,8,14,28,44,0.571,0.636,0.898,0.456
34,"(24, 34]","(25, 30]",Deployed,6,5,3,4,1.200,0.750,1.600,1.562
35,"(24, 34]","(25, 30]",Not Deployed,5,7,5,7,0.714,0.714,1.000,0.830
36,"(24, 34]","(25, 30]",Not Deployed,7,8,24,28,0.875,0.857,1.021,0.602
37,"(24, 34]","(30, 35]",Not Deployed,6,7,21,9,0.857,2.333,0.367,0.252
38,"(24, 34]","(35, 40]",Not Deployed,7,1,7,7,7.000,1.000,7.000,8.374
39,"(24, 34]","(40, 45]",Not Deployed,2,1,4,5,2.000,0.800,2.500,3.493
40,"(34, 54]","(0, 5]",Not Deployed,3,10,2,1,0.300,2.000,0.150,0.209
41,"(34, 54]","(5, 10]",Not Deployed,3,8,5,9,0.375,0.556,0.675,0.593
42,"(34, 54]","(5, 10]",Not Deployed,5,13,2,6,0.385,0.333,1.154,1.122
43,"(34, 54]","(10, 15]",Not Deployed,6,11,8,16,0.545,0.500,1.091,0.730
44,"(34, 54]","(10, 15]",Not Deployed,2,10,7,21,0.200,0.333,0.600,0.534
45,"(34, 54]","(15, 20]",Not Deployed,6,14,1,5,0.429,0.200,2.143,2.572
46,"(34, 54]","(15, 20]",Not Deployed,2,8,4,17,0.250,0.235,1.062,1.028
47,"(34, 54]","(20, 25]",Not Deployed,2,3,2,7,0.667,0.286,2.333,2.837
48,"(34, 54]","(20, 25]",Not Deployed,5,3,3,11,1.667,0.273,6.111,5.988
49,"(34, 54]","(25, 30]",Not Deployed,1,4,5,6,0.250,0.833,0.300,0.382
50,"(34, 54]","(30, 35]",Not Deployed,1,2,2,4,0.500,0.500,1.000,1.501
51,"(34, 54]","(30, 35]",Not Deployed,4,8,7,9,0.500,0.778,0.643,0.511
52,"(34, 54]","(35, 40]",Not Deployed,6,5,10,14,1.200,0.714,1.680,1.235
53,"(34, 54]","(40, 45]",Not Deployed,3,5,10,11,0.600,0.909,0.660,0.563
54,"(34, 54]","(45, 50]",Not Deployed,5,4,3,6,1.250,0.500,2.500,2.440
55,"(34, 54]","(50, 55]",Not Deployed,1,1,2,3,1.000,0.667,1.500,2.526
56,"(34, 54]","(50, 55]",Not Deployed,4,7,6,3,0.571,2.000,0.286,0.270
57,"(34, 54]","(60, 65]",Not Deployed,2,2,2,2,1.000,1.000,1.000,1.415
58,"(54, 100]","(50, 55]",Not Deployed,2,4,1,1,0.500,1.000,0.500,0.830
59,"(54, 100]","(55, 60]",Not Deployed,1,6,1,1,0.167,1.000,0.167,0.297
60,"(54, 100]","(65, 70]",Not Deployed,2,3,1,2,0.667,0.500,1.333,2.038
61,"(54, 100]","(80, 85]",Not Deployed,2,1,1,1,2.000,1.000,2.000,3.743
62,"(54, 100]","(85, 90]",Not Deployed,2,2,1,1,1.000,1.000,1.000,1.733
