,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
173,"(34, 54]","(15, 22]",nan,4,14,3,6,0.286,0.500,0.571,0.519
90,"(24, 34]","(15, 22]",nan,6,9,8,9,0.667,0.889,0.750,0.539
89,"(24, 34]","(15, 22]",nan,2,4,1,3,0.500,0.333,1.500,2.166
8,"(15, 24]","(15, 22]",nan,39,40,41,56,0.975,0.732,1.332,0.411
9,"(15, 24]","(15, 22]",nan,32,33,135,120,0.970,1.125,0.862,0.243
88,"(24, 34]","(15, 22]",Unknown,40,27,74,80,1.481,0.925,1.602,0.482
87,"(24, 34]","(15, 22]",Unknown,16,31,22,28,0.516,0.786,0.657,0.277
285,"(54, 100]","(15, 22]",Unknown,8,43,4,32,0.186,0.125,1.488,0.978
172,"(34, 54]","(15, 22]",Unknown,11,15,33,34,0.733,0.971,0.756,0.354
171,"(34, 54]","(15, 22]",Unknown,52,90,27,54,0.578,0.500,1.156,0.344
286,"(54, 100]","(15, 22]",Unknown,3,15,5,17,0.200,0.294,0.680,0.553
7,"(15, 24]","(15, 22]",Unknown,235,183,846,792,1.284,1.068,1.202,0.146
6,"(15, 24]","(15, 22]",Unknown,388,380,339,447,1.021,0.758,1.346,0.153
283,"(54, 100]","(15, 22]",Not Deployed,8,35,2,28,0.229,0.071,3.200,2.662
4,"(15, 24]","(15, 22]",Not Deployed,330,370,349,461,0.892,0.757,1.178,0.136
85,"(24, 34]","(15, 22]",Not Deployed,30,25,23,37,1.200,0.622,1.930,0.738
86,"(24, 34]","(15, 22]",Not Deployed,47,27,78,86,1.741,0.907,1.919,0.560
5,"(15, 24]","(15, 22]",Not Deployed,243,201,810,827,1.209,0.979,1.234,0.146
284,"(54, 100]","(15, 22]",Not Deployed,6,16,4,22,0.375,0.182,2.062,1.497
170,"(34, 54]","(15, 22]",Not Deployed,16,19,27,66,0.842,0.409,2.058,0.848
169,"(34, 54]","(15, 22]",Not Deployed,42,72,16,57,0.583,0.281,2.078,0.721
83,"(24, 34]","(15, 22]",Non-Motorist,10,11,5,14,0.909,0.357,2.545,1.735
168,"(34, 54]","(15, 22]",Non-Motorist,5,12,9,15,0.417,0.600,0.694,0.473
167,"(34, 54]","(15, 22]",Non-Motorist,17,30,10,23,0.567,0.435,1.303,0.636
2,"(15, 24]","(15, 22]",Non-Motorist,132,145,129,170,0.910,0.759,1.200,0.210
84,"(24, 34]","(15, 22]",Non-Motorist,9,11,25,32,0.818,0.781,1.047,0.550
3,"(15, 24]","(15, 22]",Non-Motorist,67,55,379,380,1.218,0.997,1.221,0.247
282,"(54, 100]","(15, 22]",Deployed,4,11,6,32,0.364,0.188,1.939,1.427
281,"(54, 100]","(15, 22]",Deployed,12,46,5,29,0.261,0.172,1.513,0.885
82,"(24, 34]","(15, 22]",Deployed,46,44,62,98,1.045,0.633,1.652,0.447
166,"(34, 54]","(15, 22]",Deployed,15,26,41,59,0.577,0.695,0.830,0.320
165,"(34, 54]","(15, 22]",Deployed,37,55,28,57,0.673,0.491,1.369,0.435
1,"(15, 24]","(15, 22]",Deployed,307,232,896,957,1.323,0.936,1.413,0.156
81,"(24, 34]","(15, 22]",Deployed,22,26,33,29,0.846,1.138,0.744,0.289
0,"(15, 24]","(15, 22]",Deployed,407,377,465,497,1.080,0.936,1.154,0.125
