,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
149,"(24, 34]","(20, 25]",nan,4,1,4,2,4.000,2.000,2.000,2.830
272,"(34, 54]","(20, 25]",nan,3,5,3,4,0.600,0.750,0.800,0.846
271,"(34, 54]","(20, 25]",nan,2,6,2,3,0.333,0.667,0.500,0.613
150,"(24, 34]","(20, 25]",nan,15,9,8,10,1.667,0.800,2.083,1.326
41,"(15, 24]","(20, 25]",nan,6,9,15,20,0.667,0.750,0.889,0.560
42,"(15, 24]","(20, 25]",nan,24,14,44,62,1.714,0.710,2.416,0.949
147,"(24, 34]","(20, 25]",Unknown,34,36,20,16,0.944,1.250,0.756,0.314
411,"(54, 100]","(20, 25]",Unknown,4,11,3,5,0.364,0.600,0.606,0.567
270,"(34, 54]","(20, 25]",Unknown,19,28,13,42,0.679,0.310,2.192,0.960
269,"(34, 54]","(20, 25]",Unknown,15,41,10,18,0.366,0.556,0.659,0.329
148,"(24, 34]","(20, 25]",Unknown,151,130,117,130,1.162,0.900,1.291,0.235
412,"(54, 100]","(20, 25]",Unknown,5,15,1,11,0.333,0.091,3.667,4.276
40,"(15, 24]","(20, 25]",Unknown,157,126,300,340,1.246,0.882,1.412,0.215
39,"(15, 24]","(20, 25]",Unknown,120,115,91,121,1.043,0.752,1.387,0.273
267,"(34, 54]","(20, 25]",Not Deployed,20,33,9,23,0.606,0.391,1.549,0.755
268,"(34, 54]","(20, 25]",Not Deployed,25,29,29,50,0.862,0.580,1.486,0.539
145,"(24, 34]","(20, 25]",Not Deployed,22,23,14,25,0.957,0.560,1.708,0.769
146,"(24, 34]","(20, 25]",Not Deployed,117,96,115,130,1.219,0.885,1.378,0.268
410,"(54, 100]","(20, 25]",Not Deployed,2,11,7,18,0.182,0.389,0.468,0.416
409,"(54, 100]","(20, 25]",Not Deployed,9,14,2,8,0.643,0.250,2.571,2.314
37,"(15, 24]","(20, 25]",Not Deployed,94,89,91,116,1.056,0.784,1.346,0.282
38,"(15, 24]","(20, 25]",Not Deployed,170,124,323,331,1.371,0.976,1.405,0.211
35,"(15, 24]","(20, 25]",Non-Motorist,46,48,35,36,0.958,0.972,0.986,0.314
408,"(54, 100]","(20, 25]",Non-Motorist,1,3,2,4,0.333,0.500,0.667,0.963
36,"(15, 24]","(20, 25]",Non-Motorist,90,75,153,141,1.200,1.085,1.106,0.223
143,"(24, 34]","(20, 25]",Non-Motorist,14,22,6,7,0.636,0.857,0.742,0.486
144,"(24, 34]","(20, 25]",Non-Motorist,77,90,48,56,0.856,0.857,0.998,0.255
266,"(34, 54]","(20, 25]",Non-Motorist,8,13,8,15,0.615,0.533,1.154,0.726
265,"(34, 54]","(20, 25]",Non-Motorist,9,10,4,9,0.900,0.444,2.025,1.535
264,"(34, 54]","(20, 25]",Deployed,29,32,32,61,0.906,0.525,1.728,0.588
406,"(54, 100]","(20, 25]",Deployed,11,26,4,11,0.423,0.364,1.163,0.800
407,"(54, 100]","(20, 25]",Deployed,4,12,6,20,0.333,0.300,1.111,0.826
263,"(34, 54]","(20, 25]",Deployed,23,47,13,19,0.489,0.684,0.715,0.317
34,"(15, 24]","(20, 25]",Deployed,201,188,421,398,1.069,1.058,1.011,0.134
141,"(24, 34]","(20, 25]",Deployed,34,42,31,43,0.810,0.721,1.123,0.375
142,"(24, 34]","(20, 25]",Deployed,165,161,143,158,1.025,0.905,1.132,0.190
33,"(15, 24]","(20, 25]",Deployed,122,122,137,158,1.000,0.867,1.153,0.208
