,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Non-Motorist,46,49,59,59,0.939,1.000,0.939,0.263
1,"(15, 24]","(0, 5]",Non-Motorist,46,39,38,34,1.179,1.118,1.055,0.343
2,"(15, 24]","(0, 5]",Not Deployed,5,7,6,7,0.714,0.857,0.833,0.674
3,"(15, 24]","(0, 5]",Not Deployed,3,2,7,8,1.500,0.875,1.714,1.801
4,"(15, 24]","(0, 5]",Unknown,24,28,23,26,0.857,0.885,0.969,0.390
5,"(15, 24]","(0, 5]",Unknown,9,5,23,15,1.800,1.533,1.174,0.764
6,"(15, 24]","(5, 10]",Non-Motorist,20,30,16,27,0.667,0.593,1.125,0.484
7,"(15, 24]","(5, 10]",Non-Motorist,14,23,18,19,0.609,0.947,0.643,0.305
8,"(15, 24]","(5, 10]",Not Deployed,1,7,2,2,0.143,1.000,0.143,0.209
9,"(15, 24]","(5, 10]",Not Deployed,2,1,7,3,2.000,2.333,0.857,1.206
10,"(15, 24]","(5, 10]",Unknown,7,8,8,9,0.875,0.889,0.984,0.701
11,"(15, 24]","(5, 10]",Unknown,11,10,5,8,1.100,0.625,1.760,1.267
12,"(15, 24]","(10, 15]",Non-Motorist,71,92,31,59,0.772,0.525,1.469,0.407
13,"(15, 24]","(10, 15]",Non-Motorist,148,212,251,314,0.698,0.799,0.873,0.127
14,"(15, 24]","(10, 15]",Not Deployed,10,19,4,13,0.526,0.308,1.711,1.188
15,"(15, 24]","(10, 15]",Not Deployed,31,39,48,56,0.795,0.857,0.927,0.292
16,"(15, 24]","(10, 15]",Unknown,26,49,20,24,0.531,0.833,0.637,0.249
17,"(15, 24]","(10, 15]",Unknown,69,91,72,115,0.758,0.626,1.211,0.272
18,"(15, 24]","(15, 20]",Deployed,2,7,2,3,0.286,0.667,0.429,0.521
19,"(15, 24]","(15, 20]",Deployed,9,8,16,22,1.125,0.727,1.547,0.911
20,"(15, 24]","(15, 20]",Non-Motorist,170,246,81,179,0.691,0.453,1.527,0.266
21,"(15, 24]","(15, 20]",Non-Motorist,383,446,1111,1584,0.859,0.701,1.224,0.115
22,"(15, 24]","(15, 20]",Not Deployed,26,45,21,46,0.578,0.457,1.266,0.461
23,"(15, 24]","(15, 20]",Not Deployed,73,84,173,231,0.869,0.749,1.160,0.227
24,"(15, 24]","(15, 20]",Unknown,60,85,55,98,0.706,0.561,1.258,0.306
