,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
192,"(34, 54]","(55, 60]",Unknown,3,2,1,4,1.500,0.250,6.000,8.665
193,"(34, 54]","(55, 60]",Unknown,4,3,5,3,1.333,1.667,0.800,0.846
235,"(54, 100]","(55, 60]",Unknown,5,8,1,1,0.625,1.000,0.625,0.954
191,"(34, 54]","(55, 60]",Not Deployed,1,1,1,1,1.000,1.000,1.000,2.001
57,"(15, 24]","(55, 60]",Non-Motorist,6,4,9,1,1.500,9.000,0.167,0.206
120,"(24, 34]","(55, 60]",Non-Motorist,5,3,3,1,1.667,3.000,0.556,0.760
121,"(24, 34]","(55, 60]",Non-Motorist,14,5,11,9,2.800,1.222,2.291,1.580
189,"(34, 54]","(55, 60]",Non-Motorist,7,7,9,6,1.000,1.500,0.667,0.502
190,"(34, 54]","(55, 60]",Non-Motorist,18,11,17,12,1.636,1.417,1.155,0.623
233,"(54, 100]","(55, 60]",Non-Motorist,14,16,4,2,0.875,2.000,0.438,0.412
234,"(54, 100]","(55, 60]",Non-Motorist,34,37,8,10,0.919,0.800,1.149,0.612
