,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.047,0.102,3.000
1,"(5, 10]",0.997,0.099,8.000
2,"(10, 15]",0.990,0.075,13.000
3,"(15, 20]",1.217,0.069,18.000
4,"(20, 25]",1.078,0.091,23.000
5,"(25, 30]",1.205,0.144,28.000
6,"(30, 35]",1.168,0.181,33.000
7,"(35, 40]",1.233,0.223,38.000
8,"(40, 45]",1.341,0.267,43.000
9,"(45, 50]",0.867,0.179,48.000
10,"(50, 55]",1.081,0.258,53.000
11,"(55, 60]",1.003,0.257,58.000
12,"(60, 65]",0.931,0.240,63.000
13,"(65, 70]",1.236,0.342,68.000
14,"(70, 75]",0.856,0.264,73.000
15,"(75, 80]",0.913,0.324,78.000
16,"(80, 85]",0.490,0.276,83.000
17,"(85, 90]",1.435,1.235,88.000
