,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Deployed,10,4,10,10,2.500,1.000,2.500,1.858
1,"(15, 24]","(0, 5]",Non-Motorist,157,115,182,129,1.365,1.411,0.968,0.170
2,"(15, 24]","(0, 5]",Non-Motorist,62,42,90,44,1.476,2.045,0.722,0.199
3,"(15, 24]","(0, 5]",Not Deployed,11,8,11,14,1.375,0.786,1.750,1.080
4,"(15, 24]","(0, 5]",Not Deployed,6,4,5,5,1.500,1.000,1.500,1.358
5,"(15, 24]","(0, 5]",Unknown,61,44,51,57,1.386,0.895,1.549,0.435
6,"(15, 24]","(0, 5]",Unknown,20,10,29,10,2.000,2.900,0.690,0.369
7,"(15, 24]","(5, 10]",Deployed,3,2,4,6,1.500,0.667,2.250,2.518
8,"(15, 24]","(5, 10]",Non-Motorist,37,52,42,28,0.712,1.500,0.474,0.156
9,"(15, 24]","(5, 10]",Non-Motorist,21,13,46,32,1.615,1.438,1.124,0.477
10,"(15, 24]","(5, 10]",Not Deployed,5,6,4,1,0.833,4.000,0.208,0.265
11,"(15, 24]","(5, 10]",Not Deployed,3,2,12,10,1.500,1.200,1.250,1.262
12,"(15, 24]","(5, 10]",Unknown,23,15,14,10,1.533,1.400,1.095,0.584
13,"(15, 24]","(5, 10]",Unknown,13,5,12,9,2.600,1.333,1.950,1.342
14,"(15, 24]","(10, 15]",Deployed,28,23,11,12,1.217,0.917,1.328,0.672
15,"(15, 24]","(10, 15]",Deployed,42,39,62,61,1.077,1.016,1.060,0.308
16,"(15, 24]","(10, 15]",Non-Motorist,329,363,145,154,0.906,0.942,0.963,0.142
17,"(15, 24]","(10, 15]",Non-Motorist,577,480,959,863,1.202,1.111,1.082,0.100
18,"(15, 24]","(10, 15]",Not Deployed,48,56,11,21,0.857,0.524,1.636,0.694
19,"(15, 24]","(10, 15]",Not Deployed,108,75,132,129,1.440,1.023,1.407,0.283
20,"(15, 24]","(10, 15]",Unknown,146,129,46,52,1.132,0.885,1.279,0.308
21,"(15, 24]","(10, 15]",Unknown,225,175,324,301,1.286,1.076,1.194,0.165
22,"(15, 24]","(10, 15]",nan,3,10,6,4,0.300,1.500,0.200,0.185
23,"(15, 24]","(10, 15]",nan,4,7,12,17,0.571,0.706,0.810,0.594
24,"(15, 24]","(15, 20]",Deployed,169,163,82,110,1.037,0.745,1.391,0.263
25,"(15, 24]","(15, 20]",Deployed,329,272,656,691,1.210,0.949,1.274,0.141
26,"(15, 24]","(15, 20]",Non-Motorist,1470,1536,552,776,0.957,0.711,1.345,0.112
27,"(15, 24]","(15, 20]",Non-Motorist,3073,2655,7504,7836,1.157,0.958,1.209,0.071
28,"(15, 24]","(15, 20]",Not Deployed,227,247,131,188,0.919,0.697,1.319,0.204
29,"(15, 24]","(15, 20]",Not Deployed,449,390,1076,1037,1.151,1.038,1.110,0.106
30,"(15, 24]","(15, 20]",Unknown,472,500,216,306,0.944,0.706,1.337,0.161
31,"(15, 24]","(15, 20]",Unknown,1022,811,2255,2326,1.260,0.969,1.300,0.097
32,"(15, 24]","(15, 20]",nan,24,27,18,21,0.889,0.857,1.037,0.445
33,"(15, 24]","(15, 20]",nan,54,41,113,119,1.317,0.950,1.387,0.347
34,"(15, 24]","(20, 25]",Deployed,68,60,104,122,1.133,0.852,1.329,0.302
35,"(15, 24]","(20, 25]",Deployed,177,144,501,485,1.229,1.033,1.190,0.165
36,"(15, 24]","(20, 25]",Non-Motorist,506,530,464,650,0.955,0.714,1.337,0.134
37,"(15, 24]","(20, 25]",Non-Motorist,1231,1001,3740,3701,1.230,1.011,1.217,0.085
38,"(15, 24]","(20, 25]",Not Deployed,75,73,111,137,1.027,0.810,1.268,0.271
39,"(15, 24]","(20, 25]",Not Deployed,167,132,606,611,1.265,0.992,1.276,0.177
40,"(15, 24]","(20, 25]",Unknown,159,158,199,254,1.006,0.783,1.284,0.199
41,"(15, 24]","(20, 25]",Unknown,367,290,1234,1248,1.266,0.989,1.280,0.130
42,"(15, 24]","(20, 25]",nan,13,10,10,17,1.300,0.588,2.210,1.285
43,"(15, 24]","(20, 25]",nan,17,18,74,62,0.944,1.194,0.791,0.303
44,"(15, 24]","(25, 30]",Deployed,15,15,43,42,1.000,1.024,0.977,0.418
45,"(15, 24]","(25, 30]",Deployed,40,33,111,84,1.212,1.321,0.917,0.257
46,"(15, 24]","(25, 30]",Non-Motorist,130,126,210,234,1.032,0.897,1.150,0.189
47,"(15, 24]","(25, 30]",Non-Motorist,271,191,890,835,1.419,1.066,1.331,0.156
48,"(15, 24]","(25, 30]",Not Deployed,20,21,38,36,0.952,1.056,0.902,0.354
49,"(15, 24]","(25, 30]",Not Deployed,49,44,147,140,1.114,1.050,1.061,0.259
50,"(15, 24]","(25, 30]",Unknown,42,36,66,86,1.167,0.767,1.520,0.432
51,"(15, 24]","(25, 30]",Unknown,106,59,353,318,1.797,1.110,1.618,0.302
52,"(15, 24]","(25, 30]",nan,2,3,6,7,0.667,0.857,0.778,0.832
53,"(15, 24]","(25, 30]",nan,2,5,12,16,0.400,0.750,0.533,0.491
54,"(15, 24]","(30, 35]",Deployed,11,8,10,4,1.375,2.500,0.550,0.415
55,"(15, 24]","(30, 35]",Deployed,12,8,35,31,1.500,1.129,1.329,0.692
56,"(15, 24]","(30, 35]",Non-Motorist,61,45,67,85,1.356,0.788,1.720,0.448
57,"(15, 24]","(30, 35]",Non-Motorist,146,74,308,249,1.973,1.237,1.595,0.277
58,"(15, 24]","(30, 35]",Not Deployed,13,13,16,11,1.000,1.455,0.688,0.383
59,"(15, 24]","(30, 35]",Not Deployed,27,10,60,44,2.700,1.364,1.980,0.838
60,"(15, 24]","(30, 35]",Unknown,25,26,36,37,0.962,0.973,0.988,0.364
61,"(15, 24]","(30, 35]",Unknown,55,43,162,128,1.279,1.266,1.011,0.243
62,"(15, 24]","(30, 35]",nan,4,2,3,6,2.000,0.500,4.000,4.477
63,"(15, 24]","(35, 40]",Deployed,10,3,24,14,3.333,1.714,1.944,1.441
64,"(15, 24]","(35, 40]",Non-Motorist,66,40,45,35,1.650,1.286,1.283,0.392
65,"(15, 24]","(35, 40]",Non-Motorist,83,44,190,129,1.886,1.473,1.281,0.287
