,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
502,"(54, 100]","(80, 85]",nan,2,1,5,6,2.000,0.833,2.400,3.281
500,"(54, 100]","(80, 85]",Unknown,102,56,66,48,1.821,1.375,1.325,0.341
501,"(54, 100]","(80, 85]",Unknown,166,141,20,7,1.177,2.857,0.412,0.188
375,"(34, 54]","(80, 85]",Not Deployed,7,3,3,1,2.333,3.000,0.778,1.047
376,"(34, 54]","(80, 85]",Not Deployed,3,1,3,2,3.000,1.500,2.000,2.946
498,"(54, 100]","(80, 85]",Not Deployed,23,13,24,19,1.769,1.263,1.401,0.653
499,"(54, 100]","(80, 85]",Not Deployed,60,50,12,5,1.200,2.400,0.500,0.284
108,"(15, 24]","(80, 85]",Non-Motorist,11,1,9,2,11.000,4.500,2.444,3.191
233,"(24, 34]","(80, 85]",Non-Motorist,23,5,6,1,4.600,6.000,0.767,0.911
234,"(24, 34]","(80, 85]",Non-Motorist,10,2,9,1,5.000,9.000,0.556,0.727
373,"(34, 54]","(80, 85]",Non-Motorist,64,14,24,5,4.571,4.800,0.952,0.548
374,"(34, 54]","(80, 85]",Non-Motorist,29,5,30,3,5.800,10.000,0.580,0.451
496,"(54, 100]","(80, 85]",Non-Motorist,281,138,190,86,2.036,2.209,0.922,0.160
497,"(54, 100]","(80, 85]",Non-Motorist,416,243,74,38,1.712,1.947,0.879,0.194
494,"(54, 100]","(80, 85]",Deployed,13,4,18,10,3.250,1.800,1.806,1.257
495,"(54, 100]","(80, 85]",Deployed,45,36,3,4,1.250,0.750,1.667,1.329
