,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.991,0.070,3.000
1,"(5, 10]",1.015,0.079,8.000
2,"(10, 15]",1.099,0.052,13.000
3,"(15, 20]",1.272,0.036,18.000
4,"(20, 25]",1.273,0.038,23.000
5,"(25, 30]",1.268,0.047,28.000
6,"(30, 35]",1.267,0.055,33.000
7,"(35, 40]",1.211,0.062,38.000
8,"(40, 45]",1.134,0.065,43.000
9,"(45, 50]",1.244,0.079,48.000
10,"(50, 55]",1.227,0.083,53.000
11,"(55, 60]",1.193,0.092,58.000
12,"(60, 65]",0.982,0.076,63.000
13,"(65, 70]",0.944,0.076,68.000
14,"(70, 75]",1.076,0.086,73.000
15,"(75, 80]",0.932,0.083,78.000
16,"(80, 85]",0.955,0.099,83.000
17,"(85, 90]",0.976,0.145,88.000
18,"(90, 95]",1.372,0.341,93.000
19,"(95, 100]",1.025,0.992,98.000
