,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
64,"(15, 24]","(55, 60]",Unknown,5,1,4,3,5.000,1.333,3.750,5.011
136,"(24, 34]","(55, 60]",Unknown,5,6,4,3,0.833,1.333,0.625,0.610
207,"(34, 54]","(55, 60]",Unknown,5,1,3,3,5.000,1.000,5.000,6.836
208,"(34, 54]","(55, 60]",Unknown,4,4,6,2,1.000,3.000,0.333,0.360
256,"(54, 100]","(55, 60]",Unknown,2,1,1,2,2.000,0.500,4.000,6.931
257,"(54, 100]","(55, 60]",Unknown,7,12,2,4,0.583,0.500,1.167,1.154
255,"(54, 100]","(55, 60]",Not Deployed,1,6,1,1,0.167,1.000,0.167,0.297
63,"(15, 24]","(55, 60]",Non-Motorist,7,3,6,3,2.333,2.000,1.167,1.154
135,"(24, 34]","(55, 60]",Non-Motorist,17,8,11,10,2.125,1.100,1.932,1.187
205,"(34, 54]","(55, 60]",Non-Motorist,9,7,8,6,1.286,1.333,0.964,0.714
206,"(34, 54]","(55, 60]",Non-Motorist,14,22,18,6,0.636,3.000,0.212,0.124
253,"(54, 100]","(55, 60]",Non-Motorist,6,16,6,7,0.375,0.857,0.438,0.322
254,"(54, 100]","(55, 60]",Non-Motorist,39,40,10,16,0.975,0.625,1.560,0.724
