,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
13,"(15, 24]","(22, 27]",Unknown,2,1,14,12,2.000,1.167,1.714,2.207
44,"(24, 34]","(22, 27]",Unknown,2,1,1,3,2.000,0.333,6.000,10.104
45,"(24, 34]","(22, 27]",Unknown,2,2,7,7,1.000,1.000,1.000,1.135
42,"(24, 34]","(22, 27]",Not Deployed,7,4,17,17,1.750,1.000,1.750,1.253
11,"(15, 24]","(22, 27]",Not Deployed,7,5,33,41,1.400,0.805,1.739,1.100
12,"(15, 24]","(22, 27]",Not Deployed,13,14,45,42,0.929,1.071,0.867,0.385
76,"(34, 54]","(22, 27]",Not Deployed,4,6,5,9,0.667,0.556,1.200,1.025
75,"(34, 54]","(22, 27]",Not Deployed,7,3,3,8,2.333,0.375,6.222,6.023
43,"(24, 34]","(22, 27]",Not Deployed,10,18,25,34,0.556,0.735,0.756,0.360
10,"(15, 24]","(22, 27]",Non-Motorist,1,1,6,5,1.000,1.200,0.833,1.283
73,"(34, 54]","(22, 27]",Deployed,12,25,12,20,0.480,0.600,0.800,0.407
74,"(34, 54]","(22, 27]",Deployed,12,11,21,27,1.091,0.778,1.403,0.717
8,"(15, 24]","(22, 27]",Deployed,30,24,110,111,1.250,0.991,1.261,0.390
9,"(15, 24]","(22, 27]",Deployed,24,26,132,118,0.923,1.119,0.825,0.259
41,"(24, 34]","(22, 27]",Deployed,54,48,83,87,1.125,0.954,1.179,0.302
40,"(24, 34]","(22, 27]",Deployed,24,28,59,77,0.857,0.766,1.119,0.371
124,"(54, 100]","(22, 27]",Deployed,1,6,2,4,0.167,0.500,0.333,0.462
