,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Deployed,25,31,17,22,0.806,0.773,1.044,0.442
1,"(15, 24]","(10, 15]",Deployed,22,23,48,43,0.957,1.116,0.857,0.315
2,"(15, 24]","(10, 15]",Non-Motorist,3,1,1,2,3.000,0.500,6.000,10.104
3,"(15, 24]","(10, 15]",Non-Motorist,4,2,4,1,2.000,4.000,0.500,0.708
4,"(15, 24]","(10, 15]",Not Deployed,10,12,6,5,0.833,1.200,0.694,0.516
5,"(15, 24]","(10, 15]",Not Deployed,11,7,8,14,1.571,0.571,2.750,1.809
6,"(15, 24]","(10, 15]",Unknown,2,2,1,2,1.000,0.500,2.000,3.164
7,"(15, 24]","(15, 20]",Deployed,123,139,59,93,0.885,0.634,1.395,0.298
8,"(15, 24]","(15, 20]",Deployed,204,210,327,304,0.971,1.076,0.903,0.123
9,"(15, 24]","(15, 20]",Non-Motorist,3,2,3,2,1.500,1.500,1.000,1.292
10,"(15, 24]","(15, 20]",Non-Motorist,14,7,22,27,2.000,0.815,2.455,1.343
11,"(15, 24]","(15, 20]",Not Deployed,46,47,25,21,0.979,1.190,0.822,0.300
12,"(15, 24]","(15, 20]",Not Deployed,75,57,99,123,1.316,0.805,1.635,0.371
13,"(15, 24]","(15, 20]",Unknown,3,10,4,3,0.300,1.333,0.225,0.227
14,"(15, 24]","(15, 20]",Unknown,11,7,20,20,1.571,1.000,1.571,0.911
15,"(15, 24]","(20, 25]",Deployed,52,50,66,66,1.040,1.000,1.040,0.279
16,"(15, 24]","(20, 25]",Deployed,103,97,233,191,1.062,1.220,0.870,0.156
17,"(15, 24]","(20, 25]",Non-Motorist,6,2,12,7,3.000,1.714,1.750,1.656
18,"(15, 24]","(20, 25]",Not Deployed,22,15,26,28,1.467,0.929,1.579,0.686
19,"(15, 24]","(20, 25]",Not Deployed,38,31,66,75,1.226,0.880,1.393,0.417
20,"(15, 24]","(20, 25]",Unknown,9,8,17,24,1.125,0.708,1.588,0.925
21,"(15, 24]","(25, 30]",Deployed,13,9,19,20,1.444,0.950,1.520,0.823
22,"(15, 24]","(25, 30]",Deployed,10,18,39,34,0.556,1.147,0.484,0.224
23,"(15, 24]","(25, 30]",Not Deployed,7,2,6,7,3.500,0.857,4.083,3.990
24,"(15, 24]","(25, 30]",Not Deployed,5,5,14,12,1.000,1.167,0.857,0.640
25,"(15, 24]","(30, 35]",Deployed,5,7,8,11,0.714,0.727,0.982,0.736
26,"(15, 24]","(30, 35]",Deployed,8,9,17,14,0.889,1.214,0.732,0.445
27,"(15, 24]","(30, 35]",Not Deployed,1,3,4,4,0.333,1.000,0.333,0.452
28,"(15, 24]","(35, 40]",Deployed,10,6,12,10,1.667,1.200,1.389,0.934
29,"(15, 24]","(35, 40]",Not Deployed,2,4,2,1,0.500,2.000,0.250,0.375
30,"(15, 24]","(35, 40]",Not Deployed,7,4,2,2,1.750,1.000,1.750,2.067
31,"(15, 24]","(35, 40]",Unknown,1,1,1,1,1.000,1.000,1.000,2.001
32,"(15, 24]","(40, 45]",Deployed,5,6,6,4,0.833,1.500,0.556,0.492
33,"(15, 24]","(40, 45]",Deployed,10,5,11,7,2.000,1.571,1.273,0.932
34,"(15, 24]","(40, 45]",Not Deployed,4,3,1,1,1.333,1.000,1.333,2.144
35,"(15, 24]","(45, 50]",Deployed,11,5,2,3,2.200,0.667,3.300,3.503
36,"(15, 24]","(45, 50]",Deployed,6,5,6,5,1.200,1.200,1.000,0.858
37,"(15, 24]","(50, 55]",Deployed,17,10,3,2,1.700,1.500,1.133,1.130
38,"(15, 24]","(50, 55]",Deployed,10,1,9,2,10.000,4.500,2.222,2.909
39,"(15, 24]","(55, 60]",Deployed,6,1,5,1,6.000,5.000,1.200,1.847
40,"(15, 24]","(65, 70]",Not Deployed,1,1,2,1,1.000,2.000,0.500,0.936
41,"(15, 24]","(70, 75]",Deployed,8,1,1,1,8.000,1.000,8.000,14.148
42,"(24, 34]","(5, 10]",Deployed,9,12,4,6,0.750,0.667,1.125,0.881
43,"(24, 34]","(5, 10]",Deployed,4,4,6,5,1.000,1.200,0.833,0.777
44,"(24, 34]","(5, 10]",Not Deployed,4,2,4,1,2.000,4.000,0.500,0.708
45,"(24, 34]","(10, 15]",Deployed,11,11,6,10,1.000,0.600,1.667,1.119
46,"(24, 34]","(10, 15]",Deployed,2,2,6,11,1.000,0.545,1.833,2.058
47,"(24, 34]","(10, 15]",Not Deployed,3,2,1,2,1.500,0.500,3.000,4.585
48,"(24, 34]","(15, 20]",Deployed,5,7,4,3,0.714,1.333,0.536,0.516
49,"(24, 34]","(15, 20]",Deployed,23,28,17,19,0.821,0.895,0.918,0.403
50,"(24, 34]","(15, 20]",Not Deployed,1,2,2,4,0.500,0.500,1.000,1.501
51,"(24, 34]","(15, 20]",Not Deployed,5,6,6,9,0.833,0.667,1.250,1.005
52,"(24, 34]","(20, 25]",Deployed,13,19,18,25,0.684,0.720,0.950,0.453
53,"(24, 34]","(20, 25]",Deployed,90,93,67,75,0.968,0.893,1.083,0.249
54,"(24, 34]","(20, 25]",Not Deployed,4,5,8,6,0.800,1.333,0.600,0.518
55,"(24, 34]","(20, 25]",Not Deployed,25,27,31,33,0.926,0.939,0.986,0.372
56,"(24, 34]","(20, 25]",Unknown,6,6,5,6,1.000,0.833,1.200,1.006
57,"(24, 34]","(25, 30]",Deployed,34,28,41,58,1.214,0.707,1.718,0.568
58,"(24, 34]","(25, 30]",Deployed,117,94,72,69,1.245,1.043,1.193,0.267
59,"(24, 34]","(25, 30]",Non-Motorist,11,4,3,3,2.750,1.000,2.750,2.764
60,"(24, 34]","(25, 30]",Not Deployed,6,10,12,16,0.600,0.750,0.800,0.515
61,"(24, 34]","(25, 30]",Not Deployed,26,24,36,28,1.083,1.286,0.843,0.322
62,"(24, 34]","(25, 30]",Unknown,1,1,1,1,1.000,1.000,1.000,2.001
63,"(24, 34]","(25, 30]",Unknown,5,1,8,13,5.000,0.615,8.125,9.629
64,"(24, 34]","(30, 35]",Deployed,18,19,21,25,0.947,0.840,1.128,0.502
65,"(24, 34]","(30, 35]",Deployed,53,43,33,37,1.233,0.892,1.382,0.441
66,"(24, 34]","(30, 35]",Non-Motorist,3,2,2,3,1.500,0.667,2.250,2.907
67,"(24, 34]","(30, 35]",Not Deployed,5,6,14,15,0.833,0.933,0.893,0.636
68,"(24, 34]","(30, 35]",Not Deployed,7,16,12,8,0.438,1.500,0.292,0.188
69,"(24, 34]","(30, 35]",Unknown,1,1,1,2,1.000,0.500,2.000,3.743
70,"(24, 34]","(30, 35]",Unknown,5,4,5,4,1.250,1.250,1.000,0.950
71,"(24, 34]","(35, 40]",Deployed,14,5,12,20,2.800,0.600,4.667,2.978
72,"(24, 34]","(35, 40]",Deployed,21,10,22,23,2.100,0.957,2.195,1.073
73,"(24, 34]","(35, 40]",Not Deployed,4,2,3,1,2.000,3.000,0.667,0.963
74,"(24, 34]","(35, 40]",Not Deployed,6,2,5,7,3.000,0.714,4.200,4.225
75,"(24, 34]","(40, 45]",Deployed,3,3,6,11,1.000,0.545,1.833,1.765
76,"(24, 34]","(40, 45]",Deployed,5,4,13,14,1.250,0.929,1.346,1.043
77,"(24, 34]","(40, 45]",Not Deployed,1,1,3,3,1.000,1.000,1.000,1.634
78,"(24, 34]","(40, 45]",Not Deployed,5,3,4,2,1.667,2.000,0.833,0.945
79,"(24, 34]","(45, 50]",Deployed,9,5,6,6,1.800,1.000,1.800,1.448
