,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Deployed,71,72,114,145,0.986,0.786,1.254,0.269
1,"(15, 24]","(15, 22]",Deployed,74,49,271,260,1.510,1.042,1.449,0.304
2,"(15, 24]","(15, 22]",Non-Motorist,3,2,14,6,1.500,2.333,0.643,0.666
3,"(15, 24]","(15, 22]",Non-Motorist,4,5,20,23,0.800,0.870,0.920,0.680
4,"(15, 24]","(15, 22]",Not Deployed,40,32,56,55,1.250,1.018,1.228,0.378
5,"(15, 24]","(15, 22]",Not Deployed,42,27,133,132,1.556,1.008,1.544,0.432
6,"(15, 24]","(15, 22]",Unknown,3,3,6,7,1.000,0.857,1.167,1.154
7,"(15, 24]","(15, 22]",Unknown,4,6,26,19,0.667,1.368,0.487,0.348
8,"(15, 24]","(22, 27]",Deployed,20,20,75,78,1.000,0.962,1.040,0.373
9,"(15, 24]","(22, 27]",Deployed,17,19,124,111,0.895,1.117,0.801,0.290
10,"(15, 24]","(22, 27]",Not Deployed,13,12,30,34,1.083,0.882,1.228,0.583
11,"(15, 24]","(22, 27]",Not Deployed,16,10,50,37,1.600,1.351,1.184,0.545
12,"(15, 24]","(22, 27]",Unknown,2,1,11,10,2.000,1.100,1.818,2.366
13,"(15, 24]","(27, 32]",Deployed,7,6,25,26,1.167,0.962,1.213,0.758
14,"(15, 24]","(27, 32]",Deployed,2,1,44,35,2.000,1.257,1.591,1.983
15,"(15, 24]","(27, 32]",Unknown,1,1,1,1,1.000,1.000,1.000,2.001
16,"(15, 24]","(32, 37]",Deployed,7,3,8,10,2.333,0.800,2.917,2.447
17,"(15, 24]","(32, 37]",Deployed,5,4,13,8,1.250,1.625,0.769,0.622
18,"(15, 24]","(37, 42]",Deployed,4,1,7,3,4.000,2.333,1.714,2.254
19,"(15, 24]","(37, 42]",Deployed,5,4,3,4,1.250,0.750,1.667,1.696
20,"(15, 24]","(37, 42]",Not Deployed,1,1,2,1,1.000,2.000,0.500,0.936
21,"(15, 24]","(37, 42]",Not Deployed,3,2,6,1,1.500,6.000,0.250,0.354
22,"(15, 24]","(42, 47]",Deployed,5,2,9,2,2.500,4.500,0.556,0.637
23,"(15, 24]","(42, 47]",Not Deployed,1,1,4,2,1.000,2.000,0.500,0.830
24,"(15, 24]","(47, 52]",Deployed,2,1,5,1,2.000,5.000,0.400,0.658
25,"(15, 24]","(52, 57]",Deployed,2,1,1,1,2.000,1.000,2.000,3.743
26,"(24, 34]","(15, 22]",Deployed,2,2,16,14,1.000,1.143,0.875,0.933
27,"(24, 34]","(15, 22]",Deployed,10,14,31,34,0.714,0.912,0.783,0.380
28,"(24, 34]","(15, 22]",Non-Motorist,2,1,2,3,2.000,0.667,3.000,4.585
29,"(24, 34]","(15, 22]",Not Deployed,3,1,4,7,3.000,0.571,5.250,6.903
30,"(24, 34]","(15, 22]",Not Deployed,6,2,13,17,3.000,0.765,3.923,3.520
31,"(24, 34]","(15, 22]",Unknown,1,1,4,3,1.000,1.333,0.750,1.206
32,"(24, 34]","(22, 27]",Deployed,13,16,42,53,0.812,0.792,1.025,0.441
33,"(24, 34]","(22, 27]",Deployed,30,37,92,100,0.811,0.920,0.881,0.255
34,"(24, 34]","(22, 27]",Non-Motorist,1,1,2,5,1.000,0.400,2.500,4.110
