,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
15,"(15, 24]","(27, 32]",Unknown,1,1,1,1,1.000,1.000,1.000,2.001
41,"(24, 34]","(27, 32]",Not Deployed,6,3,17,20,2.000,0.850,2.353,1.840
42,"(24, 34]","(27, 32]",Not Deployed,9,7,26,21,1.286,1.238,1.038,0.608
63,"(34, 54]","(27, 32]",Not Deployed,3,4,12,13,0.750,0.923,0.812,0.702
62,"(34, 54]","(27, 32]",Non-Motorist,2,3,3,1,0.667,3.000,0.222,0.327
13,"(15, 24]","(27, 32]",Deployed,7,6,25,26,1.167,0.962,1.213,0.758
14,"(15, 24]","(27, 32]",Deployed,2,1,44,35,2.000,1.257,1.591,1.983
39,"(24, 34]","(27, 32]",Deployed,13,18,52,52,0.722,1.000,0.722,0.301
40,"(24, 34]","(27, 32]",Deployed,15,12,77,71,1.250,1.085,1.153,0.488
60,"(34, 54]","(27, 32]",Deployed,3,6,14,20,0.500,0.700,0.714,0.564
61,"(34, 54]","(27, 32]",Deployed,12,11,22,21,1.091,1.048,1.041,0.541
89,"(54, 100]","(27, 32]",Deployed,1,2,1,2,0.500,0.500,1.000,1.733
