,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.299,0.143,19.000
1,"(22, 27]",1.012,0.135,25.000
2,"(27, 32]",0.995,0.192,30.000
3,"(32, 37]",1.314,0.295,35.000
4,"(37, 42]",1.386,0.392,40.000
5,"(42, 47]",0.801,0.290,45.000
6,"(47, 52]",1.086,0.406,50.000
7,"(52, 57]",0.949,0.364,55.000
8,"(57, 62]",1.088,0.866,60.000
9,"(62, 67]",0.983,0.539,65.000
10,"(67, 72]",1.164,0.587,70.000
11,"(72, 77]",1.071,0.681,75.000
12,"(77, 82]",1.442,0.791,80.000
13,"(82, 87]",1.124,1.380,85.000
14,"(87, 92]",0.667,0.794,90.000
