,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
56,"(24, 34]","(25, 30]",Unknown,6,5,5,8,1.200,0.625,1.920,1.600
23,"(15, 24]","(25, 30]",Unknown,1,2,2,1,0.500,2.000,0.250,0.433
24,"(15, 24]","(25, 30]",Unknown,2,2,2,1,1.000,2.000,0.500,0.791
55,"(24, 34]","(25, 30]",Unknown,1,1,3,3,1.000,1.000,1.000,1.634
21,"(15, 24]","(25, 30]",Not Deployed,4,7,3,11,0.571,0.273,2.095,1.897
22,"(15, 24]","(25, 30]",Not Deployed,7,7,17,11,1.000,1.545,0.647,0.428
91,"(34, 54]","(25, 30]",Not Deployed,7,8,5,7,0.875,0.714,1.225,0.959
53,"(24, 34]","(25, 30]",Not Deployed,3,3,7,10,1.000,0.700,1.429,1.364
54,"(24, 34]","(25, 30]",Not Deployed,22,21,32,38,1.048,0.842,1.244,0.487
52,"(24, 34]","(25, 30]",Non-Motorist,4,2,6,7,2.000,0.857,2.333,2.405
20,"(15, 24]","(25, 30]",Non-Motorist,1,1,6,3,1.000,2.000,0.500,0.791
90,"(34, 54]","(25, 30]",Deployed,19,22,13,23,0.864,0.565,1.528,0.718
89,"(34, 54]","(25, 30]",Deployed,9,7,3,7,1.286,0.429,3.000,2.568
18,"(15, 24]","(25, 30]",Deployed,2,3,21,16,0.667,1.312,0.508,0.494
19,"(15, 24]","(25, 30]",Deployed,19,15,41,31,1.267,1.323,0.958,0.405
51,"(24, 34]","(25, 30]",Deployed,59,51,88,89,1.157,0.989,1.170,0.291
50,"(24, 34]","(25, 30]",Deployed,19,17,19,20,1.118,0.950,1.176,0.548
118,"(54, 100]","(25, 30]",Deployed,1,4,3,3,0.250,1.000,0.250,0.346
