,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Deployed,80,75,123,116,1.067,1.060,1.006,0.214
1,"(15, 24]","(15, 22]",Deployed,52,43,176,204,1.209,0.863,1.402,0.330
2,"(15, 24]","(15, 22]",Not Deployed,19,23,40,43,0.826,0.930,0.888,0.340
3,"(15, 24]","(15, 22]",Not Deployed,11,14,58,55,0.786,1.055,0.745,0.333
4,"(15, 24]","(15, 22]",Unknown,5,2,5,8,2.500,0.625,4.000,4.055
5,"(15, 24]","(15, 22]",Unknown,1,1,19,15,1.000,1.267,0.789,1.150
6,"(15, 24]","(22, 27]",Deployed,15,15,53,55,1.000,0.964,1.038,0.431
7,"(15, 24]","(22, 27]",Deployed,13,14,63,48,0.929,1.312,0.707,0.306
8,"(15, 24]","(22, 27]",Not Deployed,3,6,17,20,0.500,0.850,0.588,0.460
9,"(15, 24]","(22, 27]",Unknown,2,1,5,5,2.000,1.000,2.000,2.759
10,"(15, 24]","(27, 32]",Deployed,2,1,12,11,2.000,1.091,1.833,2.374
11,"(15, 24]","(27, 32]",Not Deployed,1,1,2,5,1.000,0.400,2.500,4.110
12,"(15, 24]","(32, 37]",Deployed,6,2,3,5,3.000,0.600,5.000,5.483
13,"(15, 24]","(32, 37]",Deployed,2,2,3,4,1.000,0.750,1.333,1.679
14,"(15, 24]","(32, 37]",Not Deployed,1,2,4,3,0.500,1.333,0.375,0.542
15,"(15, 24]","(37, 42]",Deployed,6,2,1,3,3.000,0.333,9.000,12.736
16,"(15, 24]","(37, 42]",Deployed,7,2,3,3,3.500,1.000,3.500,4.009
17,"(15, 24]","(42, 47]",Deployed,13,4,2,3,3.250,0.667,4.875,5.257
18,"(15, 24]","(42, 47]",Deployed,9,2,5,5,4.500,1.000,4.500,4.531
19,"(15, 24]","(47, 52]",Deployed,11,7,4,4,1.571,1.000,1.571,1.348
20,"(15, 24]","(47, 52]",Deployed,3,2,11,3,1.500,3.667,0.409,0.459
21,"(15, 24]","(52, 57]",Deployed,6,1,5,2,6.000,2.500,2.400,3.281
22,"(15, 24]","(52, 57]",Deployed,3,1,3,2,3.000,1.500,2.000,2.946
