,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Deployed,224,205,299,287,1.093,1.042,1.049,0.143
1,"(15, 24]","(15, 22]",Deployed,156,125,496,543,1.248,0.913,1.366,0.197
2,"(15, 24]","(22, 27]",Deployed,51,38,136,133,1.342,1.023,1.312,0.330
3,"(15, 24]","(22, 27]",Deployed,32,37,154,123,0.865,1.252,0.691,0.190
4,"(15, 24]","(27, 32]",Deployed,6,4,37,35,1.500,1.057,1.419,0.978
5,"(15, 24]","(27, 32]",Deployed,10,6,34,24,1.667,1.417,1.176,0.686
6,"(15, 24]","(32, 37]",Deployed,11,7,9,13,1.571,0.692,2.270,1.479
7,"(15, 24]","(32, 37]",Deployed,9,5,12,12,1.800,1.000,1.800,1.247
8,"(15, 24]","(37, 42]",Deployed,23,11,10,4,2.091,2.500,0.836,0.584
9,"(15, 24]","(37, 42]",Deployed,23,6,15,8,3.833,1.875,2.044,1.300
10,"(15, 24]","(42, 47]",Deployed,34,8,8,6,4.250,1.333,3.188,2.135
11,"(15, 24]","(42, 47]",Deployed,15,6,14,6,2.500,2.333,1.071,0.738
12,"(15, 24]","(47, 52]",Deployed,22,13,9,6,1.692,1.500,1.128,0.716
13,"(15, 24]","(47, 52]",Deployed,5,5,21,10,1.000,2.100,0.476,0.353
14,"(15, 24]","(52, 57]",Deployed,19,7,11,4,2.714,2.750,0.987,0.725
15,"(15, 24]","(52, 57]",Deployed,10,4,6,3,2.500,2.000,1.250,1.154
16,"(15, 24]","(57, 62]",Deployed,13,4,3,2,3.250,1.500,2.167,2.336
17,"(15, 24]","(57, 62]",Deployed,7,2,10,2,3.500,5.000,0.700,0.781
18,"(15, 24]","(62, 67]",Deployed,5,1,2,1,5.000,2.000,2.500,4.110
19,"(24, 34]","(15, 22]",Deployed,13,13,21,15,1.000,1.400,0.714,0.372
20,"(24, 34]","(15, 22]",Deployed,27,30,33,52,0.900,0.635,1.418,0.496
21,"(24, 34]","(22, 27]",Deployed,29,33,81,88,0.879,0.920,0.955,0.288
22,"(24, 34]","(22, 27]",Deployed,70,68,106,123,1.029,0.862,1.195,0.265
23,"(24, 34]","(27, 32]",Deployed,31,30,95,89,1.033,1.067,0.968,0.290
24,"(24, 34]","(27, 32]",Deployed,52,37,68,69,1.405,0.986,1.426,0.398
25,"(24, 34]","(32, 37]",Deployed,12,9,81,61,1.333,1.328,1.004,0.477
26,"(24, 34]","(32, 37]",Deployed,19,13,36,24,1.462,1.500,0.974,0.437
27,"(24, 34]","(37, 42]",Deployed,6,5,26,25,1.200,1.040,1.154,0.772
28,"(24, 34]","(37, 42]",Deployed,10,8,17,22,1.250,0.773,1.618,0.932
29,"(24, 34]","(42, 47]",Deployed,4,3,19,16,1.333,1.188,1.123,0.940
30,"(24, 34]","(42, 47]",Deployed,6,3,10,7,2.000,1.429,1.400,1.209
