,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.219,0.108,19.000
1,"(22, 27]",1.083,0.129,25.000
2,"(27, 32]",1.200,0.180,30.000
3,"(32, 37]",1.250,0.220,35.000
4,"(37, 42]",1.435,0.272,40.000
5,"(42, 47]",0.982,0.181,45.000
6,"(47, 52]",0.819,0.152,50.000
7,"(52, 57]",1.010,0.166,55.000
8,"(57, 62]",0.875,0.148,60.000
9,"(62, 67]",0.633,0.105,65.000
10,"(67, 72]",0.790,0.135,70.000
11,"(72, 77]",0.694,0.121,75.000
12,"(77, 82]",0.844,0.157,80.000
13,"(82, 87]",1.011,0.212,85.000
14,"(87, 92]",0.757,0.232,90.000
15,"(92, 97]",0.824,0.799,95.000
