,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Deployed,5,2,2,3,2.500,0.667,3.750,4.647
1,"(15, 24]","(5, 10]",Deployed,1,2,1,2,0.500,0.500,1.000,1.733
2,"(15, 24]","(10, 15]",Deployed,31,38,17,27,0.816,0.630,1.296,0.513
3,"(15, 24]","(10, 15]",Deployed,24,23,56,51,1.043,1.098,0.950,0.336
4,"(15, 24]","(15, 20]",Deployed,157,181,84,107,0.867,0.785,1.105,0.209
5,"(15, 24]","(15, 20]",Deployed,234,255,393,384,0.918,1.023,0.897,0.113
6,"(15, 24]","(20, 25]",Deployed,76,84,82,86,0.905,0.953,0.949,0.215
7,"(15, 24]","(20, 25]",Deployed,142,124,260,238,1.145,1.092,1.048,0.168
8,"(15, 24]","(25, 30]",Deployed,16,10,30,30,1.600,1.000,1.600,0.770
9,"(15, 24]","(25, 30]",Deployed,12,19,57,37,0.632,1.541,0.410,0.175
10,"(15, 24]","(30, 35]",Deployed,8,7,11,13,1.143,0.846,1.351,0.894
11,"(15, 24]","(30, 35]",Deployed,6,8,15,14,0.750,1.071,0.700,0.460
12,"(15, 24]","(35, 40]",Deployed,2,4,3,3,0.500,1.000,0.500,0.596
13,"(15, 24]","(35, 40]",Deployed,13,7,14,8,1.857,1.750,1.061,0.687
14,"(15, 24]","(40, 45]",Deployed,9,10,5,4,0.900,1.250,0.720,0.587
15,"(15, 24]","(40, 45]",Deployed,13,4,11,6,3.250,1.833,1.773,1.358
16,"(15, 24]","(45, 50]",Deployed,16,12,4,5,1.333,0.800,1.667,1.289
17,"(15, 24]","(45, 50]",Deployed,6,8,6,7,0.750,0.857,0.875,0.680
18,"(15, 24]","(50, 55]",Deployed,15,9,1,1,1.667,1.000,1.667,2.461
19,"(15, 24]","(50, 55]",Deployed,12,1,8,4,12.000,2.000,6.000,7.252
20,"(15, 24]","(55, 60]",Deployed,13,4,2,1,3.250,2.000,1.625,2.198
21,"(15, 24]","(55, 60]",Deployed,10,4,6,1,2.500,6.000,0.417,0.514
22,"(15, 24]","(70, 75]",Deployed,9,1,2,1,9.000,2.000,4.500,7.275
23,"(24, 34]","(5, 10]",Deployed,12,14,7,8,0.857,0.875,0.980,0.639
24,"(24, 34]","(5, 10]",Deployed,6,6,6,5,1.000,1.200,0.833,0.698
25,"(24, 34]","(10, 15]",Deployed,10,10,8,15,1.000,0.533,1.875,1.177
26,"(24, 34]","(10, 15]",Deployed,2,1,6,12,2.000,0.500,4.000,5.295
27,"(24, 34]","(15, 20]",Deployed,4,8,4,3,0.500,1.333,0.375,0.368
28,"(24, 34]","(15, 20]",Deployed,26,36,14,26,0.722,0.538,1.341,0.567
29,"(24, 34]","(20, 25]",Deployed,20,28,22,26,0.714,0.846,0.844,0.350
30,"(24, 34]","(20, 25]",Deployed,96,108,82,96,0.889,0.854,1.041,0.220
31,"(24, 34]","(25, 30]",Deployed,35,34,49,63,1.029,0.778,1.324,0.412
32,"(24, 34]","(25, 30]",Deployed,123,117,98,84,1.051,1.167,0.901,0.183
33,"(24, 34]","(30, 35]",Deployed,20,18,36,41,1.111,0.878,1.265,0.507
34,"(24, 34]","(30, 35]",Deployed,57,57,38,37,1.000,1.027,0.974,0.294
35,"(24, 34]","(35, 40]",Deployed,12,8,14,19,1.500,0.737,2.036,1.178
36,"(24, 34]","(35, 40]",Deployed,21,16,30,22,1.312,1.364,0.963,0.421
37,"(24, 34]","(40, 45]",Deployed,4,5,11,14,0.800,0.786,1.018,0.798
