,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.436,1.382,3.000
1,"(5, 10]",0.804,0.275,8.000
2,"(10, 15]",1.188,0.221,13.000
3,"(15, 20]",0.980,0.093,18.000
4,"(20, 25]",1.021,0.103,23.000
5,"(25, 30]",0.922,0.122,28.000
6,"(30, 35]",1.026,0.167,33.000
7,"(35, 40]",0.897,0.164,38.000
8,"(40, 45]",1.144,0.215,43.000
9,"(45, 50]",1.269,0.243,48.000
10,"(50, 55]",1.360,0.256,53.000
11,"(55, 60]",0.908,0.178,58.000
12,"(60, 65]",0.998,0.196,63.000
13,"(65, 70]",1.407,0.299,68.000
14,"(70, 75]",0.846,0.174,73.000
15,"(75, 80]",1.137,0.212,78.000
16,"(80, 85]",1.100,0.197,83.000
17,"(85, 90]",1.120,0.246,88.000
18,"(90, 95]",1.135,0.449,93.000
19,"(95, 100]",5.000,6.588,98.000
