,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Deployed,94,100,171,200,0.940,0.855,1.099,0.203
1,"(15, 24]","(15, 22]",Deployed,102,82,427,413,1.244,1.034,1.203,0.206
2,"(15, 24]","(22, 27]",Deployed,21,24,86,101,0.875,0.851,1.028,0.346
3,"(15, 24]","(22, 27]",Deployed,20,20,152,141,1.000,1.078,0.928,0.316
4,"(15, 24]","(27, 32]",Deployed,6,4,30,35,1.500,0.857,1.750,1.214
5,"(15, 24]","(27, 32]",Deployed,5,1,53,43,5.000,1.233,4.057,4.526
6,"(15, 24]","(32, 37]",Deployed,7,2,7,8,3.500,0.875,4.000,3.822
7,"(15, 24]","(32, 37]",Deployed,3,4,21,12,0.750,1.750,0.429,0.363
8,"(15, 24]","(37, 42]",Deployed,7,3,8,3,2.333,2.667,0.875,0.847
9,"(15, 24]","(37, 42]",Deployed,6,5,5,5,1.200,1.000,1.200,1.052
10,"(15, 24]","(42, 47]",Deployed,3,2,4,1,1.500,4.000,0.375,0.542
11,"(15, 24]","(42, 47]",Deployed,4,3,6,4,1.333,1.500,0.889,0.890
12,"(15, 24]","(47, 52]",Deployed,3,1,5,3,3.000,1.667,1.800,2.461
13,"(15, 24]","(52, 57]",Deployed,3,1,2,1,3.000,2.000,1.500,2.526
14,"(24, 34]","(15, 22]",Deployed,8,9,14,19,0.889,0.737,1.206,0.726
15,"(24, 34]","(15, 22]",Deployed,16,22,41,48,0.727,0.854,0.851,0.336
16,"(24, 34]","(22, 27]",Deployed,21,24,42,60,0.875,0.700,1.250,0.455
17,"(24, 34]","(22, 27]",Deployed,34,43,115,123,0.791,0.935,0.846,0.227
18,"(24, 34]","(27, 32]",Deployed,17,23,46,50,0.739,0.920,0.803,0.308
19,"(24, 34]","(27, 32]",Deployed,17,14,85,77,1.214,1.104,1.100,0.437
20,"(24, 34]","(32, 37]",Deployed,4,5,42,43,0.800,0.977,0.819,0.579
21,"(24, 34]","(32, 37]",Deployed,11,8,37,28,1.375,1.321,1.041,0.552
22,"(24, 34]","(37, 42]",Deployed,5,3,17,11,1.667,1.545,1.078,0.893
23,"(24, 34]","(37, 42]",Deployed,6,3,10,8,2.000,1.250,1.600,1.365
24,"(24, 34]","(42, 47]",Deployed,2,6,7,4,0.333,1.750,0.190,0.196
25,"(24, 34]","(47, 52]",Deployed,8,4,4,4,2.000,1.000,2.000,1.873
26,"(24, 34]","(57, 62]",Deployed,2,1,4,1,2.000,4.000,0.500,0.830
27,"(24, 34]","(57, 62]",Deployed,3,2,5,4,1.500,1.250,1.200,1.361
28,"(34, 54]","(15, 22]",Deployed,7,10,2,6,0.700,0.333,2.100,2.005
29,"(34, 54]","(15, 22]",Deployed,1,2,8,20,0.500,0.400,1.250,1.619
30,"(34, 54]","(22, 27]",Deployed,9,8,7,12,1.125,0.583,1.929,1.315
31,"(34, 54]","(22, 27]",Deployed,2,7,19,26,0.286,0.731,0.391,0.336
32,"(34, 54]","(27, 32]",Deployed,6,10,16,20,0.600,0.800,0.750,0.463
33,"(34, 54]","(27, 32]",Deployed,12,8,25,16,1.500,1.562,0.960,0.537
34,"(34, 54]","(32, 37]",Deployed,4,7,25,39,0.571,0.641,0.891,0.605
35,"(34, 54]","(32, 37]",Deployed,15,14,19,26,1.071,0.731,1.466,0.706
36,"(34, 54]","(37, 42]",Deployed,12,14,19,29,0.857,0.655,1.308,0.647
37,"(34, 54]","(42, 47]",Deployed,1,5,25,26,0.200,0.962,0.208,0.235
38,"(34, 54]","(42, 47]",Deployed,18,15,15,12,1.200,1.250,0.960,0.503
39,"(34, 54]","(47, 52]",Deployed,2,1,14,16,2.000,0.875,2.286,2.924
40,"(34, 54]","(47, 52]",Deployed,8,5,12,11,1.600,1.091,1.467,1.039
41,"(34, 54]","(52, 57]",Deployed,2,2,8,12,1.000,0.667,1.500,1.651
42,"(34, 54]","(52, 57]",Deployed,1,1,10,9,1.000,1.111,0.900,1.339
43,"(34, 54]","(62, 67]",Deployed,4,1,4,3,4.000,1.333,3.000,4.065
44,"(54, 100]","(27, 32]",Deployed,2,3,1,1,0.667,1.000,0.667,1.123
45,"(54, 100]","(27, 32]",Deployed,2,2,3,6,1.000,0.500,2.000,2.452
46,"(54, 100]","(37, 42]",Deployed,1,2,1,3,0.500,0.333,1.500,2.526
