,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Deployed,3,3,2,5,1.000,0.400,2.500,2.925
1,"(15, 24]","(10, 15]",Deployed,16,11,2,3,1.455,0.667,2.182,2.170
2,"(15, 24]","(10, 15]",Deployed,18,12,26,26,1.500,1.000,1.500,0.701
3,"(15, 24]","(15, 20]",Deployed,76,77,41,50,0.987,0.820,1.204,0.325
4,"(15, 24]","(15, 20]",Deployed,154,135,276,305,1.141,0.905,1.261,0.192
5,"(15, 24]","(20, 25]",Deployed,43,33,60,70,1.303,0.857,1.520,0.448
6,"(15, 24]","(20, 25]",Deployed,112,89,256,242,1.258,1.058,1.190,0.208
7,"(15, 24]","(25, 30]",Deployed,6,10,27,21,0.600,1.286,0.467,0.278
8,"(15, 24]","(25, 30]",Deployed,22,14,47,34,1.571,1.382,1.137,0.469
9,"(15, 24]","(30, 35]",Deployed,5,2,2,1,2.500,2.000,1.250,1.855
10,"(15, 24]","(30, 35]",Deployed,7,6,20,13,1.167,1.538,0.758,0.502
11,"(15, 24]","(35, 40]",Deployed,5,1,12,4,5.000,3.000,1.667,2.065
12,"(24, 34]","(0, 5]",Deployed,4,2,5,4,2.000,1.250,1.600,1.755
13,"(24, 34]","(0, 5]",Deployed,2,3,3,2,0.667,1.500,0.444,0.574
14,"(24, 34]","(5, 10]",Deployed,5,10,5,5,0.500,1.000,0.500,0.419
15,"(24, 34]","(10, 15]",Deployed,1,1,2,6,1.000,0.333,3.000,4.901
16,"(24, 34]","(10, 15]",Deployed,1,2,3,2,0.500,1.500,0.333,0.509
17,"(24, 34]","(15, 20]",Deployed,4,7,4,8,0.571,0.500,1.143,1.003
18,"(24, 34]","(15, 20]",Deployed,17,20,25,31,0.850,0.806,1.054,0.452
19,"(24, 34]","(20, 25]",Deployed,20,16,16,12,1.250,1.333,0.938,0.479
20,"(24, 34]","(20, 25]",Deployed,89,77,107,130,1.156,0.823,1.404,0.294
21,"(24, 34]","(25, 30]",Deployed,21,21,28,24,1.000,1.167,0.857,0.359
22,"(24, 34]","(25, 30]",Deployed,67,49,100,99,1.367,1.010,1.354,0.326
23,"(24, 34]","(30, 35]",Deployed,13,8,15,18,1.625,0.833,1.950,1.114
24,"(24, 34]","(30, 35]",Deployed,36,33,46,52,1.091,0.885,1.233,0.393
25,"(24, 34]","(35, 40]",Deployed,3,4,7,10,0.750,0.700,1.071,0.975
26,"(24, 34]","(35, 40]",Deployed,21,8,18,20,2.625,0.900,2.917,1.545
27,"(24, 34]","(40, 45]",Deployed,3,3,3,3,1.000,1.000,1.000,1.156
28,"(24, 34]","(40, 45]",Deployed,6,6,9,12,1.000,0.750,1.333,0.971
29,"(24, 34]","(45, 50]",Deployed,6,1,2,2,6.000,1.000,6.000,8.837
30,"(24, 34]","(45, 50]",Deployed,5,4,7,7,1.250,1.000,1.250,1.074
31,"(24, 34]","(50, 55]",Deployed,2,1,1,3,2.000,0.333,6.000,10.104
32,"(24, 34]","(55, 60]",Deployed,3,1,5,3,3.000,1.667,1.800,2.461
33,"(34, 54]","(0, 5]",Deployed,1,2,1,1,0.500,1.000,0.500,0.936
34,"(34, 54]","(5, 10]",Deployed,1,3,2,4,0.333,0.500,0.667,0.963
35,"(34, 54]","(5, 10]",Deployed,1,1,1,3,1.000,0.333,3.000,5.479
36,"(34, 54]","(10, 15]",Deployed,8,11,3,5,0.727,0.600,1.212,1.051
37,"(34, 54]","(10, 15]",Deployed,1,2,5,6,0.500,0.833,0.600,0.820
38,"(34, 54]","(15, 20]",Deployed,4,9,7,7,0.444,1.000,0.444,0.358
39,"(34, 54]","(15, 20]",Deployed,3,6,5,13,0.500,0.385,1.300,1.148
40,"(34, 54]","(20, 25]",Deployed,3,8,3,10,0.375,0.300,1.250,1.182
41,"(34, 54]","(20, 25]",Deployed,8,13,12,18,0.615,0.667,0.923,0.541
42,"(34, 54]","(25, 30]",Deployed,11,9,3,11,1.222,0.273,4.481,3.554
43,"(34, 54]","(25, 30]",Deployed,16,21,10,26,0.762,0.385,1.981,0.993
44,"(34, 54]","(30, 35]",Deployed,6,6,5,4,1.000,1.250,0.800,0.709
45,"(34, 54]","(30, 35]",Deployed,26,33,27,32,0.788,0.844,0.934,0.349
46,"(34, 54]","(35, 40]",Deployed,2,1,15,15,2.000,1.000,2.000,2.558
47,"(34, 54]","(35, 40]",Deployed,32,27,18,22,1.185,0.818,1.449,0.600
48,"(34, 54]","(40, 45]",Deployed,3,2,17,17,1.500,1.000,1.500,1.465
49,"(34, 54]","(40, 45]",Deployed,36,29,21,12,1.241,1.750,0.709,0.314
50,"(34, 54]","(45, 50]",Deployed,2,3,8,14,0.667,0.571,1.167,1.185
51,"(34, 54]","(45, 50]",Deployed,20,17,14,17,1.176,0.824,1.429,0.702
52,"(34, 54]","(50, 55]",Deployed,6,3,5,4,2.000,1.250,1.600,1.562
53,"(34, 54]","(50, 55]",Deployed,11,4,16,8,2.750,2.000,1.375,1.002
54,"(34, 54]","(55, 60]",Deployed,4,4,4,3,1.000,1.333,0.750,0.782
55,"(54, 100]","(5, 10]",Deployed,1,1,2,1,1.000,2.000,0.500,0.936
56,"(54, 100]","(15, 20]",Deployed,1,1,1,1,1.000,1.000,1.000,2.001
57,"(54, 100]","(15, 20]",Deployed,1,3,2,4,0.333,0.500,0.667,0.963
58,"(54, 100]","(25, 30]",Deployed,2,3,3,4,0.667,0.750,0.889,1.059
59,"(54, 100]","(30, 35]",Deployed,2,6,1,3,0.333,0.333,1.000,1.415
60,"(54, 100]","(35, 40]",Deployed,1,1,2,2,1.000,1.000,1.000,1.733
61,"(54, 100]","(40, 45]",Deployed,4,4,1,3,1.000,0.333,3.000,4.065
62,"(54, 100]","(45, 50]",Deployed,5,8,2,8,0.625,0.250,2.500,2.440
63,"(54, 100]","(50, 55]",Deployed,5,4,1,2,1.250,0.500,2.500,3.493
64,"(54, 100]","(50, 55]",Deployed,13,11,9,11,1.182,0.818,1.444,0.881
65,"(54, 100]","(55, 60]",Deployed,4,7,4,2,0.571,2.000,0.286,0.306
66,"(54, 100]","(55, 60]",Deployed,18,16,5,7,1.125,0.714,1.575,1.072
67,"(54, 100]","(60, 65]",Deployed,18,19,3,3,0.947,1.000,0.947,0.835
68,"(54, 100]","(65, 70]",Deployed,4,4,8,5,1.000,1.600,0.625,0.569
69,"(54, 100]","(65, 70]",Deployed,17,13,2,2,1.308,1.000,1.308,1.395
70,"(54, 100]","(70, 75]",Deployed,4,4,5,3,1.000,1.667,0.600,0.611
71,"(54, 100]","(70, 75]",Deployed,23,21,3,1,1.095,3.000,0.365,0.436
72,"(54, 100]","(75, 80]",Deployed,1,2,8,3,0.500,2.667,0.188,0.263
73,"(54, 100]","(80, 85]",Deployed,5,4,10,6,1.250,1.667,0.750,0.636
74,"(54, 100]","(85, 90]",Deployed,8,1,9,7,8.000,1.286,6.222,7.313
75,"(54, 100]","(90, 95]",Deployed,5,2,2,3,2.500,0.667,3.750,4.647
