,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
9,"(15, 24]","(22, 27]",nan,2,2,14,8,1.000,1.750,0.571,0.626
28,"(24, 34]","(22, 27]",nan,3,1,9,4,3.000,2.250,1.333,1.737
8,"(15, 24]","(22, 27]",Unknown,2,1,11,11,2.000,1.000,2.000,2.596
26,"(24, 34]","(22, 27]",Unknown,2,1,2,4,2.000,0.500,4.000,6.003
27,"(24, 34]","(22, 27]",Unknown,3,2,7,5,1.500,1.400,1.071,1.163
6,"(15, 24]","(22, 27]",Not Deployed,12,4,38,47,3.000,0.809,3.711,2.298
7,"(15, 24]","(22, 27]",Not Deployed,15,17,46,42,0.882,1.095,0.806,0.336
24,"(24, 34]","(22, 27]",Not Deployed,9,7,27,20,1.286,1.350,0.952,0.558
25,"(24, 34]","(22, 27]",Not Deployed,19,23,26,39,0.826,0.667,1.239,0.500
44,"(34, 54]","(22, 27]",Not Deployed,7,12,6,12,0.583,0.500,1.167,0.807
45,"(34, 54]","(22, 27]",Not Deployed,6,5,6,13,1.200,0.462,2.600,2.035
76,"(54, 100]","(22, 27]",Not Deployed,1,4,1,3,0.250,0.333,0.750,1.206
