,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
17,"(15, 24]","(42, 47]",nan,2,1,2,2,2.000,1.000,2.000,3.164
38,"(24, 34]","(42, 47]",nan,3,1,1,2,3.000,0.500,6.000,10.104
58,"(34, 54]","(42, 47]",nan,1,1,3,5,1.000,0.600,1.667,2.654
59,"(34, 54]","(42, 47]",nan,1,2,1,1,0.500,1.000,0.500,0.936
15,"(15, 24]","(42, 47]",Not Deployed,8,4,3,2,2.000,1.500,1.333,1.467
16,"(15, 24]","(42, 47]",Not Deployed,11,3,5,2,3.667,2.500,1.467,1.557
56,"(34, 54]","(42, 47]",Not Deployed,7,12,15,24,0.583,0.625,0.933,0.542
57,"(34, 54]","(42, 47]",Not Deployed,11,10,7,13,1.100,0.538,2.043,1.313
82,"(54, 100]","(42, 47]",Not Deployed,3,12,3,7,0.250,0.429,0.583,0.552
83,"(54, 100]","(42, 47]",Not Deployed,2,5,5,9,0.400,0.556,0.720,0.725
