,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(5, 10]",Not Deployed,1,1,2,1,1.000,2.000,0.500,0.936
1,"(15, 24]","(10, 15]",Not Deployed,14,17,10,6,0.824,1.667,0.494,0.312
2,"(15, 24]","(10, 15]",Not Deployed,11,8,13,21,1.375,0.619,2.221,1.301
3,"(15, 24]","(10, 15]",Unknown,3,3,1,1,1.000,1.000,1.000,1.634
4,"(15, 24]","(10, 15]",nan,5,3,1,1,1.667,1.000,1.667,2.654
5,"(15, 24]","(10, 15]",nan,3,2,1,2,1.500,0.500,3.000,4.585
6,"(15, 24]","(15, 20]",Not Deployed,73,69,37,32,1.058,1.156,0.915,0.273
7,"(15, 24]","(15, 20]",Not Deployed,103,67,119,140,1.537,0.850,1.809,0.374
8,"(15, 24]","(15, 20]",Unknown,3,12,3,2,0.250,1.500,0.167,0.187
9,"(15, 24]","(15, 20]",Unknown,9,5,21,18,1.800,1.167,1.543,0.996
10,"(15, 24]","(15, 20]",nan,14,7,9,7,2.000,1.286,1.556,1.067
11,"(15, 24]","(15, 20]",nan,23,10,30,35,2.300,0.857,2.683,1.223
12,"(15, 24]","(20, 25]",Not Deployed,25,25,29,32,1.000,0.906,1.103,0.425
13,"(15, 24]","(20, 25]",Not Deployed,52,43,76,80,1.209,0.950,1.273,0.338
14,"(15, 24]","(20, 25]",Unknown,10,8,18,19,1.250,0.947,1.319,0.764
15,"(15, 24]","(20, 25]",nan,4,4,4,7,1.000,0.571,1.750,1.656
16,"(15, 24]","(20, 25]",nan,8,4,14,22,2.000,0.636,3.143,2.210
17,"(15, 24]","(25, 30]",Not Deployed,7,6,10,10,1.167,1.000,1.167,0.835
18,"(15, 24]","(25, 30]",Not Deployed,8,5,17,10,1.600,1.700,0.941,0.656
19,"(15, 24]","(30, 35]",Not Deployed,1,3,5,5,0.333,1.000,0.333,0.439
20,"(15, 24]","(30, 35]",Not Deployed,5,3,6,1,1.667,6.000,0.278,0.362
21,"(15, 24]","(35, 40]",Not Deployed,3,5,2,4,0.600,0.500,1.200,1.361
22,"(15, 24]","(35, 40]",Not Deployed,6,4,5,2,1.500,2.500,0.600,0.635
23,"(15, 24]","(40, 45]",Not Deployed,9,7,2,2,1.286,1.000,1.286,1.441
24,"(15, 24]","(40, 45]",Not Deployed,3,1,6,3,3.000,2.000,1.500,2.032
25,"(15, 24]","(65, 70]",Not Deployed,1,1,2,1,1.000,2.000,0.500,0.936
26,"(24, 34]","(0, 5]",Not Deployed,3,2,2,3,1.500,0.667,2.250,2.907
27,"(24, 34]","(5, 10]",Not Deployed,7,3,6,3,2.333,2.000,1.167,1.154
28,"(24, 34]","(10, 15]",Not Deployed,1,5,3,4,0.200,0.750,0.267,0.356
29,"(24, 34]","(10, 15]",Not Deployed,4,2,1,4,2.000,0.250,8.000,11.321
30,"(24, 34]","(15, 20]",Not Deployed,2,4,2,4,0.500,0.500,1.000,1.226
31,"(24, 34]","(15, 20]",Not Deployed,5,6,5,7,0.833,0.714,1.167,0.984
32,"(24, 34]","(15, 20]",nan,1,2,4,4,0.500,1.000,0.500,0.708
33,"(24, 34]","(20, 25]",Not Deployed,3,4,11,9,0.750,1.222,0.614,0.545
34,"(24, 34]","(20, 25]",Not Deployed,31,31,28,27,1.000,1.037,0.964,0.361
35,"(24, 34]","(20, 25]",Unknown,6,6,5,6,1.000,0.833,1.200,1.006
36,"(24, 34]","(20, 25]",nan,4,3,3,5,1.333,0.600,2.222,2.351
37,"(24, 34]","(25, 30]",Not Deployed,8,11,12,19,0.727,0.632,1.152,0.685
38,"(24, 34]","(25, 30]",Not Deployed,34,36,35,29,0.944,1.207,0.783,0.274
39,"(24, 34]","(25, 30]",Unknown,6,1,9,12,6.000,0.750,8.000,9.342
40,"(24, 34]","(25, 30]",nan,4,6,5,7,0.667,0.714,0.933,0.815
41,"(24, 34]","(30, 35]",Not Deployed,9,10,18,20,0.900,0.900,1.000,0.565
42,"(24, 34]","(30, 35]",Not Deployed,11,12,14,13,0.917,1.077,0.851,0.485
43,"(24, 34]","(30, 35]",Unknown,4,2,5,3,2.000,1.667,1.200,1.361
44,"(24, 34]","(30, 35]",nan,1,2,1,1,0.500,1.000,0.500,0.936
45,"(24, 34]","(30, 35]",nan,5,4,4,3,1.250,1.333,0.938,0.954
46,"(24, 34]","(35, 40]",Not Deployed,6,4,1,2,1.500,0.500,3.000,4.156
47,"(24, 34]","(35, 40]",Not Deployed,5,3,6,10,1.667,0.600,2.778,2.488
48,"(24, 34]","(40, 45]",Not Deployed,4,2,3,3,2.000,1.000,2.000,2.383
49,"(24, 34]","(40, 45]",Unknown,2,1,2,1,2.000,2.000,1.000,1.733
50,"(24, 34]","(45, 50]",Not Deployed,1,2,2,1,0.500,2.000,0.250,0.433
51,"(24, 34]","(45, 50]",Not Deployed,1,2,4,3,0.500,1.333,0.375,0.542
52,"(24, 34]","(55, 60]",Not Deployed,4,2,4,1,2.000,4.000,0.500,0.708
53,"(34, 54]","(5, 10]",Not Deployed,4,6,2,6,0.667,0.333,2.000,2.084
54,"(34, 54]","(5, 10]",Not Deployed,3,4,4,2,0.750,2.000,0.375,0.433
55,"(34, 54]","(10, 15]",Not Deployed,16,19,8,20,0.842,0.400,2.105,1.139
56,"(34, 54]","(10, 15]",Not Deployed,2,2,3,5,1.000,0.600,1.667,2.065
57,"(34, 54]","(15, 20]",Not Deployed,9,21,4,12,0.429,0.333,1.286,0.904
58,"(34, 54]","(15, 20]",Not Deployed,3,8,4,12,0.375,0.333,1.125,1.003
59,"(34, 54]","(15, 20]",nan,1,1,1,1,1.000,1.000,1.000,2.001
60,"(34, 54]","(20, 25]",Not Deployed,6,7,3,5,0.857,0.600,1.429,1.313
61,"(34, 54]","(20, 25]",Not Deployed,5,6,8,10,0.833,0.800,1.042,0.803
62,"(34, 54]","(20, 25]",nan,2,3,1,1,0.667,1.000,0.667,1.123
63,"(34, 54]","(20, 25]",nan,1,2,1,1,0.500,1.000,0.500,0.936
64,"(34, 54]","(25, 30]",Not Deployed,2,8,3,4,0.250,0.750,0.333,0.367
65,"(34, 54]","(25, 30]",Not Deployed,5,12,10,14,0.417,0.714,0.583,0.394
66,"(34, 54]","(25, 30]",nan,4,2,1,1,2.000,1.000,2.000,3.318
67,"(34, 54]","(30, 35]",Not Deployed,5,9,5,6,0.556,0.833,0.667,0.550
68,"(34, 54]","(30, 35]",Not Deployed,15,20,6,12,0.750,0.500,1.500,0.911
69,"(34, 54]","(30, 35]",nan,1,1,1,1,1.000,1.000,1.000,2.001
70,"(34, 54]","(30, 35]",nan,1,4,2,3,0.250,0.667,0.375,0.542
71,"(34, 54]","(35, 40]",Not Deployed,6,3,10,17,2.000,0.588,3.400,2.765
72,"(34, 54]","(35, 40]",Not Deployed,16,15,7,10,1.067,0.700,1.524,0.933
73,"(34, 54]","(35, 40]",nan,1,1,1,2,1.000,0.500,2.000,3.743
74,"(34, 54]","(35, 40]",nan,5,5,2,2,1.000,1.000,1.000,1.184
75,"(34, 54]","(40, 45]",Not Deployed,14,7,4,13,2.000,0.308,6.500,4.793
76,"(34, 54]","(40, 45]",Not Deployed,27,26,15,12,1.038,1.250,0.831,0.397
77,"(34, 54]","(45, 50]",Not Deployed,6,5,15,14,1.200,1.071,1.120,0.798
78,"(34, 54]","(45, 50]",Not Deployed,30,22,16,13,1.364,1.231,1.108,0.521
79,"(34, 54]","(45, 50]",nan,5,2,2,3,2.500,0.667,3.750,4.647
80,"(34, 54]","(50, 55]",Not Deployed,11,8,13,10,1.375,1.300,1.058,0.665
81,"(34, 54]","(50, 55]",Not Deployed,17,15,5,5,1.133,1.000,1.133,0.824
82,"(34, 54]","(50, 55]",Unknown,2,3,2,3,0.667,0.667,1.000,1.292
83,"(34, 54]","(55, 60]",Not Deployed,10,3,8,9,3.333,0.889,3.750,3.074
84,"(34, 54]","(55, 60]",Not Deployed,7,7,6,4,1.000,1.500,0.667,0.560
85,"(34, 54]","(60, 65]",Not Deployed,8,3,5,7,2.667,0.714,3.733,3.347
86,"(34, 54]","(60, 65]",Not Deployed,4,1,8,3,4.000,2.667,1.500,1.962
87,"(34, 54]","(65, 70]",Not Deployed,3,3,3,3,1.000,1.000,1.000,1.156
88,"(34, 54]","(70, 75]",Not Deployed,14,5,2,3,2.800,0.667,4.200,4.420
89,"(34, 54]","(70, 75]",Not Deployed,3,1,3,1,3.000,3.000,1.000,1.634
90,"(34, 54]","(75, 80]",Not Deployed,4,2,2,1,2.000,2.000,1.000,1.501
91,"(54, 100]","(15, 20]",Not Deployed,2,6,1,7,0.333,0.143,2.333,3.141
92,"(54, 100]","(15, 20]",Unknown,1,1,1,1,1.000,1.000,1.000,2.001
93,"(54, 100]","(20, 25]",Not Deployed,2,2,1,3,1.000,0.333,3.000,4.585
94,"(54, 100]","(20, 25]",Not Deployed,1,3,2,4,0.333,0.500,0.667,0.963
