,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
15,"(15, 24]","(20, 25]",nan,4,4,4,7,1.000,0.571,1.750,1.656
16,"(15, 24]","(20, 25]",nan,8,4,14,22,2.000,0.636,3.143,2.210
36,"(24, 34]","(20, 25]",nan,4,3,3,5,1.333,0.600,2.222,2.351
62,"(34, 54]","(20, 25]",nan,2,3,1,1,0.667,1.000,0.667,1.123
63,"(34, 54]","(20, 25]",nan,1,2,1,1,0.500,1.000,0.500,0.936
14,"(15, 24]","(20, 25]",Unknown,10,8,18,19,1.250,0.947,1.319,0.764
35,"(24, 34]","(20, 25]",Unknown,6,6,5,6,1.000,0.833,1.200,1.006
12,"(15, 24]","(20, 25]",Not Deployed,25,25,29,32,1.000,0.906,1.103,0.425
13,"(15, 24]","(20, 25]",Not Deployed,52,43,76,80,1.209,0.950,1.273,0.338
33,"(24, 34]","(20, 25]",Not Deployed,3,4,11,9,0.750,1.222,0.614,0.545
34,"(24, 34]","(20, 25]",Not Deployed,31,31,28,27,1.000,1.037,0.964,0.361
60,"(34, 54]","(20, 25]",Not Deployed,6,7,3,5,0.857,0.600,1.429,1.313
61,"(34, 54]","(20, 25]",Not Deployed,5,6,8,10,0.833,0.800,1.042,0.803
93,"(54, 100]","(20, 25]",Not Deployed,2,2,1,3,1.000,0.333,3.000,4.585
94,"(54, 100]","(20, 25]",Not Deployed,1,3,2,4,0.333,0.500,0.667,0.963
