,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
23,"(24, 34]","(22, 27]",nan,2,2,3,5,1.000,0.600,1.667,2.065
24,"(24, 34]","(22, 27]",nan,1,2,10,7,0.500,1.429,0.350,0.462
38,"(34, 54]","(22, 27]",nan,1,1,1,2,1.000,0.500,2.000,3.743
21,"(24, 34]","(22, 27]",Unknown,2,1,1,1,2.000,1.000,2.000,3.743
22,"(24, 34]","(22, 27]",Unknown,1,2,6,6,0.500,1.000,0.500,0.677
6,"(15, 24]","(22, 27]",Not Deployed,17,16,33,37,1.062,0.892,1.191,0.507
7,"(15, 24]","(22, 27]",Not Deployed,20,9,55,52,2.222,1.058,2.101,0.942
19,"(24, 34]","(22, 27]",Not Deployed,11,8,16,24,1.375,0.667,2.062,1.171
20,"(24, 34]","(22, 27]",Not Deployed,16,13,42,49,1.231,0.857,1.436,0.620
36,"(34, 54]","(22, 27]",Not Deployed,4,1,4,6,4.000,0.667,6.000,7.752
37,"(34, 54]","(22, 27]",Not Deployed,3,2,10,18,1.500,0.556,2.700,2.688
