,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(5, 10]",Not Deployed,1,2,2,2,0.500,1.000,0.500,0.791
1,"(15, 24]","(10, 15]",Not Deployed,7,7,1,4,1.000,0.250,4.000,4.961
2,"(15, 24]","(10, 15]",Not Deployed,9,10,8,11,0.900,0.727,1.238,0.811
3,"(15, 24]","(10, 15]",Unknown,2,2,1,2,1.000,0.500,2.000,3.164
4,"(15, 24]","(10, 15]",nan,1,2,1,2,0.500,0.500,1.000,1.733
5,"(15, 24]","(15, 20]",Not Deployed,49,54,16,39,0.907,0.410,2.212,0.796
6,"(15, 24]","(15, 20]",Not Deployed,70,58,118,142,1.207,0.831,1.452,0.323
7,"(15, 24]","(15, 20]",Unknown,3,2,6,2,1.500,3.000,0.500,0.613
8,"(15, 24]","(15, 20]",Unknown,9,6,12,11,1.500,1.091,1.375,0.927
9,"(15, 24]","(15, 20]",nan,6,6,5,5,1.000,1.000,1.000,0.858
10,"(15, 24]","(15, 20]",nan,14,13,34,35,1.077,0.971,1.109,0.507
11,"(15, 24]","(20, 25]",Not Deployed,14,16,24,36,0.875,0.667,1.312,0.596
12,"(15, 24]","(20, 25]",Not Deployed,36,33,93,98,1.091,0.949,1.150,0.328
13,"(15, 24]","(20, 25]",Unknown,1,1,1,4,1.000,0.250,4.000,7.214
14,"(15, 24]","(20, 25]",Unknown,4,2,14,24,2.000,0.583,3.429,3.190
15,"(15, 24]","(20, 25]",nan,2,3,2,3,0.667,0.667,1.000,1.292
16,"(15, 24]","(20, 25]",nan,7,7,20,17,1.000,1.176,0.850,0.536
17,"(15, 24]","(25, 30]",Not Deployed,9,6,5,12,1.500,0.417,3.600,2.703
18,"(15, 24]","(25, 30]",Not Deployed,7,8,23,23,0.875,1.000,0.875,0.523
19,"(15, 24]","(25, 30]",Unknown,2,2,3,1,1.000,3.000,0.333,0.509
20,"(15, 24]","(25, 30]",nan,1,1,4,6,1.000,0.667,1.500,2.333
21,"(15, 24]","(30, 35]",Not Deployed,3,2,4,6,1.500,0.667,2.250,2.518
22,"(15, 24]","(30, 35]",Unknown,1,1,2,2,1.000,1.000,1.000,1.733
23,"(15, 24]","(35, 40]",Not Deployed,2,1,5,3,2.000,1.667,1.200,1.712
24,"(24, 34]","(0, 5]",Not Deployed,1,2,1,3,0.500,0.333,1.500,2.526
25,"(24, 34]","(5, 10]",Not Deployed,2,3,3,2,0.667,1.500,0.444,0.574
26,"(24, 34]","(10, 15]",Not Deployed,2,4,1,3,0.500,0.333,1.500,2.166
27,"(24, 34]","(10, 15]",nan,1,1,1,1,1.000,1.000,1.000,2.001
28,"(24, 34]","(15, 20]",Not Deployed,4,2,1,4,2.000,0.250,8.000,11.321
29,"(24, 34]","(15, 20]",Not Deployed,11,7,13,13,1.571,1.000,1.571,0.981
30,"(24, 34]","(15, 20]",Unknown,1,2,1,3,0.500,0.333,1.500,2.526
31,"(24, 34]","(15, 20]",nan,3,2,1,2,1.500,0.500,3.000,4.585
32,"(24, 34]","(20, 25]",Not Deployed,7,14,7,6,0.500,1.167,0.429,0.311
33,"(24, 34]","(20, 25]",Not Deployed,30,28,32,40,1.071,0.800,1.339,0.479
34,"(24, 34]","(20, 25]",nan,5,5,9,11,1.000,0.818,1.222,0.950
35,"(24, 34]","(25, 30]",Not Deployed,4,6,7,16,0.667,0.438,1.524,1.204
36,"(24, 34]","(25, 30]",Not Deployed,28,19,33,41,1.474,0.805,1.831,0.698
37,"(24, 34]","(25, 30]",Unknown,2,2,1,2,1.000,0.500,2.000,3.164
38,"(24, 34]","(25, 30]",Unknown,3,4,5,6,0.750,0.833,0.900,0.878
39,"(24, 34]","(25, 30]",nan,1,2,1,2,0.500,0.500,1.000,1.733
40,"(24, 34]","(25, 30]",nan,2,3,4,5,0.667,0.800,0.833,0.945
41,"(24, 34]","(30, 35]",Not Deployed,1,10,13,9,0.100,1.444,0.069,0.079
42,"(24, 34]","(30, 35]",Not Deployed,12,11,23,17,1.091,1.353,0.806,0.426
43,"(24, 34]","(30, 35]",Unknown,3,1,2,3,3.000,0.667,4.500,6.628
44,"(24, 34]","(35, 40]",Not Deployed,3,6,12,11,0.500,1.091,0.458,0.377
45,"(24, 34]","(35, 40]",nan,4,2,1,1,2.000,1.000,2.000,3.318
46,"(24, 34]","(40, 45]",Not Deployed,1,1,3,3,1.000,1.000,1.000,1.634
47,"(24, 34]","(40, 45]",Not Deployed,3,2,10,7,1.500,1.429,1.050,1.091
48,"(24, 34]","(45, 50]",Not Deployed,1,2,3,2,0.500,1.500,0.333,0.509
49,"(24, 34]","(50, 55]",Not Deployed,1,1,3,1,1.000,3.000,0.333,0.609
50,"(34, 54]","(10, 15]",Not Deployed,2,4,2,1,0.500,2.000,0.250,0.375
51,"(34, 54]","(15, 20]",Not Deployed,4,8,2,5,0.500,0.400,1.250,1.298
52,"(34, 54]","(15, 20]",Not Deployed,3,2,3,8,1.500,0.375,4.000,4.550
53,"(34, 54]","(20, 25]",Not Deployed,3,2,1,6,1.500,0.167,9.000,12.736
54,"(34, 54]","(20, 25]",Not Deployed,4,4,3,15,1.000,0.200,5.000,4.750
55,"(34, 54]","(25, 30]",Not Deployed,3,4,2,4,0.750,0.500,1.500,1.734
56,"(34, 54]","(25, 30]",Not Deployed,3,9,4,3,0.333,1.333,0.250,0.254
57,"(34, 54]","(25, 30]",nan,1,2,1,1,0.500,1.000,0.500,0.936
58,"(34, 54]","(30, 35]",Not Deployed,2,4,2,4,0.500,0.500,1.000,1.226
59,"(34, 54]","(30, 35]",Not Deployed,7,10,10,10,0.700,1.000,0.700,0.467
60,"(34, 54]","(35, 40]",Not Deployed,2,3,5,6,0.667,0.833,0.800,0.877
61,"(34, 54]","(35, 40]",Not Deployed,6,8,12,7,0.750,1.714,0.438,0.316
62,"(34, 54]","(35, 40]",Unknown,1,1,1,1,1.000,1.000,1.000,2.001
63,"(34, 54]","(35, 40]",nan,1,1,1,1,1.000,1.000,1.000,2.001
64,"(34, 54]","(40, 45]",Not Deployed,3,1,5,5,3.000,1.000,3.000,3.953
65,"(34, 54]","(40, 45]",Not Deployed,3,2,8,7,1.500,1.143,1.312,1.379
66,"(34, 54]","(40, 45]",Unknown,1,1,1,2,1.000,0.500,2.000,3.743
67,"(34, 54]","(45, 50]",Not Deployed,12,12,6,8,1.000,0.750,1.333,0.905
68,"(34, 54]","(50, 55]",Not Deployed,6,7,3,6,0.857,0.500,1.714,1.545
69,"(34, 54]","(55, 60]",Not Deployed,1,1,2,1,1.000,2.000,0.500,0.936
70,"(34, 54]","(60, 65]",Not Deployed,2,1,1,1,2.000,1.000,2.000,3.743
71,"(34, 54]","(60, 65]",Not Deployed,3,1,4,3,3.000,1.333,2.250,3.117
72,"(54, 100]","(30, 35]",Not Deployed,3,2,1,2,1.500,0.500,3.000,4.585
73,"(54, 100]","(50, 55]",Not Deployed,2,5,3,6,0.400,0.500,0.800,0.877
74,"(54, 100]","(55, 60]",Not Deployed,1,2,4,3,0.500,1.333,0.375,0.542
75,"(54, 100]","(55, 60]",Not Deployed,4,4,2,1,1.000,2.000,0.500,0.708
76,"(54, 100]","(60, 65]",Not Deployed,8,8,1,1,1.000,1.000,1.000,1.501
77,"(54, 100]","(60, 65]",nan,1,1,1,2,1.000,0.500,2.000,3.743
78,"(54, 100]","(65, 70]",Not Deployed,1,1,3,1,1.000,3.000,0.333,0.609
79,"(54, 100]","(70, 75]",Not Deployed,4,6,1,3,0.667,0.333,2.000,2.648
80,"(54, 100]","(75, 80]",Not Deployed,3,2,2,2,1.500,1.000,1.500,2.032
81,"(54, 100]","(75, 80]",nan,2,3,1,1,0.667,1.000,0.667,1.123
82,"(54, 100]","(80, 85]",Not Deployed,4,1,4,4,4.000,1.000,4.000,5.295
83,"(54, 100]","(80, 85]",Not Deployed,7,5,1,1,1.400,1.000,1.400,2.144
84,"(54, 100]","(80, 85]",nan,1,1,2,3,1.000,0.667,1.500,2.526
