,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
15,"(15, 24]","(20, 25]",nan,2,3,2,3,0.667,0.667,1.000,1.292
16,"(15, 24]","(20, 25]",nan,7,7,20,17,1.000,1.176,0.850,0.536
34,"(24, 34]","(20, 25]",nan,5,5,9,11,1.000,0.818,1.222,0.950
13,"(15, 24]","(20, 25]",Unknown,1,1,1,4,1.000,0.250,4.000,7.214
14,"(15, 24]","(20, 25]",Unknown,4,2,14,24,2.000,0.583,3.429,3.190
11,"(15, 24]","(20, 25]",Not Deployed,14,16,24,36,0.875,0.667,1.312,0.596
12,"(15, 24]","(20, 25]",Not Deployed,36,33,93,98,1.091,0.949,1.150,0.328
32,"(24, 34]","(20, 25]",Not Deployed,7,14,7,6,0.500,1.167,0.429,0.311
33,"(24, 34]","(20, 25]",Not Deployed,30,28,32,40,1.071,0.800,1.339,0.479
53,"(34, 54]","(20, 25]",Not Deployed,3,2,1,6,1.500,0.167,9.000,12.736
54,"(34, 54]","(20, 25]",Not Deployed,4,4,3,15,1.000,0.200,5.000,4.750
