,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Not Deployed,2,1,3,1,2.000,3.000,0.667,1.123
1,"(15, 24]","(10, 15]",Not Deployed,3,3,3,3,1.000,1.000,1.000,1.156
2,"(15, 24]","(15, 20]",Not Deployed,2,8,4,9,0.250,0.444,0.562,0.559
3,"(15, 24]","(15, 20]",Not Deployed,9,15,29,37,0.600,0.784,0.766,0.376
4,"(15, 24]","(20, 25]",Not Deployed,4,1,4,5,4.000,0.800,5.000,6.524
5,"(15, 24]","(20, 25]",Not Deployed,3,4,13,8,0.750,1.625,0.462,0.410
6,"(15, 24]","(20, 25]",Unknown,1,1,3,1,1.000,3.000,0.333,0.609
7,"(15, 24]","(25, 30]",Not Deployed,1,1,5,4,1.000,1.250,0.800,1.253
8,"(24, 34]","(0, 5]",Not Deployed,1,2,2,2,0.500,1.000,0.500,0.791
9,"(24, 34]","(5, 10]",Not Deployed,1,1,1,2,1.000,0.500,2.000,3.743
10,"(24, 34]","(15, 20]",Not Deployed,1,3,3,2,0.333,1.500,0.222,0.327
11,"(24, 34]","(20, 25]",Not Deployed,2,6,8,7,0.333,1.143,0.292,0.282
12,"(24, 34]","(25, 30]",Not Deployed,2,3,4,6,0.667,0.667,1.000,1.119
13,"(34, 54]","(10, 15]",Not Deployed,1,2,1,3,0.500,0.333,1.500,2.526
