,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Not Deployed,25,24,33,40,1.042,0.825,1.263,0.472
1,"(15, 24]","(15, 22]",Not Deployed,11,17,55,45,0.647,1.222,0.529,0.232
2,"(15, 24]","(15, 22]",Unknown,9,4,5,7,2.250,0.714,3.150,2.648
3,"(15, 24]","(22, 27]",Not Deployed,1,1,11,18,1.000,0.611,1.636,2.399
4,"(15, 24]","(22, 27]",Not Deployed,4,6,18,14,0.667,1.286,0.519,0.383
5,"(15, 24]","(32, 37]",Not Deployed,2,3,4,3,0.667,1.333,0.500,0.596
6,"(15, 24]","(37, 42]",Not Deployed,2,1,6,2,2.000,3.000,0.667,0.982
7,"(15, 24]","(42, 47]",Not Deployed,6,2,2,1,3.000,2.000,1.500,2.209
8,"(24, 34]","(15, 22]",Not Deployed,3,2,3,5,1.500,0.600,2.500,2.925
9,"(24, 34]","(15, 22]",Not Deployed,1,2,4,3,0.500,1.333,0.375,0.542
10,"(24, 34]","(22, 27]",Not Deployed,4,4,13,6,1.000,2.167,0.462,0.399
11,"(24, 34]","(22, 27]",Not Deployed,7,9,8,13,0.778,0.615,1.264,0.856
12,"(24, 34]","(22, 27]",Unknown,1,1,1,2,1.000,0.500,2.000,3.743
13,"(24, 34]","(22, 27]",Unknown,2,1,5,5,2.000,1.000,2.000,2.759
14,"(24, 34]","(27, 32]",Not Deployed,3,2,10,7,1.500,1.429,1.050,1.091
15,"(24, 34]","(27, 32]",Not Deployed,9,6,12,13,1.500,0.923,1.625,1.079
16,"(24, 34]","(32, 37]",Not Deployed,3,2,3,3,1.500,1.000,1.500,1.839
17,"(24, 34]","(32, 37]",Unknown,1,1,2,3,1.000,0.667,1.500,2.526
18,"(24, 34]","(37, 42]",Not Deployed,2,1,5,1,2.000,5.000,0.400,0.658
19,"(24, 34]","(37, 42]",Not Deployed,2,2,2,2,1.000,1.000,1.000,1.415
20,"(24, 34]","(47, 52]",Not Deployed,1,1,2,1,1.000,2.000,0.500,0.936
21,"(24, 34]","(47, 52]",Not Deployed,2,2,3,2,1.000,1.500,0.667,0.903
22,"(34, 54]","(15, 22]",Not Deployed,3,1,1,3,3.000,0.333,9.000,14.704
23,"(34, 54]","(22, 27]",Not Deployed,3,2,4,5,1.500,0.800,1.875,2.126
24,"(34, 54]","(22, 27]",Not Deployed,3,1,4,7,3.000,0.571,5.250,6.903
25,"(34, 54]","(27, 32]",Not Deployed,5,5,2,2,1.000,1.000,1.000,1.184
26,"(34, 54]","(32, 37]",Not Deployed,3,5,6,6,0.600,1.000,0.600,0.559
27,"(34, 54]","(32, 37]",Not Deployed,2,1,4,5,2.000,0.800,2.500,3.493
28,"(34, 54]","(37, 42]",Not Deployed,5,5,13,10,1.000,1.300,0.769,0.586
29,"(34, 54]","(37, 42]",Not Deployed,8,2,5,7,4.000,0.714,5.600,5.516
30,"(34, 54]","(42, 47]",Not Deployed,2,4,10,11,0.500,0.909,0.550,0.534
31,"(34, 54]","(42, 47]",Not Deployed,5,3,3,4,1.667,0.750,2.222,2.351
32,"(34, 54]","(47, 52]",Not Deployed,2,4,2,6,0.500,0.333,1.500,1.787
33,"(34, 54]","(52, 57]",Not Deployed,2,2,3,6,1.000,0.500,2.000,2.452
34,"(34, 54]","(52, 57]",Not Deployed,1,2,5,2,0.500,2.500,0.200,0.297
35,"(34, 54]","(57, 62]",Not Deployed,3,1,1,2,3.000,0.500,6.000,10.104
36,"(34, 54]","(72, 77]",Not Deployed,1,3,2,1,0.333,2.000,0.167,0.281
37,"(54, 100]","(15, 22]",Not Deployed,1,2,1,2,0.500,0.500,1.000,1.733
38,"(54, 100]","(27, 32]",Not Deployed,1,2,1,3,0.500,0.333,1.500,2.526
39,"(54, 100]","(37, 42]",Not Deployed,1,7,1,2,0.143,0.500,0.286,0.465
40,"(54, 100]","(42, 47]",Not Deployed,2,3,1,4,0.667,0.250,2.667,3.851
41,"(54, 100]","(42, 47]",Not Deployed,2,1,2,5,2.000,0.400,5.000,7.420
42,"(54, 100]","(47, 52]",Not Deployed,1,8,1,11,0.125,0.091,1.375,2.048
43,"(54, 100]","(47, 52]",Not Deployed,2,1,1,3,2.000,0.333,6.000,10.104
44,"(54, 100]","(52, 57]",Not Deployed,3,11,10,11,0.273,0.909,0.300,0.236
45,"(54, 100]","(52, 57]",Not Deployed,4,7,4,4,0.571,1.000,0.571,0.541
46,"(54, 100]","(57, 62]",Not Deployed,4,11,12,11,0.364,1.091,0.333,0.240
47,"(54, 100]","(57, 62]",Not Deployed,4,6,2,2,0.667,1.000,0.667,0.794
48,"(54, 100]","(57, 62]",Unknown,1,2,2,2,0.500,1.000,0.500,0.791
49,"(54, 100]","(62, 67]",Not Deployed,4,9,21,21,0.444,1.000,0.444,0.301
50,"(54, 100]","(62, 67]",Not Deployed,7,15,3,3,0.467,1.000,0.467,0.437
51,"(54, 100]","(67, 72]",Not Deployed,7,7,23,25,1.000,0.920,1.087,0.663
52,"(54, 100]","(67, 72]",Not Deployed,11,12,1,5,0.917,0.200,4.583,5.378
53,"(54, 100]","(67, 72]",Unknown,2,2,5,2,1.000,2.500,0.400,0.522
54,"(54, 100]","(72, 77]",Not Deployed,8,8,41,35,1.000,1.171,0.854,0.472
55,"(54, 100]","(72, 77]",Not Deployed,9,9,4,2,1.000,2.000,0.500,0.494
56,"(54, 100]","(77, 82]",Not Deployed,5,9,38,33,0.556,1.152,0.482,0.294
57,"(54, 100]","(77, 82]",Not Deployed,11,15,8,3,0.733,2.667,0.275,0.216
58,"(54, 100]","(77, 82]",Unknown,1,1,2,6,1.000,0.333,3.000,4.901
59,"(54, 100]","(82, 87]",Not Deployed,4,6,29,29,0.667,1.000,0.667,0.466
60,"(54, 100]","(87, 92]",Not Deployed,3,2,20,14,1.500,1.429,1.050,1.027
61,"(54, 100]","(87, 92]",Not Deployed,1,4,3,1,0.250,3.000,0.083,0.134
