,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.067,0.269,19.000
1,"(22, 27]",1.066,0.377,25.000
2,"(27, 32]",1.354,0.656,30.000
3,"(32, 37]",0.944,0.513,35.000
4,"(37, 42]",1.075,0.509,40.000
5,"(42, 47]",1.550,0.847,45.000
6,"(47, 52]",1.316,0.861,50.000
7,"(52, 57]",0.478,0.244,55.000
8,"(57, 62]",0.546,0.296,60.000
9,"(62, 67]",0.452,0.248,65.000
10,"(67, 72]",1.219,0.609,70.000
11,"(72, 77]",0.670,0.311,75.000
12,"(77, 82]",0.460,0.212,80.000
13,"(82, 87]",0.667,0.466,85.000
14,"(87, 92]",0.530,0.443,90.000
