,Subject Age,R,DeltaR,Age
0,"(10, 15]",2.503,1.687,13.000
1,"(15, 20]",1.290,0.351,18.000
2,"(20, 25]",1.171,0.325,23.000
3,"(25, 30]",0.718,0.275,28.000
4,"(30, 35]",0.862,0.469,33.000
5,"(35, 40]",2.471,1.792,38.000
6,"(40, 45]",0.928,0.463,43.000
7,"(45, 50]",0.952,0.560,48.000
8,"(50, 55]",0.946,0.522,53.000
9,"(55, 60]",1.181,0.677,58.000
10,"(60, 65]",0.601,0.590,63.000
11,"(65, 70]",0.747,0.478,68.000
12,"(70, 75]",0.940,0.523,73.000
13,"(75, 80]",1.194,0.724,78.000
14,"(80, 85]",0.951,0.497,83.000
15,"(85, 90]",0.402,0.313,88.000
16,"(90, 95]",1.422,1.460,93.000
