,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Not Deployed,11,12,22,15,0.917,1.467,0.625,0.336
1,"(15, 24]","(15, 22]",Not Deployed,19,10,55,37,1.900,1.486,1.278,0.572
2,"(15, 24]","(15, 22]",nan,2,3,5,4,0.667,1.250,0.533,0.605
3,"(15, 24]","(22, 27]",Not Deployed,9,4,10,8,2.250,1.250,1.800,1.381
4,"(15, 24]","(22, 27]",Not Deployed,8,3,17,15,2.667,1.133,2.353,1.802
5,"(24, 34]","(15, 22]",Not Deployed,2,1,4,8,2.000,0.500,4.000,5.481
6,"(24, 34]","(22, 27]",Not Deployed,5,3,6,8,1.667,0.750,2.222,2.021
7,"(24, 34]","(22, 27]",Not Deployed,5,5,11,14,1.000,0.786,1.273,0.957
8,"(24, 34]","(27, 32]",Not Deployed,1,2,9,8,0.500,1.125,0.444,0.586
9,"(24, 34]","(32, 37]",Not Deployed,2,2,5,4,1.000,1.250,0.800,0.964
10,"(34, 54]","(22, 27]",Not Deployed,3,1,2,2,3.000,1.000,3.000,4.585
11,"(34, 54]","(27, 32]",Not Deployed,2,1,1,2,2.000,0.500,4.000,6.931
12,"(34, 54]","(27, 32]",Not Deployed,2,2,2,5,1.000,0.400,2.500,3.262
13,"(34, 54]","(32, 37]",Not Deployed,2,3,3,5,0.667,0.600,1.111,1.300
14,"(34, 54]","(37, 42]",Not Deployed,1,2,3,3,0.500,1.000,0.500,0.736
15,"(34, 54]","(42, 47]",Not Deployed,1,1,3,4,1.000,0.750,1.333,2.144
