,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,52,48,77,108,1.083,0.713,1.519,0.387
1,"(15, 24]","(15, 22]",Male,26,28,266,242,0.929,1.099,0.845,0.246
2,"(15, 24]","(22, 27]",Female,11,9,38,41,1.222,0.927,1.319,0.666
3,"(15, 24]","(22, 27]",Male,7,5,65,59,1.400,1.102,1.271,0.781
4,"(15, 24]","(27, 32]",Female,5,7,16,15,0.714,1.067,0.670,0.461
5,"(15, 24]","(27, 32]",Male,3,3,34,17,1.000,2.000,0.500,0.435
6,"(15, 24]","(32, 37]",Male,3,2,18,15,1.500,1.200,1.250,1.224
7,"(15, 24]","(37, 42]",Female,7,4,8,4,1.750,2.000,0.875,0.768
8,"(15, 24]","(42, 47]",Female,11,2,5,2,5.500,2.500,2.200,2.502
9,"(15, 24]","(42, 47]",Male,9,5,12,5,1.800,2.400,0.750,0.579
10,"(15, 24]","(47, 52]",Male,2,1,16,4,2.000,4.000,0.500,0.674
11,"(15, 24]","(52, 57]",Female,6,1,6,3,6.000,2.000,3.000,3.876
12,"(24, 34]","(15, 22]",Female,8,3,8,9,2.667,0.889,3.000,2.504
13,"(24, 34]","(15, 22]",Male,6,6,22,36,1.000,0.611,1.636,1.047
14,"(24, 34]","(22, 27]",Female,12,10,27,33,1.200,0.818,1.467,0.738
15,"(24, 34]","(22, 27]",Male,12,9,62,57,1.333,1.088,1.226,0.589
16,"(24, 34]","(27, 32]",Female,12,12,48,59,1.000,0.814,1.229,0.559
17,"(24, 34]","(27, 32]",Male,15,7,51,53,2.143,0.962,2.227,1.115
18,"(24, 34]","(32, 37]",Female,2,8,66,45,0.250,1.467,0.170,0.139
19,"(24, 34]","(32, 37]",Male,9,4,28,20,2.250,1.400,1.607,1.077
20,"(24, 34]","(37, 42]",Female,6,4,21,23,1.500,0.913,1.643,1.174
21,"(24, 34]","(37, 42]",Male,4,2,14,9,2.000,1.556,1.286,1.243
22,"(24, 34]","(42, 47]",Female,2,3,10,2,0.667,5.000,0.133,0.160
23,"(24, 34]","(47, 52]",Female,1,1,6,3,1.000,2.000,0.500,0.791
24,"(24, 34]","(47, 52]",Male,1,1,7,4,1.000,1.750,0.571,0.884
25,"(24, 34]","(52, 57]",Female,2,2,2,2,1.000,1.000,1.000,1.415
26,"(24, 34]","(52, 57]",Male,2,1,10,4,2.000,2.500,0.800,1.089
27,"(24, 34]","(57, 62]",Female,1,1,4,3,1.000,1.333,0.750,1.206
28,"(34, 54]","(15, 22]",Female,8,11,9,24,0.727,0.375,1.939,1.182
29,"(34, 54]","(15, 22]",Male,2,10,20,23,0.200,0.870,0.230,0.192
30,"(34, 54]","(22, 27]",Female,1,10,6,12,0.100,0.500,0.200,0.233
31,"(34, 54]","(22, 27]",Male,3,4,16,26,0.750,0.615,1.219,1.010
32,"(34, 54]","(27, 32]",Female,4,8,9,22,0.500,0.409,1.222,0.893
33,"(34, 54]","(27, 32]",Male,9,7,17,22,1.286,0.773,1.664,0.999
34,"(34, 54]","(32, 37]",Female,6,8,35,43,0.750,0.814,0.921,0.542
35,"(34, 54]","(32, 37]",Male,23,21,33,26,1.095,1.269,0.863,0.348
36,"(34, 54]","(37, 42]",Female,15,12,72,91,1.250,0.791,1.580,0.665
37,"(34, 54]","(37, 42]",Male,26,27,34,35,0.963,0.971,0.991,0.366
38,"(34, 54]","(42, 47]",Female,10,4,72,82,2.500,0.878,2.847,1.752
39,"(34, 54]","(42, 47]",Male,22,21,40,16,1.048,2.500,0.419,0.179
40,"(34, 54]","(47, 52]",Female,8,11,75,70,0.727,1.071,0.679,0.337
41,"(34, 54]","(47, 52]",Male,14,12,21,20,1.167,1.050,1.111,0.561
42,"(34, 54]","(52, 57]",Female,7,6,62,65,1.167,0.954,1.223,0.717
43,"(34, 54]","(52, 57]",Male,8,3,11,8,2.667,1.375,1.939,1.595
44,"(34, 54]","(57, 62]",Female,1,4,35,24,0.250,1.458,0.171,0.197
45,"(34, 54]","(57, 62]",Male,5,4,15,7,1.250,2.143,0.583,0.475
46,"(34, 54]","(62, 67]",Female,7,1,17,15,7.000,1.133,6.176,6.963
47,"(34, 54]","(67, 72]",Female,2,1,8,5,2.000,1.600,1.250,1.690
48,"(34, 54]","(67, 72]",Male,2,1,10,2,2.000,5.000,0.400,0.580
49,"(54, 100]","(15, 22]",Female,1,5,1,9,0.200,0.111,1.800,2.738
50,"(54, 100]","(22, 27]",Female,2,3,3,6,0.667,0.500,1.333,1.541
51,"(54, 100]","(27, 32]",Female,2,14,1,14,0.143,0.071,2.000,2.565
52,"(54, 100]","(27, 32]",Male,1,5,5,11,0.200,0.455,0.440,0.538
53,"(54, 100]","(32, 37]",Female,8,30,5,10,0.267,0.500,0.533,0.362
54,"(54, 100]","(32, 37]",Male,2,4,6,23,0.500,0.261,1.917,1.881
55,"(54, 100]","(37, 42]",Male,2,4,9,22,0.500,0.409,1.222,1.165
56,"(54, 100]","(42, 47]",Female,10,32,3,9,0.312,0.333,0.938,0.713
57,"(54, 100]","(42, 47]",Male,2,4,9,14,0.500,0.643,0.778,0.752
58,"(54, 100]","(47, 52]",Female,6,22,9,20,0.273,0.450,0.606,0.371
59,"(54, 100]","(47, 52]",Male,7,14,12,18,0.500,0.667,0.750,0.447
60,"(54, 100]","(52, 57]",Female,9,22,29,52,0.409,0.558,0.734,0.338
61,"(54, 100]","(52, 57]",Male,13,21,13,16,0.619,0.812,0.762,0.393
62,"(54, 100]","(57, 62]",Female,9,11,75,84,0.818,0.893,0.916,0.439
63,"(54, 100]","(57, 62]",Male,13,30,9,12,0.433,0.750,0.578,0.320
64,"(54, 100]","(62, 67]",Female,3,13,100,130,0.231,0.769,0.300,0.197
65,"(54, 100]","(62, 67]",Male,24,26,18,18,0.923,1.000,0.923,0.406
66,"(54, 100]","(67, 72]",Female,5,7,126,159,0.714,0.792,0.901,0.541
67,"(54, 100]","(67, 72]",Male,23,30,18,11,0.767,1.636,0.469,0.223
68,"(54, 100]","(72, 77]",Female,4,7,107,111,0.571,0.964,0.593,0.381
69,"(54, 100]","(72, 77]",Male,16,18,12,7,0.889,1.714,0.519,0.305
70,"(54, 100]","(77, 82]",Female,3,3,66,66,1.000,1.000,1.000,0.836
71,"(54, 100]","(77, 82]",Male,5,8,10,3,0.625,3.333,0.188,0.164
72,"(54, 100]","(82, 87]",Female,1,2,33,28,0.500,1.179,0.424,0.531
73,"(54, 100]","(82, 87]",Male,4,4,3,2,1.000,1.500,0.667,0.771
