,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,5,8,7,10,0.625,0.700,0.893,0.674
1,"(15, 24]","(5, 10]",Female,4,4,3,2,1.000,1.500,0.667,0.771
2,"(15, 24]","(5, 10]",Male,2,1,6,3,2.000,2.000,1.000,1.415
3,"(15, 24]","(10, 15]",Female,14,17,5,7,0.824,0.714,1.153,0.795
4,"(15, 24]","(10, 15]",Male,17,16,31,41,1.062,0.756,1.405,0.597
5,"(15, 24]","(15, 20]",Female,41,43,19,18,0.953,1.056,0.903,0.359
6,"(15, 24]","(15, 20]",Male,90,67,180,190,1.343,0.947,1.418,0.281
7,"(15, 24]","(20, 25]",Female,16,15,14,11,1.067,1.273,0.838,0.454
8,"(15, 24]","(20, 25]",Male,48,33,106,117,1.455,0.906,1.605,0.430
9,"(15, 24]","(25, 30]",Female,6,10,6,6,0.600,1.000,0.600,0.466
10,"(15, 24]","(25, 30]",Male,7,4,34,31,1.750,1.097,1.596,1.079
11,"(15, 24]","(30, 35]",Female,1,3,2,3,0.333,0.667,0.500,0.736
12,"(15, 24]","(30, 35]",Male,6,3,18,12,2.000,1.500,1.333,1.068
13,"(15, 24]","(35, 40]",Female,2,1,5,2,2.000,2.500,0.800,1.187
14,"(15, 24]","(35, 40]",Male,8,3,9,8,2.667,1.125,2.370,1.979
15,"(15, 24]","(40, 45]",Male,8,4,11,12,2.000,0.917,2.182,1.621
16,"(15, 24]","(45, 50]",Female,6,2,3,1,3.000,3.000,1.000,1.415
17,"(15, 24]","(45, 50]",Male,9,3,4,2,3.000,2.000,1.500,1.641
18,"(15, 24]","(55, 60]",Male,3,1,4,1,3.000,4.000,0.750,1.206
19,"(24, 34]","(0, 5]",Female,21,20,20,19,1.050,1.053,0.998,0.449
20,"(24, 34]","(0, 5]",Male,8,3,16,10,2.667,1.600,1.667,1.316
21,"(24, 34]","(5, 10]",Female,16,15,13,19,1.067,0.684,1.559,0.797
22,"(24, 34]","(5, 10]",Male,7,2,9,13,3.500,0.692,5.056,4.615
23,"(24, 34]","(10, 15]",Female,10,10,4,4,1.000,1.000,1.000,0.838
