,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.173,0.334,3.000
1,"(5, 10]",1.386,0.370,8.000
2,"(10, 15]",0.960,0.208,13.000
3,"(15, 20]",1.294,0.203,18.000
4,"(20, 25]",1.232,0.217,23.000
5,"(25, 30]",1.126,0.214,28.000
6,"(30, 35]",1.326,0.281,33.000
7,"(35, 40]",1.339,0.277,38.000
8,"(40, 45]",1.226,0.276,43.000
9,"(45, 50]",1.413,0.370,48.000
10,"(50, 55]",1.608,0.435,53.000
11,"(55, 60]",1.590,0.490,58.000
12,"(60, 65]",1.550,0.520,63.000
13,"(65, 70]",1.442,0.471,68.000
14,"(70, 75]",1.831,0.545,73.000
15,"(75, 80]",1.292,0.410,78.000
16,"(80, 85]",1.406,0.692,83.000
17,"(85, 90]",0.593,0.462,88.000
18,"(90, 95]",0.500,0.830,93.000
