,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,42,34,39,40,1.235,0.975,1.267,0.413
1,"(15, 24]","(0, 5]",Male,39,13,44,33,3.000,1.333,2.250,0.895
2,"(15, 24]","(5, 10]",Female,12,13,12,17,0.923,0.706,1.308,0.722
3,"(15, 24]","(5, 10]",Male,9,5,27,17,1.800,1.588,1.133,0.725
4,"(15, 24]","(10, 15]",Female,84,98,30,33,0.857,0.909,0.943,0.280
5,"(15, 24]","(10, 15]",Male,247,191,424,416,1.293,1.019,1.269,0.163
6,"(15, 24]","(15, 20]",Female,227,256,124,198,0.887,0.626,1.416,0.219
7,"(15, 24]","(15, 20]",Male,882,750,2760,3077,1.176,0.897,1.311,0.099
8,"(15, 24]","(20, 25]",Female,88,95,106,168,0.926,0.631,1.468,0.293
9,"(15, 24]","(20, 25]",Male,381,272,1657,1808,1.401,0.916,1.528,0.153
10,"(15, 24]","(25, 30]",Female,31,34,45,77,0.912,0.584,1.560,0.492
11,"(15, 24]","(25, 30]",Male,106,47,473,486,2.255,0.973,2.317,0.448
12,"(15, 24]","(30, 35]",Female,16,12,29,26,1.333,1.115,1.195,0.562
13,"(15, 24]","(30, 35]",Male,51,34,219,156,1.500,1.404,1.068,0.267
14,"(15, 24]","(35, 40]",Female,12,8,13,12,1.500,1.083,1.385,0.843
15,"(15, 24]","(35, 40]",Male,52,25,131,93,2.080,1.409,1.477,0.418
16,"(15, 24]","(40, 45]",Female,25,9,11,10,2.778,1.100,2.525,1.482
17,"(15, 24]","(40, 45]",Male,28,13,121,64,2.154,1.891,1.139,0.425
18,"(15, 24]","(45, 50]",Female,15,12,9,4,1.250,2.250,0.556,0.398
19,"(15, 24]","(45, 50]",Male,17,9,82,46,1.889,1.783,1.060,0.481
20,"(15, 24]","(50, 55]",Female,10,1,10,7,10.000,1.429,7.000,8.119
21,"(15, 24]","(50, 55]",Male,11,6,55,30,1.833,1.833,1.000,0.558
22,"(15, 24]","(55, 60]",Female,5,3,7,1,1.667,7.000,0.238,0.308
23,"(15, 24]","(55, 60]",Male,8,3,43,12,2.667,3.583,0.744,0.561
24,"(15, 24]","(60, 65]",Female,5,1,5,3,5.000,1.667,3.000,3.953
25,"(15, 24]","(60, 65]",Male,5,1,33,12,5.000,2.750,1.818,2.086
26,"(15, 24]","(65, 70]",Female,3,2,4,1,1.500,4.000,0.375,0.542
27,"(15, 24]","(65, 70]",Male,3,1,26,3,3.000,8.667,0.346,0.452
28,"(15, 24]","(70, 75]",Male,7,2,13,4,3.500,3.250,1.077,1.062
29,"(24, 34]","(0, 5]",Female,46,48,50,45,0.958,1.111,0.863,0.255
30,"(24, 34]","(0, 5]",Male,63,65,103,83,0.969,1.241,0.781,0.184
31,"(24, 34]","(5, 10]",Female,44,49,48,63,0.898,0.762,1.179,0.338
32,"(24, 34]","(5, 10]",Male,54,37,67,76,1.459,0.882,1.656,0.457
33,"(24, 34]","(10, 15]",Female,32,43,20,28,0.744,0.714,1.042,0.394
34,"(24, 34]","(10, 15]",Male,27,26,71,86,1.038,0.826,1.258,0.405
35,"(24, 34]","(15, 20]",Female,24,29,14,26,0.828,0.538,1.537,0.667
