,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.069,0.140,3.000
1,"(5, 10]",1.346,0.185,8.000
2,"(10, 15]",1.193,0.108,13.000
3,"(15, 20]",1.337,0.076,18.000
4,"(20, 25]",1.426,0.086,23.000
5,"(25, 30]",1.466,0.104,28.000
6,"(30, 35]",1.398,0.107,33.000
7,"(35, 40]",1.191,0.106,38.000
8,"(40, 45]",1.292,0.129,43.000
9,"(45, 50]",1.277,0.145,48.000
10,"(50, 55]",1.183,0.148,53.000
11,"(55, 60]",1.090,0.155,58.000
12,"(60, 65]",1.373,0.204,63.000
13,"(65, 70]",1.137,0.186,68.000
14,"(70, 75]",1.111,0.208,73.000
15,"(75, 80]",1.142,0.224,78.000
16,"(80, 85]",0.859,0.241,83.000
17,"(85, 90]",1.350,0.624,88.000
18,"(90, 95]",4.500,6.628,93.000
