,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(5, 10]",Male,1,2,6,6,0.500,1.000,0.500,0.677
1,"(15, 24]","(10, 15]",Male,40,35,68,90,1.143,0.756,1.513,0.433
2,"(15, 24]","(15, 20]",Female,1,5,2,6,0.200,0.333,0.600,0.820
3,"(15, 24]","(15, 20]",Male,288,318,337,456,0.906,0.739,1.225,0.146
4,"(15, 24]","(20, 25]",Female,1,3,4,6,0.333,0.667,0.500,0.662
5,"(15, 24]","(20, 25]",Male,155,152,204,268,1.020,0.761,1.340,0.208
6,"(15, 24]","(25, 30]",Male,39,28,34,38,1.393,0.895,1.557,0.538
7,"(15, 24]","(30, 35]",Male,17,14,15,13,1.214,1.154,1.052,0.553
8,"(15, 24]","(35, 40]",Male,7,3,4,2,2.333,2.000,1.167,1.293
9,"(15, 24]","(40, 45]",Male,6,5,2,2,1.200,1.000,1.200,1.404
10,"(15, 24]","(45, 50]",Male,2,2,2,1,1.000,2.000,0.500,0.791
11,"(24, 34]","(5, 10]",Male,3,6,10,17,0.500,0.588,0.850,0.691
12,"(24, 34]","(10, 15]",Male,6,10,10,14,0.600,0.714,0.840,0.558
13,"(24, 34]","(15, 20]",Female,1,1,1,1,1.000,1.000,1.000,2.001
14,"(24, 34]","(15, 20]",Male,64,113,30,47,0.566,0.638,0.887,0.253
15,"(24, 34]","(20, 25]",Male,163,201,78,117,0.811,0.667,1.216,0.227
16,"(24, 34]","(25, 30]",Female,2,1,1,5,2.000,0.200,10.000,16.439
17,"(24, 34]","(25, 30]",Male,172,154,69,76,1.117,0.908,1.230,0.253
18,"(24, 34]","(30, 35]",Male,63,64,27,35,0.984,0.771,1.276,0.403
19,"(24, 34]","(35, 40]",Male,27,17,16,13,1.588,1.231,1.290,0.629
20,"(24, 34]","(40, 45]",Male,17,14,2,5,1.214,0.400,3.036,2.770
21,"(24, 34]","(45, 50]",Male,5,2,5,3,2.500,1.667,1.500,1.668
22,"(34, 54]","(5, 10]",Male,5,9,9,14,0.556,0.643,0.864,0.609
23,"(34, 54]","(10, 15]",Male,12,15,19,44,0.800,0.432,1.853,0.884
24,"(34, 54]","(15, 20]",Male,20,31,15,25,0.645,0.600,1.075,0.470
25,"(34, 54]","(20, 25]",Male,33,54,5,13,0.611,0.385,1.589,0.910
26,"(34, 54]","(25, 30]",Male,43,59,9,14,0.729,0.643,1.134,0.538
27,"(34, 54]","(30, 35]",Male,95,83,11,23,1.145,0.478,2.393,0.956
28,"(34, 54]","(35, 40]",Male,120,113,11,8,1.062,1.375,0.772,0.375
29,"(34, 54]","(40, 45]",Male,90,93,2,8,0.968,0.250,3.871,3.119
30,"(34, 54]","(45, 50]",Male,54,55,3,4,0.982,0.750,1.309,1.033
31,"(34, 54]","(50, 55]",Male,31,23,2,4,1.348,0.500,2.696,2.453
