,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,559,597,501,656,0.936,0.764,1.226,0.119
1,"(15, 24]","(15, 22]",Male,349,271,1270,1226,1.288,1.036,1.243,0.128
2,"(15, 24]","(22, 27]",Female,105,96,251,289,1.094,0.869,1.259,0.218
3,"(15, 24]","(22, 27]",Male,66,47,274,267,1.404,1.026,1.368,0.295
4,"(15, 24]","(27, 32]",Female,33,16,72,69,2.062,1.043,1.977,0.695
5,"(15, 24]","(27, 32]",Male,11,8,81,59,1.375,1.373,1.002,0.498
6,"(15, 24]","(32, 37]",Female,29,12,33,26,2.417,1.269,1.904,0.828
7,"(15, 24]","(32, 37]",Male,18,6,51,28,3.000,1.821,1.647,0.872
8,"(15, 24]","(37, 42]",Female,62,28,16,12,2.214,1.333,1.661,0.743
9,"(15, 24]","(37, 42]",Male,32,16,24,19,2.000,1.263,1.583,0.691
10,"(15, 24]","(42, 47]",Female,48,21,18,12,2.286,1.500,1.524,0.698
11,"(15, 24]","(42, 47]",Male,32,15,27,12,2.133,2.250,0.948,0.446
12,"(15, 24]","(47, 52]",Female,38,23,12,9,1.652,1.333,1.239,0.640
13,"(15, 24]","(47, 52]",Male,21,7,25,7,3.000,3.571,0.840,0.515
14,"(15, 24]","(52, 57]",Female,20,5,8,4,4.000,2.000,2.000,1.584
15,"(15, 24]","(52, 57]",Male,10,2,15,7,5.000,2.143,2.333,2.103
16,"(15, 24]","(62, 67]",Female,6,1,6,1,6.000,6.000,1.000,1.528
17,"(15, 24]","(62, 67]",Male,3,2,10,1,1.500,10.000,0.150,0.209
18,"(15, 24]","(67, 72]",Female,3,2,3,2,1.500,1.500,1.000,1.292
19,"(15, 24]","(77, 82]",Female,3,1,2,1,3.000,2.000,1.500,2.526
20,"(24, 34]","(15, 22]",Female,32,50,27,42,0.640,0.643,0.996,0.337
21,"(24, 34]","(15, 22]",Male,58,38,110,115,1.526,0.957,1.596,0.403
22,"(24, 34]","(22, 27]",Female,70,70,145,188,1.000,0.771,1.297,0.270
23,"(24, 34]","(22, 27]",Male,98,84,203,212,1.167,0.958,1.218,0.225
24,"(24, 34]","(27, 32]",Female,64,57,252,288,1.123,0.875,1.283,0.266
25,"(24, 34]","(27, 32]",Male,82,77,149,148,1.065,1.007,1.058,0.215
26,"(24, 34]","(32, 37]",Female,52,30,176,189,1.733,0.931,1.861,0.478
27,"(24, 34]","(32, 37]",Male,37,29,70,65,1.276,1.077,1.185,0.363
28,"(24, 34]","(37, 42]",Female,21,16,70,69,1.312,1.014,1.294,0.486
29,"(24, 34]","(37, 42]",Male,16,17,36,25,0.941,1.440,0.654,0.286
30,"(24, 34]","(42, 47]",Female,20,11,36,25,1.818,1.440,1.263,0.580
31,"(24, 34]","(42, 47]",Male,10,4,18,11,2.500,1.636,1.528,1.079
32,"(24, 34]","(47, 52]",Female,23,18,11,15,1.278,0.733,1.742,0.887
33,"(24, 34]","(47, 52]",Male,20,8,20,8,2.500,2.500,1.000,0.594
34,"(24, 34]","(52, 57]",Female,23,13,13,7,1.769,1.857,0.953,0.558
35,"(24, 34]","(52, 57]",Male,6,3,13,5,2.000,2.600,0.769,0.679
36,"(24, 34]","(57, 62]",Female,16,8,11,6,2.000,1.833,1.091,0.730
37,"(24, 34]","(57, 62]",Male,7,3,12,5,2.333,2.400,0.972,0.849
38,"(24, 34]","(62, 67]",Female,3,2,4,3,1.500,1.333,1.125,1.340
39,"(24, 34]","(67, 72]",Female,8,4,5,4,2.000,1.250,1.600,1.455
40,"(24, 34]","(72, 77]",Female,8,1,3,1,8.000,3.000,2.667,4.183
41,"(34, 54]","(15, 22]",Female,76,135,42,81,0.563,0.519,1.086,0.264
42,"(34, 54]","(15, 22]",Male,18,29,46,50,0.621,0.920,0.675,0.247
43,"(34, 54]","(22, 27]",Female,28,67,24,54,0.418,0.444,0.940,0.317
